rank	key	estimated	actual	re_solved	residency	flow_ns	simulated_ns
1	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
2	32x32x64s3k1;32x16x64s2k1;32x16x64s4k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
3	32x32x64s3k1;32x16x64s2k1;32x16x64s5k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	1	1	0	1	3.41002e+06	3.42488e+06
