node	stage	task	worker	slot	start_ns	end_ns	attention
0	0	0	0	0	0	2326.1140994340158	0
1	1	0	0	1	2326.1140994340158	5914.5920250004119	0
2	2	0	34	0	7150.0038260004121	25310.062371641903	0
3	2	1	35	0	7150.0038260004121	25310.062371641903	0
4	2	2	36	0	7150.0038260004121	25310.062371641903	0
5	2	3	37	0	7150.0038260004121	25310.062371641903	0
6	2	4	38	0	7150.0038260004121	25310.062371641903	0
7	2	5	39	0	7150.0038260004121	25310.062371641903	0
8	2	6	40	0	7150.0038260004121	25310.062371641903	0
9	2	7	41	0	7150.0038260004121	25310.062371641903	0
10	2	8	42	0	7150.0038260004121	25310.062371641903	0
11	2	9	43	0	7150.0038260004121	25310.062371641903	0
12	2	10	44	0	7150.0038260004121	25310.062371641903	0
13	2	11	45	0	7150.0038260004121	25310.062371641903	0
14	2	12	46	0	7150.0038260004121	25310.062371641903	0
15	2	13	47	0	7150.0038260004121	25310.062371641903	0
16	2	14	48	0	7150.0038260004121	25310.062371641903	0
17	2	15	49	0	7150.0038260004121	25310.062371641903	0
18	2	16	50	0	7150.0038260004121	25310.062371641903	0
19	2	17	51	0	7150.0038260004121	25310.062371641903	0
20	2	18	52	0	7150.0038260004121	25310.062371641903	0
21	2	19	53	0	7150.0038260004121	25310.062371641903	0
22	2	20	54	0	7150.0038260004121	25310.062371641903	0
23	2	21	55	0	7150.0038260004121	25310.062371641903	0
24	2	22	56	0	7150.0038260004121	25310.062371641903	0
25	2	23	57	0	7150.0038260004121	25310.062371641903	0
26	2	24	58	0	7150.0038260004121	25310.062371641903	0
27	2	25	59	0	7150.0038260004121	25310.062371641903	0
28	2	26	60	0	7150.0038260004121	25310.062371641903	0
29	2	27	61	0	7150.0038260004121	25310.062371641903	0
30	2	28	62	0	7150.0038260004121	25310.062371641903	0
31	2	29	63	0	7150.0038260004121	25310.062371641903	0
32	2	30	64	0	7150.0038260004121	25310.062371641903	0
33	2	31	65	0	7150.0038260004121	25310.062371641903	0
34	2	32	66	0	7150.0038260004121	25310.062371641903	0
35	2	33	67	0	7150.0038260004121	25310.062371641903	0
36	2	34	68	0	7150.0038260004121	25310.062371641903	0
37	2	35	69	0	7150.0038260004121	25310.062371641903	0
38	2	36	70	0	7150.0038260004121	25310.062371641903	0
39	2	37	71	0	7150.0038260004121	25310.062371641903	0
40	2	38	72	0	7150.0038260004121	25310.062371641903	0
41	2	39	73	0	7150.0038260004121	25310.062371641903	0
42	2	40	74	0	7150.0038260004121	25310.062371641903	0
43	2	41	75	0	7150.0038260004121	25310.062371641903	0
44	2	42	76	0	7150.0038260004121	25310.062371641903	0
45	2	43	77	0	7150.0038260004121	25310.062371641903	0
46	2	44	78	0	7150.0038260004121	25310.062371641903	0
47	2	45	79	0	7150.0038260004121	25310.062371641903	0
48	2	46	80	0	7150.0038260004121	25310.062371641903	0
49	2	47	81	0	7150.0038260004121	25310.062371641903	0
50	2	48	82	0	7150.0038260004121	25310.062371641903	0
51	2	49	83	0	7150.0038260004121	25310.062371641903	0
52	2	50	84	0	7150.0038260004121	25310.062371641903	0
53	2	51	85	0	7150.0038260004121	25310.062371641903	0
54	2	52	86	0	7150.0038260004121	25310.062371641903	0
55	2	53	87	0	7150.0038260004121	25310.062371641903	0
56	2	54	88	0	7150.0038260004121	25310.062371641903	0
57	2	55	89	0	7150.0038260004121	25310.062371641903	0
58	2	56	90	0	7150.0038260004121	25310.062371641903	0
59	2	57	91	0	7150.0038260004121	25310.062371641903	0
60	2	58	92	0	7150.0038260004121	25310.062371641903	0
61	2	59	93	0	7150.0038260004121	25310.062371641903	0
62	2	60	94	0	7150.0038260004121	25310.062371641903	0
63	2	61	95	0	7150.0038260004121	25310.062371641903	0
64	2	62	96	0	7150.0038260004121	25310.062371641903	0
65	2	63	97	0	7150.0038260004121	25310.062371641903	0
66	3	0	2	0	7150.0038260004121	21987.495195671811	0
67	3	1	3	0	7150.0038260004121	21987.495195671811	0
68	3	2	4	0	7150.0038260004121	21987.495195671811	0
69	3	3	5	0	7150.0038260004121	21987.495195671811	0
70	3	4	6	0	7150.0038260004121	21987.495195671811	0
71	3	5	7	0	7150.0038260004121	21987.495195671811	0
72	3	6	8	0	7150.0038260004121	21987.495195671811	0
73	3	7	9	0	7150.0038260004121	21987.495195671811	0
74	3	8	10	0	7150.0038260004121	21987.495195671811	0
75	3	9	11	0	7150.0038260004121	21987.495195671811	0
76	3	10	12	0	7150.0038260004121	21987.495195671811	0
77	3	11	13	0	7150.0038260004121	21987.495195671811	0
78	3	12	14	0	7150.0038260004121	21987.495195671811	0
79	3	13	15	0	7150.0038260004121	21987.495195671811	0
80	3	14	16	0	7150.0038260004121	21987.495195671811	0
81	3	15	17	0	7150.0038260004121	21987.495195671811	0
82	3	16	18	0	7150.0038260004121	21987.495195671811	0
83	3	17	19	0	7150.0038260004121	21987.495195671811	0
84	3	18	20	0	7150.0038260004121	21987.495195671811	0
85	3	19	21	0	7150.0038260004121	21987.495195671811	0
86	3	20	22	0	7150.0038260004121	21987.495195671811	0
87	3	21	23	0	7150.0038260004121	21987.495195671811	0
88	3	22	24	0	7150.0038260004121	21987.495195671811	0
89	3	23	25	0	7150.0038260004121	21987.495195671811	0
90	3	24	26	0	7150.0038260004121	21987.495195671811	0
91	3	25	27	0	7150.0038260004121	21987.495195671811	0
92	3	26	28	0	7150.0038260004121	21987.495195671811	0
93	3	27	29	0	7150.0038260004121	21987.495195671811	0
94	3	28	30	0	7150.0038260004121	21987.495195671811	0
95	3	29	31	0	7150.0038260004121	21987.495195671811	0
96	3	30	32	0	7150.0038260004121	21987.495195671811	0
97	3	31	33	0	7150.0038260004121	21987.495195671811	0
98	4	0	98	0	7150.0038260004121	21987.495195671811	0
99	4	1	99	0	7150.0038260004121	21987.495195671811	0
100	4	2	100	0	7150.0038260004121	21987.495195671811	0
101	4	3	101	0	7150.0038260004121	21987.495195671811	0
