seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	512	1	1	30	98	119	30
4	512	1	1	30	200	500	30
128	512	1	1	30	4416	16292	34
512	512	1	1	30	17664	59172	82
2048	512	1	1	30	70656	230532	286
