model	seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks	archive_processes	comparison
gqa2	1	0	1	1	30	98	119	30	50	EXACT_ARCHIVE_MATCH
gqa2	4	0	1	1	30	200	500	30	50	EXACT_ARCHIVE_MATCH
gqa2	128	0	1	1	30	4416	16292	34	50	EXACT_ARCHIVE_MATCH
gqa2	512	0	1	1	30	17664	59172	82	50	EXACT_ARCHIVE_MATCH
gqa2	2048	0	1	1	30	70656	230532	286	50	EXACT_ARCHIVE_MATCH
gqa2	1	3	1	1	30	98	119	30	50	EXACT_ARCHIVE_MATCH
gqa2	4	3	1	1	30	200	500	30	50	EXACT_ARCHIVE_MATCH
gqa2	128	3	1	1	30	4416	16292	34	50	EXACT_ARCHIVE_MATCH
gqa2	512	3	1	1	30	17664	59172	82	50	EXACT_ARCHIVE_MATCH
gqa2	2048	3	1	1	30	70656	230532	286	50	EXACT_ARCHIVE_MATCH
gqa2	1	512	1	1	30	98	119	30	50	EXACT_ARCHIVE_MATCH
gqa2	4	512	1	1	30	200	500	30	50	EXACT_ARCHIVE_MATCH
gqa2	128	512	1	1	30	4416	16292	34	50	EXACT_ARCHIVE_MATCH
gqa2	512	512	1	1	30	17664	59172	82	50	EXACT_ARCHIVE_MATCH
gqa2	2048	512	1	1	30	70656	230532	286	50	EXACT_ARCHIVE_MATCH
mha4	1	0	1	1	60	236	257	60	50	EXACT_ARCHIVE_MATCH
mha4	4	0	1	1	60	512	1076	60	50	EXACT_ARCHIVE_MATCH
mha4	128	0	1	1	60	11920	33092	80	50	EXACT_ARCHIVE_MATCH
mha4	512	0	1	1	60	47680	117320	212	50	EXACT_ARCHIVE_MATCH
mha4	2048	0	1	1	60	190720	453920	764	50	EXACT_ARCHIVE_MATCH
mha4	1	3	1	1	60	236	257	60	50	EXACT_ARCHIVE_MATCH
mha4	4	3	1	1	60	512	1076	60	50	EXACT_ARCHIVE_MATCH
mha4	128	3	1	1	60	11920	33092	80	50	EXACT_ARCHIVE_MATCH
mha4	512	3	1	1	60	47680	117320	212	50	EXACT_ARCHIVE_MATCH
mha4	2048	3	1	1	60	190720	453920	764	50	EXACT_ARCHIVE_MATCH
mha4	1	512	1	1	60	236	257	60	50	EXACT_ARCHIVE_MATCH
mha4	4	512	1	1	60	512	1076	60	50	EXACT_ARCHIVE_MATCH
mha4	128	512	1	1	60	11920	33092	80	50	EXACT_ARCHIVE_MATCH
mha4	512	512	1	1	60	47680	117320	212	50	EXACT_ARCHIVE_MATCH
mha4	2048	512	1	1	60	190720	453920	764	50	EXACT_ARCHIVE_MATCH
