seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	512	1	1	60	236	257	60
4	512	1	1	60	512	1076	60
128	512	1	1	60	11920	33092	80
512	512	1	1	60	47680	117320	212
2048	512	1	1	60	190720	453920	764
