model	split	pieces	checks	max_absolute_rounding_ns	polynomial
gqa2	1	1	512	0	[s11] -> { 11192456863916078830264636424921914126945765303067/611483703356137086036548641594613708540084224 : 0 < s11 <= 512 }
gqa2	2	1	512	0	[s11] -> { 8046279030994617507498656376075984360110818861851/611483703356137086036548641594613708540084224 : 0 < s11 <= 512 }
gqa2	4	1	512	1.8189894035458565e-12	[s11] -> { 6222325003305375410563447436913111905166111023899/611483703356137086036548641594613708540084224 : 0 < s11 <= 512 }
gqa2	8	1	512	0	[s11] -> { 5310347989460754362095842967331675677693757104923/611483703356137086036548641594613708540084224 : 0 < s11 <= 512 }
gqa2	16	3	512	1.8189894035458565e-12	[s11] -> { 4854359482538443837862040732540957563957580145435/611483703356137086036548641594613708540084224 : 0 < s11 <= 256; 5082353735999599099978941849936316620825668625179/611483703356137086036548641594613708540084224 : 257 <= s11 <= 384; 5310347989460754362095842967331675677693757104923/611483703356137086036548641594613708540084224 : 385 <= s11 <= 512 }
