stage	logical_stage	combine	task_ns	count
0	0	0	2048	1
1	1	0	3408	32
2	2	0	3408	32
3	3	0	3408	32
4	4	0	1024	4
5	5	0	1024	4
6	6	0	1024	4
7	7	0	1024	4
8	8	0	3520	4
9	9	0	6480	32
10	10	0	2048	1
11	11	0	3408	64
12	12	0	3408	64
13	13	0	3072	1
14	14	0	7072	32
15	15	0	2048	1
16	16	0	3408	32
17	17	0	3408	32
18	18	0	3408	32
19	19	0	1024	4
20	20	0	1024	4
21	21	0	1024	4
22	22	0	1024	4
23	23	0	3520	4
24	24	0	6480	32
25	25	0	2048	1
26	26	0	3408	64
27	27	0	3408	64
28	28	0	2816	1
29	29	0	6816	32
30	30	0	2048	1
31	31	0	3408	32
32	32	0	3692	32
33	33	0	3408	32
34	34	0	1024	4
35	35	0	1024	4
36	36	0	1024	4
37	37	0	1024	4
38	38	0	3456	4
39	39	0	6480	32
40	40	0	2048	1
41	41	0	3408	64
42	42	0	3408	64
43	43	0	2816	1
44	44	0	6816	32
45	45	0	2048	1
46	46	0	3408	32
47	47	0	3408	32
48	48	0	3408	32
49	49	0	1024	4
50	50	0	1024	4
51	51	0	1024	4
52	52	0	1024	4
53	53	0	3456	4
54	54	0	6480	32
55	55	0	2048	1
56	56	0	3408	64
57	57	0	3408	64
58	58	0	2816	1
59	59	0	6816	32
