model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	base	full	4	3	0	1	0.410816	0.439296
gqa2	shard128	full	4	3	0	1	0.409600	0.456704
gqa2	shard128	full	4	3	1	1	0.408576	0.455712
gqa2	base	full	4	3	1	1	0.407648	0.441504
gqa2	base	full	4	3	2	1	0.407552	0.440128
gqa2	shard128	full	4	3	2	1	0.407744	0.455680
gqa2	shard128	full	4	3	3	1	0.407808	0.455680
gqa2	base	full	4	3	3	1	0.407520	0.440320
gqa2	base	full	4	3	4	1	0.411840	0.440576
gqa2	shard128	full	4	3	4	1	0.407680	0.455520
gqa2	shard128	full	4	3	5	1	0.407584	0.454656
gqa2	base	full	4	3	5	1	0.407552	0.441248
gqa2	base	full	4	3	6	1	0.407520	0.438272
gqa2	shard128	full	4	3	6	1	0.405504	0.453472
gqa2	shard128	full	4	3	7	1	0.404672	0.452608
gqa2	base	full	4	3	7	1	0.409600	0.439296
gqa2	base	full	4	3	8	1	0.411872	0.438400
gqa2	shard128	full	4	3	8	1	0.410688	0.454656
gqa2	shard128	full	4	3	9	1	0.406528	0.456800
gqa2	base	full	4	3	9	1	0.409600	0.439296
gqa2	base	full	4	3	10	1	0.411680	0.444416
gqa2	shard128	full	4	3	10	1	0.372832	0.421888
gqa2	shard128	full	4	3	11	1	0.374880	0.419840
gqa2	base	full	4	3	11	1	0.374912	0.404480
gqa2	base	full	4	3	12	1	0.372800	0.402432
gqa2	shard128	full	4	3	12	1	0.372736	0.411648
gqa2	shard128	full	4	3	13	1	0.374848	0.413600
gqa2	base	full	4	3	13	1	0.373760	0.403456
gqa2	base	full	4	3	14	1	0.371712	0.399104
gqa2	shard128	full	4	3	14	1	0.411584	0.457728
gqa2	shard128	full	4	3	15	1	0.375808	0.421888
gqa2	base	full	4	3	15	1	0.373536	0.407552
gqa2	base	full	4	3	16	1	0.374784	0.402432
gqa2	shard128	full	4	3	16	1	0.366592	0.415744
gqa2	shard128	full	4	3	17	1	0.367616	0.419840
gqa2	base	full	4	3	17	1	0.375808	0.404480
gqa2	base	full	4	3	18	1	0.373760	0.402272
gqa2	shard128	full	4	3	18	1	0.373568	0.414880
gqa2	shard128	full	4	3	19	1	0.373760	0.419840
gqa2	base	full	4	3	19	1	0.374688	0.406624
gqa2	base	full	4	3	20	1	0.373824	0.407616
gqa2	shard128	full	4	3	20	1	0.370688	0.416768
gqa2	shard128	full	4	3	21	1	0.373888	0.418752
gqa2	base	full	4	3	21	1	0.362496	0.407552
gqa2	base	full	4	3	22	1	0.371712	0.413696
gqa2	shard128	full	4	3	22	1	0.368640	0.424960
gqa2	shard128	full	4	3	23	1	0.373824	0.413696
gqa2	base	full	4	3	23	1	0.374880	0.403456
gqa2	base	full	4	3	24	1	0.369760	0.404480
gqa2	shard128	full	4	3	24	1	0.372768	0.416928
gqa2	base	full	128	3	0	1	0.520256	0.561152
gqa2	shard128	full	128	3	0	1	0.519168	0.568576
gqa2	shard128	full	128	3	1	1	0.519168	0.569248
gqa2	base	full	128	3	1	1	0.519264	0.553984
gqa2	base	full	128	3	2	1	0.533408	0.576512
gqa2	shard128	full	128	3	2	1	0.544896	0.606208
gqa2	shard128	full	128	3	3	1	0.551072	0.601888
gqa2	base	full	128	3	3	1	0.540800	0.584704
gqa2	base	full	128	3	4	1	0.541792	0.583680
gqa2	shard128	full	128	3	4	1	0.538624	0.599040
gqa2	shard128	full	128	3	5	1	0.542720	0.599040
gqa2	base	full	128	3	5	1	0.536672	0.580608
gqa2	base	full	128	3	6	1	0.541696	0.583680
gqa2	shard128	full	128	3	6	1	0.538368	0.594944
gqa2	shard128	full	128	3	7	1	0.538624	0.600928
gqa2	base	full	128	3	7	1	0.537600	0.578560
gqa2	base	full	128	3	8	1	0.542816	0.579584
gqa2	shard128	full	128	3	8	1	0.536448	0.588800
gqa2	shard128	full	128	3	9	1	0.540672	0.599040
gqa2	base	full	128	3	9	1	0.538752	0.579584
