model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	base	full	4	3	0	1	0.412672	0.444320
gqa2	base	nowait	4	3	0	0	0.412896	0.416864
gqa2	base	neither	4	3	0	0	0.410848	0.355328
gqa2	base	l1nosync	4	3	0	0	0.368640	0.440320
gqa2	shard128	full	4	3	0	1	0.411648	0.457728
gqa2	shard128	nowait	4	3	0	0	0.411648	0.434176
gqa2	shard128	neither	4	3	0	0	0.412864	0.356128
gqa2	shard128	l1nosync	4	3	0	0	0.364544	0.454784
gqa2	base	nowait	4	3	1	0	0.411648	0.414880
gqa2	base	neither	4	3	1	0	0.411648	0.355328
gqa2	base	l1nosync	4	3	1	0	0.364544	0.443232
gqa2	shard128	full	4	3	1	1	0.409600	0.454656
gqa2	shard128	nowait	4	3	1	0	0.412672	0.432096
gqa2	shard128	neither	4	3	1	0	0.412448	0.356352
gqa2	shard128	l1nosync	4	3	1	0	0.365760	0.456704
gqa2	base	full	4	3	1	1	0.410816	0.441344
gqa2	base	neither	4	3	2	0	0.412672	0.354304
gqa2	base	l1nosync	4	3	2	0	0.365568	0.440320
gqa2	shard128	full	4	3	2	1	0.412864	0.455680
gqa2	shard128	nowait	4	3	2	0	0.411648	0.432128
gqa2	shard128	neither	4	3	2	0	0.411648	0.355168
gqa2	shard128	l1nosync	4	3	2	0	0.364544	0.456704
gqa2	base	full	4	3	2	1	0.412512	0.442368
gqa2	base	nowait	4	3	2	0	0.412704	0.415712
gqa2	base	l1nosync	4	3	3	0	0.365568	0.443424
gqa2	shard128	full	4	3	3	1	0.424960	0.461824
gqa2	shard128	nowait	4	3	3	0	0.410848	0.432128
gqa2	shard128	neither	4	3	3	0	0.412672	0.357376
gqa2	shard128	l1nosync	4	3	3	0	0.364544	0.455680
gqa2	base	full	4	3	3	1	0.410624	0.441344
gqa2	base	nowait	4	3	3	0	0.412672	0.417792
gqa2	base	neither	4	3	3	0	0.413696	0.357376
gqa2	shard128	full	4	3	4	1	0.412864	0.457728
gqa2	shard128	nowait	4	3	4	0	0.410816	0.432128
gqa2	shard128	neither	4	3	4	0	0.410816	0.355232
gqa2	shard128	l1nosync	4	3	4	0	0.367616	0.453632
gqa2	base	full	4	3	4	1	0.412928	0.439296
