rank	key	estimated	actual	re_solved	residency	flow_ns	simulated_ns
1	64x32x64s4k1;64x32x128s2k1;64x128x64s4k1;64x32x64s4k2;64x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=16	1	1	0	1	7.09717e+06	7.09717e+06
2	64x32x64s5k1;64x32x128s2k1;64x128x64s4k1;64x32x64s4k2;64x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=16	1	1	0	1	7.09717e+06	7.09717e+06
3	64x32x64s6k1;64x32x128s2k1;64x128x64s4k1;64x32x64s4k2;64x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=16	1	1	0	1	7.09717e+06	7.09717e+06
