slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794425850730496	1105660623435	1789794425850731520	1105660624671	1789794425850731520	1105660624671	1789794425850732544	1105660627953	1789794425850733568	1105660629752	1789794425850733568	1105660629880	0	0	0	0	91	8
1	0	32	16	16	1	1536	1789794425850735616	1105660635068	1789794425850736640	1105660637511	1789794425850736640	1105660638101	1789794425850746880	1105660663350	1789794425850747904	1105660665428	1789794425850747904	1105660665693	1105660638327	1105660663223	13475	32	0	0
2	2	0	0	0	1	0	1789794425850750976	1105660671991	1789794425850750976	1105660673359	1789794425850750976	1105660673359	1789794425850752000	1105660674747	1789794425850752000	1105660674781	1789794425850752000	1105660675217	0	0	0	0	0	0
3	2	0	0	0	1	0	1789794425850754048	1105660680919	1789794425850755072	1105660682366	1789794425850755072	1105660682366	1789794425850756096	1105660684268	1789794425850756096	1105660684299	1789794425850756096	1105660684416	0	0	0	0	0	0
4	3	0	0	0	1	0	1789794425850758144	1105660690635	1789794425850759168	1105660692117	1789794425850759168	1105660692117	1789794425850759168	1105660693444	1789794425850759168	1105660693475	1789794425850759168	1105660693600	0	0	0	0	0	0
5	5	0	0	0	1	0	1789794425850764288	1105660705592	1789794425850765312	1105660707598	1789794425850765312	1105660707598	1789794425850790912	1105660773455	1789794425850790912	1105660773485	1789794425850790912	1105660773602	0	0	0	0	66	2
6	0	32	16	16	1	1536	1789794425850796032	1105660785481	1789794425850797056	1105660788291	1789794425850797056	1105660788945	1789794425850807296	1105660813397	1789794425850808320	1105660816805	1789794425850808320	1105660816929	1105660789153	1105660813264	9880	32	0	0
7	1	0	0	0	1	0	1789794425850811392	1105660823167	1789794425850811392	1105660824484	1789794425850811392	1105660824484	1789794425850813440	1105660828505	1789794425850813440	1105660829992	1789794425850813440	1105660830113	0	0	0	0	92	8
8	0	32	16	16	1	1536	1789794425850816512	1105660836059	1789794425850816512	1105660838422	1789794425850817536	1105660839086	1789794425850826752	1105660862092	1789794425850827776	1105660864420	1789794425850827776	1105660864583	1105660839133	1105660861981	13256	32	0	0
9	4	0	0	0	1	0	1789794425850832896	1105660878915	1789794425850833920	1105660880091	1789794425850833920	1105660880091	1789794425850835968	1105660886573	1789794425850835968	1105660886603	1789794425850835968	1105660886727	0	0	0	0	0	0
10	0	32	16	16	1	1536	1789794425850838016	1105660891740	1789794425850839040	1105660894166	1789794425850839040	1105660894821	1789794425850855424	1105660935585	1789794425850857472	1105660939797	1789794425850857472	1105660940102	1105660894840	1105660935473	24077	64	0	0
11	1	0	0	0	1	0	1789794425850859520	1105660946003	1789794425850860544	1105660947402	1789794425850860544	1105660947402	1789794425850861568	1105660950575	1789794425850862592	1105660952454	1789794425850862592	1105660952578	0	0	0	0	93	8
12	0	32	16	16	1	1536	1789794425850864640	1105660957409	1789794425850865664	1105660959744	1789794425850865664	1105660960291	1789794425850873856	1105660980047	1789794425850873856	1105660982290	1789794425850874880	1105660982616	1105660960393	1105660979922	11565	32	0	0
13	2	0	0	0	1	0	1789794425850878976	1105660994541	1789794425850880000	1105660996023	1789794425850880000	1105660996023	1789794425850880000	1105660997803	1789794425850880000	1105660997834	1789794425850881024	1105660998228	0	0	0	0	0	0
14	2	0	0	0	1	0	1789794425850883072	1105661004275	1789794425850884096	1105661005732	1789794425850884096	1105661005732	1789794425850884096	1105661007682	1789794425850884096	1105661007712	1789794425850884096	1105661007829	0	0	0	0	0	0
15	3	0	0	0	1	0	1789794425850887168	1105661014571	1789794425850888192	1105661016292	1789794425850888192	1105661016292	1789794425850888192	1105661017309	1789794425850888192	1105661017340	1789794425850888192	1105661017469	0	0	0	0	0	0
16	5	0	0	0	1	0	1789794425850892288	1105661026520	1789794425850892288	1105661028475	1789794425850892288	1105661028475	1789794425850918912	1105661093669	1789794425850918912	1105661093699	1789794425850918912	1105661094106	0	0	0	0	65	2
17	0	32	16	16	1	1536	1789794425850924032	1105661106674	1789794425850925056	1105661109079	1789794425850925056	1105661110126	1789794425850936320	1105661137210	1789794425850937344	1105661140429	1789794425850937344	1105661140546	1105661110135	1105661137109	18167	32	0	0
18	1	0	0	0	1	0	1789794425850939392	1105661146634	1789794425850940416	1105661148196	1789794425850940416	1105661148196	1789794425850941440	1105661151273	1789794425850942464	1105661153174	1789794425850942464	1105661153314	0	0	0	0	92	8
19	0	32	16	16	1	1536	1789794425850944512	1105661158193	1789794425850945536	1105661160548	1789794425850945536	1105661161337	1789794425850954752	1105661184024	1789794425850955776	1105661186715	1789794425850955776	1105661187008	1105661161411	1105661183882	11866	32	0	0
20	4	0	0	0	1	0	1789794425850960896	1105661198667	1789794425850960896	1105661200376	1789794425850960896	1105661200376	1789794425850963968	1105661207420	1789794425850963968	1105661207450	1789794425850963968	1105661207576	0	0	0	0	0	0
21	0	32	16	16	1	1536	1789794425850966016	1105661212701	1789794425850967040	1105661215327	1789794425850967040	1105661216007	1789794425850984448	1105661259300	1789794425850986496	1105661262772	1789794425850986496	1105661263105	1105661216016	1105661259165	21612	64	0	0
22	1	0	0	0	1	0	1789794425850990592	1105661273530	1789794425850990592	1105661274956	1789794425850990592	1105661274956	1789794425850992640	1105661278791	1789794425850992640	1105661280376	1789794425850992640	1105661280493	0	0	0	0	97	8
23	0	32	16	16	1	1536	1789794425850994688	1105661285634	1789794425850995712	1105661288251	1789794425850996736	1105661288913	1789794425851004928	1105661309552	1789794425851005952	1105661312341	1789794425851005952	1105661312467	1105661288922	1105661309412	12180	32	0	0
24	2	0	0	0	1	0	1789794425851011072	1105661324496	1789794425851011072	1105661325985	1789794425851011072	1105661325985	1789794425851012096	1105661328116	1789794425851012096	1105661328146	1789794425851012096	1105661328410	0	0	0	0	0	0
25	2	0	0	0	1	0	1789794425851015168	1105661334751	1789794425851015168	1105661336100	1789794425851015168	1105661336100	1789794425851016192	1105661337985	1789794425851016192	1105661338015	1789794425851016192	1105661338460	0	0	0	0	0	0
26	3	0	0	0	1	0	1789794425851019264	1105661345447	1789794425851019264	1105661346916	1789794425851019264	1105661346916	1789794425851020288	1105661348262	1789794425851020288	1105661348292	1789794425851020288	1105661348414	0	0	0	0	0	0
27	5	0	0	0	1	0	1789794425851023360	1105661357900	1789794425851024384	1105661359812	1789794425851024384	1105661359812	1789794425851051008	1105661425600	1789794425851051008	1105661425634	1789794425851051008	1105661425751	0	0	0	0	55	2
28	0	32	16	16	1	1536	1789794425851055104	1105661437015	1789794425851056128	1105661439435	1789794425851056128	1105661440175	1789794425851066368	1105661465916	1789794425851068416	1105661469162	1789794425851068416	1105661469285	1105661440389	1105661465769	14275	32	0	0
29	1	0	0	0	1	0	1789794425851070464	1105661474933	1789794425851071488	1105661476616	1789794425851071488	1105661476616	1789794425851072512	1105661480471	1789794425851073536	1105661481538	1789794425851073536	1105661481670	0	0	0	0	90	8
30	0	32	16	16	1	1536	1789794425851075584	1105661486994	1789794425851076608	1105661489415	1789794425851076608	1105661490396	1789794425851085824	1105661512301	1789794425851086848	1105661515015	1789794425851086848	1105661515134	1105661490405	1105661512184	11845	32	0	0
31	4	0	0	0	1	0	1789794425851092992	1105661530355	1789794425851092992	1105661531975	1789794425851092992	1105661531975	1789794425851096064	1105661538673	1789794425851096064	1105661538703	1789794425851096064	1105661538819	0	0	0	0	0	0
32	0	32	16	16	1	1536	1789794425851098112	1105661544999	1789794425851099136	1105661546640	1789794425851099136	1105661547305	1789794425851115520	1105661588629	1789794425851117568	1105661592454	1789794425851117568	1105661592571	1105661547330	1105661588511	24196	64	0	0
33	1	0	0	0	1	0	1789794425851119616	1105661598425	1789794425851120640	1105661599684	1789794425851120640	1105661599684	1789794425851121664	1105661603720	1789794425851122688	1105661605125	1789794425851122688	1105661605253	0	0	0	0	93	8
34	0	32	16	16	1	1536	1789794425851124736	1105661610080	1789794425851125760	1105661612398	1789794425851125760	1105661613039	1789794425851133952	1105661632969	1789794425851134976	1105661635549	1789794425851134976	1105661635831	1105661613122	1105661632855	12324	32	0	0
35	2	0	0	0	1	0	1789794425851138048	1105661643528	1789794425851138048	1105661644867	1789794425851138048	1105661644867	1789794425851139072	1105661646847	1789794425851139072	1105661646877	1789794425851139072	1105661647187	0	0	0	0	0	0
36	2	0	0	0	1	0	1789794425851142144	1105661653684	1789794425851142144	1105661655243	1789794425851142144	1105661655243	1789794425851143168	1105661657162	1789794425851143168	1105661657192	1789794425851143168	1105661657629	0	0	0	0	0	0
37	3	0	0	0	1	0	1789794425851146240	1105661664107	1789794425851146240	1105661665312	1789794425851146240	1105661665312	1789794425851147264	1105661666623	1789794425851147264	1105661666654	1789794425851147264	1105661666801	0	0	0	0	0	0
38	5	0	0	0	1	0	1789794425851153408	1105661682124	1789794425851154432	1105661684055	1789794425851154432	1105661684055	1789794425851180032	1105661748924	1789794425851180032	1105661748957	1789794425851180032	1105661749079	0	0	0	0	53	2
39	0	32	16	16	1	1536	1789794425851185152	1105661761447	1789794425851186176	1105661764439	1789794425851186176	1105661765083	1789794425851199488	1105661798046	1789794425851200512	1105661801940	1789794425851200512	1105661802056	1105661765736	1105661797950	10401	32	0	0
40	1	0	0	0	1	0	1789794425851209728	1105661824067	1789794425851209728	1105661824885	1789794425851209728	1105661824885	1789794425851211776	1105661830057	1789794425851212800	1105661830852	1789794425851212800	1105661830969	0	0	0	0	92	8
41	0	32	16	16	1	1536	1789794425851214848	1105661837017	1789794425851215872	1105661838763	1789794425851215872	1105661840340	1789794425851226112	1105661864859	1789794425851227136	1105661867696	1789794425851227136	1105661867822	1105661840370	1105661864713	14951	32	0	0
42	4	0	0	0	1	0	1789794425851233280	1105661882366	1789794425851233280	1105661883911	1789794425851233280	1105661883911	1789794425851236352	1105661890678	1789794425851236352	1105661890708	1789794425851236352	1105661890832	0	0	0	0	0	0
43	0	32	16	16	1	1536	1789794425851238400	1105661895682	1789794425851239424	1105661898055	1789794425851239424	1105661898726	1789794425851255808	1105661938390	1789794425851256832	1105661942031	1789794425851256832	1105661942527	1105661898735	1105661938268	24115	64	0	0
44	1	0	0	0	1	0	1789794425850730496	1105660623491	1789794425850731520	1105660624694	1789794425850731520	1105660624694	1789794425850732544	1105660628483	1789794425850733568	1105660629746	1789794425850733568	1105660629868	0	0	0	0	92	8
45	0	32	16	16	1	1536	1789794425850735616	1105660635138	1789794425850736640	1105660637589	1789794425850736640	1105660638288	1789794425850746880	1105660663544	1789794425850747904	1105660665714	1789794425850747904	1105660665832	1105660638328	1105660663444	13237	32	0	0
46	2	0	0	0	1	0	1789794425850750976	1105660672056	1789794425850750976	1105660673355	1789794425850750976	1105660673355	1789794425850752000	1105660674764	1789794425850752000	1105660674794	1789794425850752000	1105660675216	0	0	0	0	0	0
47	2	0	0	0	1	0	1789794425850754048	1105660680922	1789794425850755072	1105660682376	1789794425850755072	1105660682376	1789794425850755072	1105660684068	1789794425850755072	1105660684099	1789794425850755072	1105660684220	0	0	0	0	0	0
48	3	0	0	0	1	0	1789794425850758144	1105660690696	1789794425850759168	1105660692092	1789794425850759168	1105660692092	1789794425850759168	1105660693169	1789794425850759168	1105660693201	1789794425850759168	1105660693331	0	0	0	0	0	0
49	5	0	0	0	1	0	1789794425850764288	1105660705643	1789794425850765312	1105660707657	1789794425850765312	1105660707657	1789794425850790912	1105660772904	1789794425850790912	1105660772934	1789794425850790912	1105660773050	0	0	0	0	53	2
50	0	32	16	16	1	1536	1789794425850796032	1105660785463	1789794425850797056	1105660788374	1789794425850797056	1105660788997	1789794425850807296	1105660813356	1789794425850808320	1105660817123	1789794425850808320	1105660817240	1105660789085	1105660813199	13142	32	0	0
51	1	0	0	0	1	0	1789794425850810368	1105660823021	1789794425850811392	1105660824463	1789794425850811392	1105660824463	1789794425850813440	1105660828857	1789794425850813440	1105660829995	1789794425850813440	1105660830119	0	0	0	0	91	8
52	0	32	16	16	1	1536	1789794425850815488	1105660835998	1789794425850816512	1105660838508	1789794425850817536	1105660839606	1789794425850826752	1105660862179	1789794425850827776	1105660864700	1789794425850827776	1105660864921	1105660839620	1105660862074	11597	32	0	0
53	4	0	0	0	1	0	1789794425850832896	1105660878852	1789794425850833920	1105660880001	1789794425850833920	1105660880001	1789794425850835968	1105660886693	1789794425850835968	1105660886727	1789794425850835968	1105660886849	0	0	0	0	0	0
54	0	32	16	16	1	1536	1789794425850838016	1105660891810	1789794425850839040	1105660894256	1789794425850839040	1105660894934	1789794425850855424	1105660935704	1789794425850857472	1105660940160	1789794425850857472	1105660940283	1105660894975	1105660935606	20707	64	0	0
55	1	0	0	0	1	0	1789794425850859520	1105660946061	1789794425850860544	1105660947421	1789794425850860544	1105660947421	1789794425850861568	1105660950773	1789794425850862592	1105660952453	1789794425850862592	1105660952572	0	0	0	0	96	8
56	0	32	16	16	1	1536	1789794425850864640	1105660957338	1789794425850865664	1105660959876	1789794425850865664	1105660960556	1789794425850873856	1105660980258	1789794425850873856	1105660982313	1789794425850874880	1105660982629	1105660960565	1105660980141	9754	32	0	0
57	2	0	0	0	1	0	1789794425850878976	1105660994570	1789794425850880000	1105660996018	1789794425850880000	1105660996018	1789794425850880000	1105660997825	1789794425850880000	1105660997861	1789794425850881024	1105660998234	0	0	0	0	0	0
58	2	0	0	0	1	0	1789794425850883072	1105661004271	1789794425850884096	1105661005758	1789794425850884096	1105661005758	1789794425850884096	1105661007551	1789794425850884096	1105661007582	1789794425850884096	1105661007707	0	0	0	0	0	0
59	3	0	0	0	1	0	1789794425850887168	1105661014583	1789794425850888192	1105661016299	1789794425850888192	1105661016299	1789794425850888192	1105661017267	1789794425850888192	1105661017297	1789794425850888192	1105661017414	0	0	0	0	0	0
60	5	0	0	0	1	0	1789794425850892288	1105661026596	1789794425850892288	1105661028482	1789794425850892288	1105661028482	1789794425850917888	1105661091534	1789794425850917888	1105661091578	1789794425850917888	1105661091698	0	0	0	0	53	2
61	0	32	16	16	1	1536	1789794425850924032	1105661106652	1789794425850925056	1105661109165	1789794425850925056	1105661110226	1789794425850935296	1105661136897	1789794425850937344	1105661140575	1789794425850937344	1105661140695	1105661110237	1105661136765	15058	32	0	0
62	1	0	0	0	1	0	1789794425850939392	1105661146791	1789794425850940416	1105661148226	1789794425850940416	1105661148226	1789794425850941440	1105661151994	1789794425850942464	1105661153170	1789794425850942464	1105661153292	0	0	0	0	91	8
63	0	32	16	16	1	1536	1789794425850944512	1105661158155	1789794425850945536	1105661160650	1789794425850945536	1105661161331	1789794425850954752	1105661184194	1789794425850955776	1105661187181	1789794425850955776	1105661187297	1105661161340	1105661184062	11854	32	0	0
64	4	0	0	0	1	0	1789794425850960896	1105661198605	1789794425850960896	1105661200391	1789794425850960896	1105661200391	1789794425850963968	1105661207314	1789794425850963968	1105661207344	1789794425850963968	1105661207461	0	0	0	0	0	0
65	0	32	16	16	1	1536	1789794425850966016	1105661212768	1789794425850967040	1105661215404	1789794425850967040	1105661216088	1789794425850984448	1105661259027	1789794425850986496	1105661263319	1789794425850986496	1105661263435	1105661216117	1105661258929	22424	64	0	0
66	1	0	0	0	1	0	1789794425850990592	1105661273600	1789794425850990592	1105661274961	1789794425850990592	1105661274961	1789794425850992640	1105661278611	1789794425850992640	1105661280379	1789794425850992640	1105661280496	0	0	0	0	95	8
67	0	32	16	16	1	1536	1789794425850994688	1105661285714	1789794425850995712	1105661288353	1789794425850996736	1105661289089	1789794425851004928	1105661309674	1789794425851005952	1105661312320	1789794425851005952	1105661312439	1105661289098	1105661309563	10272	32	0	0
68	2	0	0	0	1	0	1789794425851011072	1105661324583	1789794425851011072	1105661325976	1789794425851011072	1105661325976	1789794425851012096	1105661328151	1789794425851012096	1105661328182	1789794425851012096	1105661328421	0	0	0	0	0	0
69	2	0	0	0	1	0	1789794425851014144	1105661334692	1789794425851015168	1105661336091	1789794425851015168	1105661336091	1789794425851016192	1105661338026	1789794425851016192	1105661338056	1789794425851016192	1105661338461	0	0	0	0	0	0
70	3	0	0	0	1	0	1789794425851019264	1105661345458	1789794425851019264	1105661347091	1789794425851019264	1105661347091	1789794425851020288	1105661348332	1789794425851020288	1105661348362	1789794425851020288	1105661348479	0	0	0	0	0	0
71	5	0	0	0	1	0	1789794425851023360	1105661357910	1789794425851024384	1105661360118	1789794425851024384	1105661360118	1789794425851051008	1105661425321	1789794425851051008	1105661425354	1789794425851051008	1105661425480	0	0	0	0	284	2
72	0	32	16	16	1	1536	1789794425851055104	1105661437005	1789794425851056128	1105661439561	1789794425851057152	1105661440248	1789794425851067392	1105661466341	1789794425851068416	1105661469067	1789794425851068416	1105661469188	1105661440272	1105661466224	13250	32	0	0
73	1	0	0	0	1	0	1789794425851070464	1105661475477	1789794425851071488	1105661476638	1789794425851071488	1105661476638	1789794425851072512	1105661479746	1789794425851073536	1105661481536	1789794425851073536	1105661481670	0	0	0	0	93	8
74	0	32	16	16	1	1536	1789794425851075584	1105661487151	1789794425851076608	1105661489506	1789794425851076608	1105661490450	1789794425851085824	1105661512636	1789794425851086848	1105661514919	1789794425851086848	1105661515038	1105661490462	1105661512482	10905	32	0	0
