slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789826905052317696	9854770211270	1789826905052317696	9854770213104	1789826905052317696	9854770213104	1789826905052326912	9854770238395	1789826905052328960	9854770242329	1789826905052328960	9854770242448	0	0	0	0	689	1
1	0	64	128	16	1	6144	1789826905052331008	9854770247940	1789826905052332032	9854770251361	1789826905052333056	9854770254362	1789826905052462080	9854770611132	1789826905052464128	9854770616867	1789826905052465152	9854770617209	9854770254372	9854770611039	133359	256	765	0
2	2	0	0	0	1	0	1789826905052467200	9854770623008	1789826905052467200	9854770625337	1789826905052467200	9854770625337	1789826905052468224	9854770626494	1789826905052468224	9854770626524	1789826905052468224	9854770626644	0	0	0	0	282	0
3	2	0	0	0	1	0	1789826905052469248	9854770630740	1789826905052470272	9854770632606	1789826905052470272	9854770632606	1789826905052471296	9854770634595	1789826905052471296	9854770634625	1789826905052471296	9854770634743	0	0	0	0	286	0
4	2	0	0	0	1	0	1789826905052472320	9854770637501	1789826905052473344	9854770640103	1789826905052473344	9854770640103	1789826905052473344	9854770641972	1789826905052473344	9854770642002	1789826905052473344	9854770642120	0	0	0	0	273	0
5	2	0	0	0	1	0	1789826905052474368	9854770645174	1789826905052475392	9854770647198	1789826905052475392	9854770647198	1789826905052476416	9854770649384	1789826905052476416	9854770649414	1789826905052476416	9854770649533	0	0	0	0	273	0
6	2	0	0	0	1	0	1789826905052477440	9854770652277	1789826905052478464	9854770654856	1789826905052478464	9854770654856	1789826905052479488	9854770656729	1789826905052479488	9854770656759	1789826905052479488	9854770656877	0	0	0	0	273	0
7	2	0	0	0	1	0	1789826905052480512	9854770659911	1789826905052480512	9854770662312	1789826905052480512	9854770662312	1789826905052481536	9854770664187	1789826905052481536	9854770664217	1789826905052481536	9854770664335	0	0	0	0	276	0
8	2	0	0	0	1	0	1789826905052482560	9854770667306	1789826905052483584	9854770669906	1789826905052483584	9854770669906	1789826905052484608	9854770671794	1789826905052484608	9854770671824	1789826905052484608	9854770671943	0	0	0	0	273	0
9	2	0	0	0	1	0	1789826905052485632	9854770675008	1789826905052486656	9854770677341	1789826905052486656	9854770677341	1789826905052487680	9854770679522	1789826905052487680	9854770679552	1789826905052487680	9854770679670	0	0	0	0	273	0
10	2	0	0	0	1	0	1789826905052488704	9854770682414	1789826905052488704	9854770683910	1789826905052488704	9854770683910	1789826905052489728	9854770685746	1789826905052489728	9854770685776	1789826905052489728	9854770685894	0	0	0	0	293	0
11	2	0	0	0	1	0	1789826905052490752	9854770689137	1789826905052491776	9854770691524	1789826905052491776	9854770691524	1789826905052491776	9854770693423	1789826905052491776	9854770693453	1789826905052491776	9854770693571	0	0	0	0	279	0
12	2	0	0	0	1	0	1789826905052492800	9854770696261	1789826905052493824	9854770698394	1789826905052493824	9854770698394	1789826905052494848	9854770700249	1789826905052494848	9854770700279	1789826905052494848	9854770700398	0	0	0	0	274	0
13	2	0	0	0	1	0	1789826905052495872	9854770703445	1789826905052496896	9854770705770	1789826905052496896	9854770705770	1789826905052497920	9854770708003	1789826905052497920	9854770708033	1789826905052497920	9854770708152	0	0	0	0	273	0
14	2	0	0	0	1	0	1789826905052498944	9854770710841	1789826905052498944	9854770713333	1789826905052498944	9854770713333	1789826905052499968	9854770714897	1789826905052499968	9854770714927	1789826905052499968	9854770715045	0	0	0	0	287	0
15	2	0	0	0	1	0	1789826905052500992	9854770718098	1789826905052502016	9854770720577	1789826905052502016	9854770720577	1789826905052503040	9854770722663	1789826905052503040	9854770722694	1789826905052503040	9854770722813	0	0	0	0	278	0
16	2	0	0	0	1	0	1789826905052504064	9854770725450	1789826905052505088	9854770728077	1789826905052505088	9854770728077	1789826905052505088	9854770729962	1789826905052505088	9854770729992	1789826905052505088	9854770730110	0	0	0	0	273	0
17	2	0	0	0	1	0	1789826905052506112	9854770732961	1789826905052507136	9854770734705	1789826905052507136	9854770734705	1789826905052508160	9854770736830	1789826905052508160	9854770736862	1789826905052508160	9854770736980	0	0	0	0	287	0
18	2	0	0	0	1	0	1789826905052510208	9854770742806	1789826905052511232	9854770745401	1789826905052511232	9854770745401	1789826905052511232	9854770746913	1789826905052511232	9854770746943	1789826905052511232	9854770747061	0	0	0	0	275	0
19	2	0	0	0	1	0	1789826905052513280	9854770750840	1789826905052513280	9854770752704	1789826905052513280	9854770752704	1789826905052514304	9854770754772	1789826905052514304	9854770754802	1789826905052514304	9854770754920	0	0	0	0	277	0
20	2	0	0	0	1	0	1789826905052515328	9854770757619	1789826905052516352	9854770760265	1789826905052516352	9854770760265	1789826905052517376	9854770762108	1789826905052517376	9854770762138	1789826905052517376	9854770762256	0	0	0	0	273	0
21	2	0	0	0	1	0	1789826905052518400	9854770765340	1789826905052518400	9854770767419	1789826905052518400	9854770767419	1789826905052519424	9854770769626	1789826905052519424	9854770769656	1789826905052519424	9854770769774	0	0	0	0	273	0
