model	batch	point	past	floor_ms
llama	1	p_lo	64	2.5201742288256987
llama	1	p_mid	575	2.5372328467046894
llama	1	p_hi	1086	2.5542914645836805
llama	2	p_lo	64	2.5223451406764132
llama	2	p_mid	575	2.556462376434395
llama	2	p_hi	1086	2.590579612192377
llama	4	p_lo	64	2.5266869643778427
llama	4	p_mid	575	2.5949214358938066
llama	4	p_hi	1086	2.6631559074097706
llama	8	p_lo	64	2.5353706117807024
llama	8	p_mid	575	2.6718395548126304
llama	8	p_hi	1086	2.808308497844558
qwen3	1	p_lo	64	3.51331130482595
qwen3	1	p_mid	575	3.573016467402418
qwen3	1	p_hi	1086	3.6327216299788865
qwen3	2	p_lo	64	3.520907113417661
qwen3	2	p_mid	575	3.640317438570597
qwen3	2	p_hi	1086	3.759727763723534
qwen3	4	p_lo	64	3.5360987306010823
qwen3	4	p_mid	575	3.7749193809069554
qwen3	4	p_hi	1086	4.013740031212829
qwen3	8	p_lo	64	3.5664819649679256
qwen3	8	p_mid	575	4.044123265579673
qwen3	8	p_hi	1086	4.521764566191419
