cell	wall_seconds	budget_seconds	budget_pass	evidence	bridge_and_plan_count	bridge_and_plan_seconds	instantiate_count	instantiate_seconds	derive_count	derive_seconds	prepare_relations_count	prepare_relations_seconds	instantiate_and_derive_count	instantiate_and_derive_seconds	resource_probe_count	resource_probe_seconds	piece_pricing_and_release_count	piece_pricing_and_release_seconds	incremental_prepare_count	incremental_prepare_seconds	flow_count	flow_seconds	skeleton_count	skeleton_seconds	materialize_count	materialize_seconds	simulate_count	simulate_seconds	megakernel_compile_count	megakernel_compile_seconds	search_evaluations_count	search_evaluations_seconds	search_rounds_count	search_rounds_seconds	cache_hit_count	cache_hit_seconds	cache_miss_count	cache_miss_seconds	price_cache_hit_count	price_cache_hit_seconds	release_cache_hit_count	release_cache_hit_seconds	incremental_space_hit_count	incremental_space_hit_seconds
llama_prefill_B1	1663.6373534370214	600	False	plans/llama_prefill_B1/plan.so.timing.tsv			37	0.0183283	37	0.965403	37	50.3612	5181	64.2294	10427	10.3205	5218	511.847	5218	0.0115227	5201	5.73217	16	7.1787	16	1.3524500000000002	16	0.11058899999999999	3	336.983	5201	0.0	3	0.0	907656	0.0	5720	0.0	3	0.0	1870	0.0	0	0.0
llama_prefill_B2	2990.9885147659807	600	False	plans/llama_prefill_B2/plan.so.timing.tsv			46	0.0257022	46	1.23675	46	91.373	8169	102.411	18056	11.274	8215	1471.11	8215	0.0200584	8198	13.8985	16	11.975200000000001	16	3.69833	16	0.139563	3	386.672	8198	0.0	5	0.0	1405628	0.0	9212	0.0	0	0.0	2695	0.0	0	0.0
llama_prefill_B4	3367.3451718050055	600	False	plans/llama_prefill_B4/plan.so.timing.tsv			39	0.0235563	39	1.29616	39	285.278	5875	81.35130000000001	15755	11.0825	5914	1943.91	5914	0.0159117	5897	16.409200000000002	16	12.258	16	2.37442	16	0.275814	3	312.056	5897	0.0	5	0.0	1043743	0.0	7197	0.0	2	0.0	2653	0.0	0	0.0
llama_prefill_B8	5932.310612546047	600	False	plans/llama_prefill_B8/plan.so.timing.tsv			45	0.023589600000000002	45	1.22434	45	237.799	9409	110.228	19295	11.132700000000002	9454	4531.77	9454	0.0244419	9437	36.6521	16	9.30362	16	0.804264	16	0.6412329999999999	3	293.813	9437	0.0	5	0.0	1536095	0.0	7128	0.0	0	0.0	2394	0.0	0	0.0
llama_decode_B1	1145.9828607119853	600	False	plans/llama_decode_B1/plan.so.timing.tsv			30	0.0140764	30	0.796103	30	48.8941	4282	44.1595	5739	4.35275	4312	218.439	4312	0.0091567	2842	3.28921	16	8.04548	16	0.91047	48	0.15394999999999998	3	303.38	1421	0.0	2	0.0	797724	0.0	1600	0.0	0	0.0	7753	0.0	3884	0.0
llama_decode_B2	1445.3676811960759	600	False	plans/llama_decode_B2/plan.so.timing.tsv			43	0.022875	43	1.08998	43	84.8751	8166	72.7529	11062	4.38002	8209	435.206	8209	0.0163266	5440	7.61176	16	10.8783	16	0.9791409999999999	48	0.17097900000000002	3	317.134	2720	0.0	4	0.0	1472734	0.0	1866	0.0	0	0.0	7753	0.0	3884	0.0
llama_decode_B4	1572.8573534750612	600	False	plans/llama_decode_B4/plan.so.timing.tsv			40	0.021662	40	1.0769600000000001	40	79.41789999999999	8055	74.2829	10948	4.29668	8095	601.456	8095	0.016010200000000002	5364	9.22006	16	11.9311	16	1.0635999999999999	48	0.194636	3	309.643	2682	0.0	4	0.0	1453925	0.0	1604	0.0	0	0.0	7753	0.0	3884	0.0
llama_decode_B8	1419.7960633350303	600	False	plans/llama_decode_B8/plan.so.timing.tsv			31	0.0176679	31	1.07721	31	58.4109	6288	58.491	9172	4.3487	6319	467.286	6319	0.0131151	4180	9.87011	16	7.7572399999999995	16	0.277957	48	0.14602600000000002	3	301.918	2090	0.0	4	0.0	1108774	0.0	1870	0.0	0	0.0	6975	0.0	3404	0.0
llama_decode_B16	1417.5804216819815	600	False	plans/llama_decode_B16/plan.so.timing.tsv			39	0.019905100000000002	39	1.042	39	65.2477	6051	53.302800000000005	8230	4.29644	6090	536.35	6090	0.0114842	4028	13.010200000000001	16	7.7917700000000005	16	0.275469	48	0.184816	3	277.482	2014	0.0	3	0.0	1044175	0.0	1864	0.0	0	0.0	7431	0.0	3954	0.0
qwen3_prefill_B1	1691.533057575929	600	False	plans/qwen3_prefill_B1/plan.so.timing.tsv			29	0.0281218	29	1.05065	29	75.64410000000001	3424	84.1622	6896	10.2113	3453	380.371	3453	0.0157174	3436	6.18463	16	15.556	16	2.325	16	0.167115	3	313.496	3436	0.0	2	0.0	1062171	0.0	8944	0.0	0	0.0	4529	0.0	0	0.0
qwen3_prefill_B2	2972.932516042958	600	False	plans/qwen3_prefill_B2/plan.so.timing.tsv			32	0.0361334	32	1.52393	32	107.156	5438	126.526	13275	11.0389	5470	1064.56	5470	0.025749300000000003	5453	14.7972	16	25.0147	16	7.084020000000001	16	0.239347	3	388.673	5453	0.0	4	0.0	1635705	0.0	11291	0.0	0	0.0	4711	0.0	0	0.0
qwen3_prefill_B4	3753.6718772719614	600	False	plans/qwen3_prefill_B4/plan.so.timing.tsv			35	0.0413815	35	1.6629200000000002	35	104.314	5823	146.154	13663	11.406	5858	2070.02	5858	0.029781199999999997	5841	24.966099999999997	16	25.911	16	4.119149999999999	16	0.616078	3	305.483	5841	0.0	4	0.0	1748647	0.0	15725	0.0	2	0.0	4663	0.0	0	0.0
qwen3_prefill_B8	5383.106440728996	600	False	plans/qwen3_prefill_B8/plan.so.timing.tsv			38	0.0413053	38	1.68981	38	104.024	7380	154.457	15223	11.1418	7418	3620.12	7418	0.0357643	7401	46.1106	16	23.3669	16	2.09011	16	1.15837	3	315.195	7401	0.0	4	0.0	2113526	0.0	11524	0.0	0	0.0	4182	0.0	0	0.0
qwen3_decode_B1	1451.9026450649835	600	False	plans/qwen3_decode_B1/plan.so.timing.tsv			30	0.0268913	30	1.16029	30	95.56110000000001	4222	75.388	5659	4.42742	4252	253.141	4252	0.0164053	2802	5.58195	16	17.792	16	1.84626	48	0.27799599999999997	3	307.318	1401	0.0	2	0.0	1368627	0.0	2614	0.0	0	0.0	13561	0.0	6716	0.0
qwen3_decode_B2	1971.1001926590689	600	False	plans/qwen3_decode_B2/plan.so.timing.tsv			35	0.0389243	35	1.63704	35	141.463	6308	108.983	9156	4.33404	6343	428.12	6343	0.0248176	4196	11.3294	16	27.4827	16	2.24559	48	0.356814	3	314.07	2098	0.0	4	0.0	1993813	0.0	3188	0.0	0	0.0	13561	0.0	6716	0.0
qwen3_decode_B4	2415.9502018699422	600	False	plans/qwen3_decode_B4/plan.so.timing.tsv			40	0.0432719	40	1.52531	40	152.619	7935	127.35	10788	4.37069	7975	810.714	7975	0.030594100000000003	5284	15.932	16	23.774900000000002	16	2.08058	48	0.352582	3	322.243	2642	0.0	4	0.0	2489804	0.0	2618	0.0	0	0.0	13561	0.0	6716	0.0
qwen3_decode_B8	1879.4846540309954	600	False	plans/qwen3_decode_B8/plan.so.timing.tsv			31	0.029338999999999997	31	1.3364200000000002	31	98.6996	6198	101.455	9042	4.32888	6229	570.074	6229	0.0268701	4120	16.4039	16	17.6191	16	0.731256	48	0.26244	3	287.338	2060	0.0	4	0.0	1899847	0.0	3112	0.0	0	0.0	12195	0.0	5876	0.0
