producer	consumer	direction	oracle	coordinate	expected	actual	equal
0	1	0	General	0	64	64	1
0	1	0	General	64	64	64	1
0	1	0	General	127	64	64	1
0	1	1	General	0	32	32	1
0	1	1	General	128	32	32	1
0	1	1	General	255	32	32	1
1	2	0	Unique	0	1	1	1
1	2	0	Unique	128	1	1	1
1	2	0	Unique	255	1	1	1
1	2	1	General	0	2	2	1
1	2	1	General	64	2	2	1
1	2	1	General	127	2	2	1
0	3	0	General	0	16	16	1
0	3	0	General	64	16	16	1
0	3	0	General	127	16	16	1
0	3	1	General	0	32	32	1
0	3	1	General	32	32	32	1
0	3	1	General	63	32	32	1
0	4	0	General	0	16	16	1
0	4	0	General	64	16	16	1
0	4	0	General	127	16	16	1
0	4	1	General	0	32	32	1
0	4	1	General	32	32	32	1
0	4	1	General	63	32	32	1
2	5	0	General	0	512	512	1
2	5	0	General	64	512	512	1
2	5	0	General	127	512	512	1
2	5	1	General	0	128	128	1
2	5	1	General	256	128	128	1
2	5	1	General	511	128	128	1
3	6	0	General	0	256	256	1
3	6	0	General	32	256	256	1
3	6	0	General	63	256	256	1
3	6	1	General	0	64	64	1
3	6	1	General	128	64	64	1
3	6	1	General	255	64	64	1
6	7	0	Unique	0	1	1	1
6	7	0	Unique	128	1	1	1
6	7	0	Unique	255	1	1	1
6	7	1	Unique	0	1	1	1
6	7	1	Unique	128	1	1	1
6	7	1	Unique	255	1	1	1
4	8	0	General	0	256	256	1
4	8	0	General	32	256	256	1
4	8	0	General	63	256	256	1
4	8	1	General	0	64	64	1
4	8	1	General	128	64	64	1
4	8	1	General	255	64	64	1
5	9	0	Unique	0	1	1	1
5	9	0	Unique	256	1	1	1
5	9	0	Unique	511	1	1	1
5	9	1	Unique	0	1	1	1
5	9	1	Unique	256	1	1	1
5	9	1	Unique	511	1	1	1
7	9	0	General	0	512	512	1
7	9	0	General	128	512	512	1
7	9	0	General	255	512	512	1
7	9	1	General	0	256	256	1
7	9	1	General	256	256	256	1
7	9	1	General	511	256	256	1
8	9	0	General	0	512	512	1
8	9	0	General	128	512	512	1
8	9	0	General	255	512	512	1
8	9	1	General	0	256	256	1
8	9	1	General	256	256	256	1
8	9	1	General	511	256	256	1
9	10	0	General	0	32	32	1
9	10	0	General	256	32	32	1
9	10	0	General	511	32	32	1
9	10	1	General	0	128	128	1
9	10	1	General	64	128	128	1
9	10	1	General	127	128	128	1
10	11	0	General	0	32	32	1
10	11	0	General	64	32	32	1
10	11	0	General	127	32	32	1
10	11	1	General	0	32	32	1
10	11	1	General	64	32	32	1
10	11	1	General	127	32	32	1
11	12	0	General	0	64	64	1
11	12	0	General	64	64	64	1
11	12	0	General	127	64	64	1
11	12	1	General	0	32	32	1
11	12	1	General	128	32	32	1
11	12	1	General	255	32	32	1
11	13	0	General	0	64	64	1
11	13	0	General	64	64	64	1
11	13	0	General	127	64	64	1
11	13	1	General	0	32	32	1
11	13	1	General	128	32	32	1
11	13	1	General	255	32	32	1
12	14	0	General	0	32	32	1
12	14	0	General	128	32	32	1
12	14	0	General	255	32	32	1
12	14	1	General	0	64	64	1
12	14	1	General	64	64	64	1
12	14	1	General	127	64	64	1
13	14	0	General	0	32	32	1
13	14	0	General	128	32	32	1
13	14	0	General	255	32	32	1
13	14	1	General	0	64	64	1
13	14	1	General	64	64	64	1
13	14	1	General	127	64	64	1
10	15	0	Unique	0	1	1	1
