rank	key	estimated	actual	re_solved	residency	level2_ns	simulated_ns
1	32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k4;	6	5	1	3	131852	219142
2	32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k2;	6	5	1	3	133529	213300
3	32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k8;	6	5	1	4	133619	211741
4	32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;32x16x32s2k2;32x16x32s2k4;	6	5	1	3	134754	237008
5	32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k16;	6	5	1	4	141697	230204
