segment	geometry	seq	nodes	grid	total	bijective	dense	acyclic	resident	status
0	32x16x64s2split16	1	11484	512	1	1	1	1	1	PASS
0	32x16x64s2split16	2	11576	512	1	1	1	1	1	PASS
0	32x16x64s2split16	3	11668	512	1	1	1	1	1	PASS
0	32x16x64s2split16	4	11760	512	1	1	1	1	1	PASS
0	32x16x64s2split16	5	11852	512	1	1	1	1	1	PASS
0	32x16x64s2split16	6	11944	512	1	1	1	1	1	PASS
0	32x16x64s2split16	7	12036	512	1	1	1	1	1	PASS
0	32x16x64s2split16	8	12128	512	1	1	1	1	1	PASS
0	32x16x64s2split16	9	12220	512	1	1	1	1	1	PASS
0	32x16x64s2split16	10	12312	512	1	1	1	1	1	PASS
0	32x16x64s2split16	11	12404	512	1	1	1	1	1	PASS
0	32x16x64s2split16	12	12496	512	1	1	1	1	1	PASS
0	32x16x64s2split16	13	12588	512	1	1	1	1	1	PASS
1	32x16x64s2split8	14	11656	512	1	1	1	1	1	PASS
1	32x16x64s2split8	15	11748	512	1	1	1	1	1	PASS
1	32x16x64s2split8	16	11840	512	1	1	1	1	1	PASS
