poll_mode	backoff_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
rmw	64	1	1	1	4096	2	1231.2	6.43	1024.0	2048.0	2048.0	1231.2	2048.0	2048.0	0	1230.5	6.42	1230.5
rmw	64	2	1	2	4096	3	1237.4	4.60	1024.0	2048.0	2048.0	1241.2	2048.0	2048.0	0	1236.6	4.59	1240.5
rmw	64	4	1	4	4096	5	1244.1	3.29	1024.0	2048.0	2048.0	1253.0	2048.0	2048.0	0	1243.3	3.28	1252.2
rmw	64	8	1	8	4096	9	1237.7	2.30	1024.0	2048.0	2048.0	1246.5	2048.0	2048.0	0	1236.9	2.30	1245.7
rmw	64	16	1	16	4096	17	1247.7	1.65	1024.0	2048.0	2048.0	1258.2	2048.0	2048.0	0	1246.9	1.65	1257.5
rmw	64	32	1	32	4096	33	1244.8	1.16	1024.0	2048.0	2048.0	1258.2	2048.0	2048.0	0	1244.0	1.16	1257.5
rmw	64	64	1	64	4096	65	1237.0	0.81	1024.0	2048.0	2048.0	1251.5	2048.0	2048.0	0	1236.1	0.81	1250.7
rmw	64	128	1	128	4096	129	1232.5	0.57	1024.0	2048.0	2048.0	1248.0	2048.0	2048.0	0	1231.7	0.57	1247.2
rmw	64	256	1	256	4096	257	1216.5	0.39	1024.0	2048.0	2048.0	1235.8	2048.0	2048.0	0	1215.7	0.39	1235.0
rmw	64	4	4	1	4096	8	1217.1	3.13	1024.0	2048.0	2048.0	1217.1	2048.0	2048.0	0	1216.3	3.13	1216.3
rmw	64	8	4	2	4096	12	1226.5	2.25	1024.0	2048.0	2048.0	1231.6	2048.0	2048.0	0	1225.7	2.25	1230.8
rmw	64	16	4	4	4096	20	1225.1	1.59	1024.0	2048.0	2048.0	1231.6	2048.0	2048.0	0	1224.3	1.59	1230.8
rmw	64	32	4	8	4096	36	1228.1	1.13	1024.0	2048.0	2048.0	1236.8	2048.0	2048.0	0	1227.3	1.13	1236.0
rmw	64	64	4	16	4096	68	1230.4	0.80	1024.0	2048.0	2048.0	1241.8	2048.0	2048.0	0	1229.6	0.80	1241.0
rmw	64	128	4	32	4096	132	1224.7	0.56	1024.0	2048.0	2048.0	1237.2	2048.0	2048.0	0	1223.9	0.56	1236.5
rmw	64	256	4	64	4096	260	1249.8	0.41	1024.0	2048.0	2048.0	1263.8	2048.0	2048.0	0	1249.0	0.41	1263.0
rmw	64	16	16	1	4096	32	1224.0	1.59	1024.0	2048.0	2048.0	1224.0	2048.0	2048.0	0	1223.2	1.58	1223.2
rmw	64	32	16	2	4096	48	1221.5	1.12	1024.0	2048.0	2048.0	1225.0	2048.0	2048.0	0	1220.6	1.11	1224.2
rmw	64	64	16	4	4096	80	1225.0	0.79	1024.0	2048.0	2048.0	1231.3	2048.0	2048.0	0	1224.2	0.79	1230.5
rmw	64	128	16	8	4096	144	1219.9	0.56	1024.0	2048.0	2048.0	1226.9	2048.0	2048.0	0	1219.1	0.56	1226.1
rmw	64	256	16	16	4096	272	1236.2	0.41	1024.0	2048.0	2048.0	1247.0	2048.0	2048.0	0	1235.4	0.40	1246.2
rmw	64	64	64	1	4096	128	1216.5	0.78	1024.0	2048.0	2048.0	1216.5	2048.0	2048.0	0	1215.7	0.78	1215.7
rmw	64	128	64	2	4096	192	1213.0	0.55	1024.0	2048.0	2048.0	1213.8	2048.0	2048.0	0	1212.2	0.55	1213.0
rmw	64	256	64	4	4096	320	1212.1	0.39	1024.0	2048.0	2048.0	1214.7	2048.0	2048.0	0	1211.2	0.39	1213.9
rmw	0	1	1	1	4096	2	353.5	7.61	0.0	1024.0	1024.0	353.5	1024.0	1024.0	0	352.8	7.61	352.8
rmw	0	2	1	2	4096	3	362.6	5.41	0.0	1024.0	1024.0	387.2	1024.0	1024.0	0	362.0	5.41	386.6
rmw	0	4	1	4	4096	5	349.4	3.79	0.0	1024.0	1024.0	393.0	1024.0	1024.0	0	348.8	3.79	392.4
rmw	0	8	1	8	4096	9	360.7	2.70	0.0	1024.0	1024.0	407.5	1024.0	1024.0	0	360.0	2.70	406.9
rmw	0	16	1	16	4096	17	355.9	1.90	0.0	1024.0	1024.0	412.0	1024.0	1024.0	0	355.2	1.90	411.4
rmw	0	32	1	32	4096	33	352.1	1.34	0.0	1024.0	1024.0	417.2	1024.0	1024.0	0	351.4	1.34	416.7
rmw	0	64	1	64	4096	65	349.4	0.95	0.0	1024.0	1024.0	418.0	1024.0	1024.0	0	348.7	0.95	417.4
rmw	0	128	1	128	4096	129	353.8	0.67	0.0	1024.0	1024.0	418.8	1024.0	1024.0	0	353.1	0.67	418.2
rmw	0	256	1	256	4096	257	343.3	0.47	0.0	1024.0	1024.0	412.8	1024.0	1024.0	0	342.7	0.47	412.2
rmw	0	4	4	1	4096	8	354.8	3.81	0.0	1024.0	1024.0	354.8	1024.0	1024.0	0	354.2	3.81	354.2
rmw	0	8	4	2	4096	12	340.5	2.67	0.0	1024.0	1024.0	353.2	1024.0	1024.0	0	339.9	2.67	352.5
rmw	0	16	4	4	4096	20	336.3	1.88	0.0	1024.0	1024.0	369.1	1024.0	1024.0	0	335.6	1.88	368.5
rmw	0	32	4	8	4096	36	343.8	1.34	0.0	1024.0	1024.0	387.2	1024.0	1024.0	0	343.1	1.34	386.6
rmw	0	64	4	16	4096	68	345.5	0.95	0.0	1024.0	1024.0	403.8	1024.0	1024.0	0	344.9	0.95	403.1
rmw	0	128	4	32	4096	132	350.5	0.67	0.0	1024.0	1024.0	413.8	1024.0	1024.0	0	349.9	0.67	413.2
rmw	0	256	4	64	4096	260	362.7	0.48	0.0	1024.0	1024.0	427.8	1024.0	1024.0	0	362.0	0.48	427.2
rmw	0	16	16	1	4096	32	334.3	1.88	0.0	1024.0	1024.0	334.3	1024.0	1024.0	0	333.6	1.88	333.6
rmw	0	32	16	2	4096	48	341.6	1.33	0.0	1024.0	1024.0	362.2	1024.0	1024.0	0	341.0	1.33	361.6
