model	seq	place	tasks	measured_span_ns	signed_p50	abs_p50	abs_p90	abs_max	abs_p90_pct_span
gqa2	4	0	200	404480.0	-62049.29224999999	62049.29224999999	110347.05669999999	124098.5845	27.281214571795882
gqa2	4	4	200	541696.0	-103942.01845	103942.01845	178535.16249999998	191519.1509	32.95855285990665
gqa2	4	5	200	225280.0	-26123.275495	26123.275495	46815.12460000001	52246.55100000001	20.780861416903413
gqa2	128	0	4416	564224.0	-134954.1196	134954.1196	205937.5771	270932.4736	36.4992586455025
gqa2	128	4	4416	896000.0	-284460.04760000005	284460.04760000005	458565.8062	600323.7663	51.179219441964285
gqa2	128	5	4416	367616.0	-92386.23454	92386.23454	137313.7895	182724.4691	37.352506283730854
gqa2	512	0	17664	1897472.0	-729121.18765	729121.18765	1177281.8512	1461525.0582	62.04475487385321
gqa2	512	4	17664	4753408.0	-1501508.9468999999	1501508.9468999999	2625153.03109	3875282.2391	55.226755857902376
gqa2	512	5	17664	1743872.0	-706114.0082	706114.0082	1137323.4255	1414074.2123	65.21828583175828
mha4	4	0	512	852992.0	-129364.45629999999	129364.45629999999	229699.28597000003	260776.91260000004	26.928656537224267
mha4	4	4	512	1075200.0	-175540.03505	175540.03505	316043.00800000003	356456.4244	29.393880952380957
mha4	4	5	512	490496.0	-56992.97185	56992.97185	96436.27445	112961.9437	19.660970619536144
mha4	128	0	11920	1161216.0	-269245.28359999997	269245.28359999997	444864.7731	538490.7188	38.3102517619461
mha4	128	4	11920	3712000.0	-1097903.7323	1097903.7323	1572139.5417	2497802.9979999997	42.35289713631465
mha4	128	5	11920	813056.0	-202571.69825000002	202571.69825000002	338737.555	406167.3966	41.66226619076669
mha4	512	0	47680	3591168.0	-1061253.40295	1061253.40295	1612677.904	2124473.842	44.906779744083266
mha4	512	4	47680	29289472.0	-9838503.274	9838503.274	18742872.1452	23138587.006	63.991840294014175
mha4	512	5	47680	3318784.0	-1056523.5416	1056523.5416	1656225.4824	2134342.01	49.90458801778001
