poll_mode	backoff_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
load	64	1	1	1	4096	2	1229.8	6.41	1024.0	2048.0	2048.0	1229.8	2048.0	2048.0	0	1229.0	6.40	1229.0
load	64	2	1	2	4096	3	1247.8	4.68	1024.0	2048.0	2048.0	1251.5	2048.0	2048.0	0	1247.0	4.67	1250.7
load	64	4	1	4	4096	5	1241.4	3.27	1024.0	2048.0	2048.0	1246.2	2048.0	2048.0	0	1240.6	3.27	1245.5
load	64	8	1	8	4096	9	1230.4	2.27	1024.0	2048.0	2048.0	1238.8	2048.0	2048.0	0	1229.6	2.27	1238.0
load	64	16	1	16	4096	17	1249.7	1.66	1024.0	2048.0	2048.0	1259.2	2048.0	2048.0	0	1248.9	1.66	1258.5
load	64	32	1	32	4096	33	1243.1	1.16	1024.0	2048.0	2048.0	1254.2	2048.0	2048.0	0	1242.3	1.16	1253.5
load	64	64	1	64	4096	65	1239.2	0.81	1024.0	2048.0	2048.0	1257.5	2048.0	2048.0	0	1238.4	0.81	1256.7
load	64	128	1	128	4096	129	1232.7	0.57	1024.0	2048.0	2048.0	1247.8	2048.0	2048.0	0	1231.9	0.57	1247.0
load	64	256	1	256	4096	257	1217.9	0.39	1024.0	2048.0	2048.0	1237.2	2048.0	2048.0	0	1217.0	0.39	1236.5
load	64	4	4	1	4096	8	1222.8	3.16	1024.0	2048.0	2048.0	1222.8	2048.0	2048.0	0	1222.0	3.16	1222.0
load	64	8	4	2	4096	12	1224.9	2.25	1024.0	2048.0	2048.0	1228.8	2048.0	2048.0	0	1224.1	2.24	1227.9
load	64	16	4	4	4096	20	1224.8	1.59	1024.0	2048.0	2048.0	1231.7	2048.0	2048.0	0	1224.0	1.59	1230.9
load	64	32	4	8	4096	36	1226.5	1.13	1024.0	2048.0	2048.0	1236.2	2048.0	2048.0	0	1225.7	1.13	1235.4
load	64	64	4	16	4096	68	1224.8	0.79	1024.0	2048.0	2048.0	1235.3	2048.0	2048.0	0	1224.0	0.79	1234.5
load	64	128	4	32	4096	132	1222.4	0.56	1024.0	2048.0	2048.0	1235.9	2048.0	2048.0	0	1221.6	0.56	1235.1
load	64	256	4	64	4096	260	1251.1	0.42	1024.0	2048.0	2048.0	1264.6	2048.0	2048.0	0	1250.3	0.42	1263.8
load	64	16	16	1	4096	32	1223.9	1.59	1024.0	2048.0	2048.0	1223.9	2048.0	2048.0	0	1223.1	1.58	1223.1
load	64	32	16	2	4096	48	1221.4	1.12	1024.0	2048.0	2048.0	1225.1	2048.0	2048.0	0	1220.6	1.11	1224.3
load	64	64	16	4	4096	80	1223.1	0.79	1024.0	2048.0	2048.0	1229.4	2048.0	2048.0	0	1222.3	0.79	1228.6
load	64	128	16	8	4096	144	1222.2	0.56	1024.0	2048.0	2048.0	1228.8	2048.0	2048.0	0	1221.4	0.56	1227.9
load	64	256	16	16	4096	272	1240.1	0.41	1024.0	2048.0	2048.0	1251.5	2048.0	2048.0	0	1239.3	0.41	1250.7
load	64	64	64	1	4096	128	1216.1	0.78	1024.0	2048.0	2048.0	1216.1	2048.0	2048.0	0	1215.2	0.78	1215.2
load	64	128	64	2	4096	192	1213.4	0.55	1024.0	2048.0	2048.0	1213.6	2048.0	2048.0	0	1212.5	0.55	1212.8
load	64	256	64	4	4096	320	1217.2	0.39	1024.0	2048.0	2048.0	1220.2	2048.0	2048.0	0	1216.3	0.39	1219.4
load	0	1	1	1	4096	2	340.5	7.54	0.0	1024.0	1024.0	340.5	1024.0	1024.0	0	339.8	7.54	339.8
load	0	2	1	2	4096	3	332.4	5.30	0.0	1024.0	1024.0	353.0	1024.0	1024.0	0	331.7	5.30	352.3
load	0	4	1	4	4096	5	340.1	3.77	0.0	1024.0	1024.0	372.8	1024.0	1024.0	0	339.5	3.77	372.1
load	0	8	1	8	4096	9	335.8	2.66	0.0	1024.0	1024.0	378.2	1024.0	1024.0	0	335.1	2.66	377.6
load	0	16	1	16	4096	17	344.3	1.89	0.0	1024.0	1024.0	393.8	1024.0	1024.0	0	343.6	1.89	393.1
load	0	32	1	32	4096	33	340.2	1.33	0.0	1024.0	1024.0	394.0	1024.0	1024.0	0	339.5	1.33	393.4
load	0	64	1	64	4096	65	350.2	0.95	0.0	1024.0	1024.0	407.8	1024.0	1024.0	0	349.5	0.95	407.1
load	0	128	1	128	4096	129	325.3	0.66	0.0	1024.0	1024.0	378.5	1024.0	1024.0	0	324.6	0.66	377.9
load	0	256	1	256	4096	257	371.4	0.48	0.0	1024.0	1024.0	424.2	1024.0	1024.0	0	370.8	0.48	423.7
