model	seq	candidate	place	predicted_ns	measured_ns	rounds
gqa2	4	legacy_grid_stride	0	310616.5189	447264.0	15
gqa2	4	rotate	5	203268.5523	293888.0	15
gqa2	4	balanced	4	380411.9525	631808.0	15
gqa2	128	legacy_grid_stride	0	323526.6298	615264.0	15
gqa2	128	rotate	5	215126.6343	456704.0	15
gqa2	128	balanced	4	325911.3371	1011968.0	15
gqa2	512	legacy_grid_stride	0	467406.3813	1761376.0	15
gqa2	512	rotate	5	360032.8911	1617888.0	15
gqa2	512	balanced	4	908360.8643	4591840.0	15
mha4	4	legacy_grid_stride	0	622450.1908	887808.0	15
mha4	4	rotate	5	407769.1597	578560.0	15
mha4	4	balanced	4	748978.6789	1207296.0	15
mha4	128	legacy_grid_stride	0	652960.3846	1145856.0	15
mha4	128	rotate	5	437123.7068	857088.0	15
mha4	128	balanced	4	1244432.106	3663712.0	15
mha4	512	legacy_grid_stride	0	1508184.091	3597088.0	15
mha4	512	rotate	5	1225926.842	3324000.0	15
mha4	512	balanced	4	6311124.236	28971008.0	15
