model	seq	arm	key	placement	predicted_ns	measured_ms	measured_rank
gqa2	4	top1	32x16x16s2k1_k1_r1	eft	134848.443049	0.139264	3
gqa2	4	top2	32x16x32s2k1_k1_r2	eft	134848.443049	0.118784	2
gqa2	4	top3	32x16x64s2k1_k1_r1	eft	134848.443049	0.115392	1
gqa2	128	top1	32x16x16s2k1_k1_r5	eft	216607.436276	0.238368	2
gqa2	128	top2	32x16x32s2k1_k1_r5	eft	216607.436276	0.226304	1
gqa2	128	top3	32x16x16s2k1_k1_r5	rotate	219272.259878	0.301056	3
mha4	4	top1	32x16x16s2k1_k1_r1	eft	273622.794512	0.285568	3
mha4	4	top2	32x16x32s2k1_k1_r2	eft	273622.794512	0.248832	2
mha4	4	top3	32x16x64s2k1_k1_r1	eft	273622.794512	0.241664	1
mha4	128	top1	32x16x16s2k1_k1_r5	eft	449428.527613	0.492544	3
mha4	128	top2	32x16x32s2k1_k1_r5	eft	449428.527613	0.469856	2
mha4	128	top3	32x16x16s2k1_k2_r5	eft	454967.281032	0.46464	1
