model	seq	placement	group	total_ns	setup_ns	setup_share	load_wait_ns	load_wait_share	mainloop_ns	mainloop_share	epilogue_ns	epilogue_share
gqa2	4	0	cp	232448	14336	0.06167400881057269	4096	0.01762114537444934	186368	0.801762114537445	27648	0.11894273127753303
gqa2	4	0	all	1679360	149504	0.08902439024390243	18432	0.01097560975609756	1364992	0.8128048780487804	146432	0.0871951219512195
gqa2	4	5	cp	228352	16384	0.07174887892376682	0	0.0	186368	0.8161434977578476	25600	0.11210762331838565
gqa2	4	5	all	1677312	162816	0.09706959706959707	0	0.0	1383424	0.8247863247863247	131072	0.07814407814407814
gqa2	128	0	cp	319488	16384	0.05128205128205128	4096	0.01282051282051282	230400	0.7211538461538461	68608	0.21474358974358973
gqa2	128	0	all	25775104	2932736	0.11378173294664495	37888	0.0014699455722855667	21779456	0.8449803345119383	1025024	0.03976798696913114
gqa2	128	5	cp	321536	19456	0.06050955414012739	5120	0.01592356687898089	226304	0.7038216560509554	70656	0.2197452229299363
gqa2	128	5	all	25867264	3110912	0.1202644392541863	27648	0.0010688412968607734	21618688	0.8357547207157278	1110016	0.042911998733225126
mha4	4	0	cp	466944	32768	0.07017543859649122	7168	0.015350877192982455	373760	0.8004385964912281	53248	0.11403508771929824
mha4	4	0	all	3768320	354304	0.09402173913043478	40960	0.010869565217391304	3069952	0.8146739130434782	303104	0.08043478260869565
mha4	4	5	cp	456704	32768	0.07174887892376682	1024	0.002242152466367713	374784	0.820627802690583	48128	0.10538116591928251
mha4	4	5	all	3761152	387072	0.10291315001361286	1024	0.0002722570106180234	3089408	0.8213994010345766	283648	0.07541519194119249
mha4	128	0	cp	638976	38912	0.060897435897435896	13312	0.020833333333333332	447488	0.7003205128205128	139264	0.21794871794871795
mha4	128	0	all	54258688	6822912	0.1257478249381924	72704	0.0013399513088115953	45049856	0.8302791250684131	2313216	0.04263309868458301
mha4	128	5	cp	633856	38912	0.061389337641357025	6144	0.009693053311793215	450560	0.7108239095315024	138240	0.21809369951534732
mha4	128	5	all	54316032	6758400	0.12442735139415191	47104	0.0008672209339592406	44990464	0.8283091077050695	2520064	0.04639631996681937
real	4	0	cp	4007936	37888	0.009453244762391415	22528	0.005620848237097598	3833856	0.9565661727133368	113664	0.028359734287174247
real	4	0	all	241716224	2576384	0.010658713583081621	1649664	0.006824796336384934	234561536	0.9704004643064422	2928640	0.012116025774091193
real	4	5	cp	4618240	40960	0.008869179600886918	32768	0.007095343680709534	4433920	0.9600886917960089	110592	0.02394678492239468
real	4	5	all	340705280	2867200	0.008415484491464294	3418112	0.010032459725895648	331249664	0.9722469343592209	3170304	0.009305121423419091
real	128	0	cp	4229120	43008	0.010169491525423728	20480	0.004842615012106538	3943424	0.9324455205811139	222208	0.05254237288135593
real	128	0	all	649278464	31901696	0.04913407385093863	1628160	0.002507645163477962	593366016	0.9138852570967146	22382592	0.034473023888868734
real	128	5	cp	11764736	43008	0.003655670641483158	34816	0.0029593524240577943	11437056	0.9721472713029855	249856	0.021237705631473584
real	128	5	all	1715453952	32376832	0.018873623487388136	3678208	0.0021441601482287994	1655405568	0.9649956304976934	23993344	0.01398658586668959
