stage	logical_stage	combine	task_ns	count
0	0	0	17416	128
1	1	0	75968	64
2	1	1	5839.36	32
3	2	0	76544	16
4	2	1	6415.36	8
5	3	0	76288	16
6	3	1	6415.36	8
7	4	0	1097	4096
8	5	0	1295	1024
9	6	0	853	1024
10	7	0	886	1024
11	8	0	20108	4096
12	9	0	84848	64
13	9	1	17743.4	32
14	10	0	15656	128
15	11	0	140969	224
16	11	1	8563.93	112
17	12	0	141097	224
18	12	1	9112.5	112
19	13	0	31056	128
20	14	0	250544	64
21	14	1	17071.4	32
22	15	0	13312	128
23	16	0	75984	64
24	16	1	5455.36	32
25	17	0	75968	16
26	17	1	5903.36	8
27	18	0	74944	16
28	18	1	5263.36	8
29	19	0	1123.25	4096
30	20	0	1050	1024
31	21	0	872	1024
32	22	0	849	1024
33	23	0	166424	4096
34	24	0	88576	64
35	24	1	19631.4	32
36	25	0	16384	128
37	26	0	130766	224
38	26	1	10045.1	112
39	27	0	150135	224
40	27	1	7832.5	112
41	28	0	31040	128
42	29	0	250656	64
43	29	1	18063.4	32
44	30	0	13312	128
45	31	0	75712	64
46	31	1	5775.36	32
47	32	0	76800	16
48	32	1	5903.36	8
49	33	0	75968	16
50	33	1	5775.36	8
51	34	0	1091.5	4096
52	35	0	1303	1024
53	36	0	856	1024
54	37	0	878	1024
55	38	0	20102	4096
56	39	0	1.25386e+06	64
57	39	1	18575.4	32
58	40	0	16384	128
59	41	0	143520	224
60	41	1	9249.65	112
61	42	0	154231	224
62	42	1	8298.79	112
63	43	0	30952	128
64	44	0	250224	64
65	44	1	17167.4	32
66	45	0	12832	128
67	46	0	74912	64
68	46	1	5487.36	32
69	47	0	74880	16
70	47	1	5391.36	8
71	48	0	74624	16
72	48	1	5519.36	8
73	49	0	1119.25	4096
74	50	0	1034	1024
75	51	0	852	1024
76	52	0	861	1024
77	53	0	20283.5	4096
78	54	0	85184	64
79	54	1	18063.4	32
80	55	0	15360	128
81	56	0	141175	224
82	56	1	7485.07	112
83	57	0	137061	224
84	57	1	8399.36	112
85	58	0	2.33842e+06	128
86	59	0	256496	64
87	59	1	16239.4	32
