producer	consumer
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
3	4
3	5
3	6
3	7
3	8
3	9
3	10
3	11
4	12
4	13
4	14
4	15
4	16
4	17
4	18
4	19
4	20
4	21
4	22
4	23
4	24
4	25
4	26
4	27
5	12
5	13
5	14
5	15
5	16
5	17
5	18
5	19
5	20
5	21
5	22
5	23
5	24
5	25
5	26
5	27
6	12
6	13
6	14
6	15
6	16
6	17
6	18
6	19
6	20
6	21
6	22
6	23
6	24
6	25
6	26
6	27
7	12
7	13
7	14
7	15
7	16
7	17
7	18
7	19
7	20
7	21
7	22
7	23
7	24
7	25
7	26
7	27
8	28
8	29
8	30
8	31
8	32
8	33
8	34
8	35
9	28
9	29
9	30
9	31
9	32
9	33
9	34
9	35
10	44
10	45
10	46
10	47
10	48
10	49
10	50
10	51
11	44
11	45
11	46
11	47
11	48
11	49
11	50
11	51
12	52
13	53
14	54
15	55
16	56
17	57
18	58
19	59
20	60
21	61
22	62
23	63
24	64
25	65
26	66
27	67
28	36
29	37
30	38
31	39
32	40
33	41
34	42
35	43
36	52
36	53
36	54
36	55
36	56
36	57
36	58
36	59
36	60
36	61
36	62
36	63
36	64
36	65
36	66
36	67
37	52
37	53
37	54
37	55
37	56
37	57
37	58
37	59
37	60
37	61
37	62
37	63
37	64
37	65
37	66
37	67
38	52
38	53
38	54
38	55
38	56
38	57
38	58
38	59
38	60
38	61
38	62
38	63
38	64
38	65
38	66
38	67
39	52
39	53
39	54
39	55
39	56
39	57
39	58
39	59
39	60
39	61
39	62
39	63
39	64
39	65
39	66
39	67
40	52
40	53
40	54
40	55
40	56
40	57
40	58
40	59
40	60
40	61
40	62
40	63
40	64
40	65
40	66
40	67
41	52
41	53
41	54
41	55
41	56
41	57
41	58
41	59
41	60
41	61
41	62
41	63
41	64
41	65
41	66
41	67
42	52
42	53
42	54
42	55
42	56
42	57
42	58
42	59
42	60
42	61
42	62
42	63
42	64
42	65
42	66
42	67
43	52
43	53
43	54
43	55
43	56
43	57
43	58
43	59
43	60
43	61
43	62
43	63
43	64
43	65
43	66
43	67
44	52
44	53
44	54
44	55
44	56
44	57
44	58
44	59
44	60
44	61
44	62
44	63
44	64
44	65
44	66
44	67
45	52
45	53
45	54
45	55
45	56
45	57
45	58
45	59
45	60
45	61
45	62
45	63
45	64
45	65
45	66
45	67
46	52
46	53
46	54
46	55
46	56
46	57
46	58
46	59
46	60
46	61
46	62
46	63
46	64
46	65
46	66
46	67
47	52
47	53
47	54
47	55
47	56
47	57
47	58
47	59
47	60
47	61
47	62
47	63
47	64
47	65
47	66
47	67
48	52
48	53
48	54
48	55
48	56
48	57
48	58
48	59
48	60
48	61
48	62
48	63
48	64
48	65
48	66
48	67
49	52
49	53
49	54
49	55
49	56
49	57
49	58
49	59
49	60
49	61
49	62
49	63
49	64
49	65
49	66
49	67
50	52
50	53
50	54
50	55
50	56
50	57
50	58
50	59
50	60
50	61
50	62
50	63
50	64
50	65
50	66
50	67
51	52
51	53
51	54
51	55
51	56
51	57
51	58
51	59
51	60
51	61
51	62
51	63
51	64
51	65
51	66
51	67
52	68
52	69
52	70
52	71
53	68
53	69
53	70
53	71
54	68
54	69
54	70
54	71
55	68
55	69
55	70
55	71
56	68
56	69
56	70
56	71
57	68
57	69
57	70
57	71
58	68
58	69
58	70
58	71
59	68
59	69
59	70
59	71
60	68
60	69
60	70
60	71
61	68
61	69
61	70
61	71
62	68
62	69
62	70
62	71
63	68
63	69
63	70
63	71
64	68
64	69
64	70
64	71
65	68
65	69
65	70
65	71
66	68
66	69
66	70
66	71
67	68
67	69
67	70
67	71
68	72
68	73
68	74
68	75
68	96
69	72
69	73
