stage	logical_stage	combine	task_ns	count
0	0	0	2048	128
1	1	0	6318.4	64
2	2	0	6931.2	32
3	3	0	6864	32
4	4	0	1168	512
5	5	0	1028	256
6	6	0	868	256
7	7	0	948	256
8	8	0	19118	512
9	9	0	15800	64
10	10	0	2048	128
11	11	0	7321.6	128
12	12	0	7059.2	128
13	13	0	3072	128
14	14	0	16288	64
15	15	0	2048	128
16	16	0	7187.2	64
17	17	0	7376	32
18	18	0	7443.2	32
19	19	0	1150	512
20	20	0	1024	256
21	21	0	728	256
22	22	0	920	256
23	23	0	19394	512
24	24	0	15513.6	64
25	25	0	2048	128
26	26	0	7254.4	128
27	27	0	7187.2	128
28	28	0	3072	128
29	29	0	16227.2	64
