slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789817411629287424	5872294548230	1789817411629288448	5872294550227	1789817411629288448	5872294550227	1789817411629289472	5872294552499	1789817411629289472	5872294553230	1789817411629289472	5872294553360	0	0	0	0	261	1
1	0	32	16	64	1	6144	1789817411629291520	5872294558086	1789817411629292544	5872294561349	1789817411629292544	5872294562678	1789817411629297664	5872294574275	1789817411629297664	5872294575448	1789817411629297664	5872294575579	5872294562748	5872294574184	3119	8	713	0
2	2	0	0	0	1	0	1789817411629299712	5872294580868	1789817411629300736	5872294583210	1789817411629300736	5872294583210	1789817411629300736	5872294584821	1789817411629300736	5872294584851	1789817411629300736	5872294584980	0	0	0	0	468	0
3	3	0	0	0	1	0	1789817411629302784	5872294588139	1789817411629302784	5872294590137	1789817411629302784	5872294590137	1789817411629303808	5872294591118	1789817411629303808	5872294591148	1789817411629303808	5872294591278	0	0	0	0	263	0
4	5	0	0	0	1	0	1789817411629305856	5872294596515	1789817411629306880	5872294599228	1789817411629306880	5872294599228	1789817411629308928	5872294607269	1789817411629308928	5872294607299	1789817411629309952	5872294607429	0	0	0	0	457	0
5	0	32	16	64	1	6144	1789817411629310976	5872294612777	1789817411629313024	5872294617462	1789817411629314048	5872294618491	1789817411629317120	5872294627854	1789817411629318144	5872294629664	1789817411629318144	5872294629793	5872294618592	5872294627763	1348	8	2412	0
6	1	0	0	0	1	0	1789817411629320192	5872294635259	1789817411629321216	5872294638722	1789817411629321216	5872294638722	1789817411629322240	5872294640889	1789817411629322240	5872294641620	1789817411629322240	5872294641750	0	0	0	0	469	1
7	0	32	16	64	1	6144	1789817411629324288	5872294646632	1789817411629325312	5872294649921	1789817411629325312	5872294651011	1789817411629329408	5872294660311	1789817411629329408	5872294661528	1789817411629329408	5872294661659	5872294651036	5872294660220	1590	8	482	0
8	4	0	0	0	1	0	1789817411629331456	5872294666766	1789817411629332480	5872294669163	1789817411629332480	5872294669163	1789817411629334528	5872294675652	1789817411629334528	5872294675682	1789817411629334528	5872294675811	0	0	0	0	480	0
9	0	32	16	64	1	6144	1789817411629336576	5872294680524	1789817411629338624	5872294685020	1789817411629338624	5872294686088	1789817411629345792	5872294704458	1789817411629345792	5872294706584	1789817411629345792	5872294706713	5872294686157	5872294704367	3381	16	1956	0
10	1	0	0	0	1	0	1789817411629347840	5872294712107	1789817411629349888	5872294715720	1789817411629349888	5872294715720	1789817411629349888	5872294717865	1789817411629350912	5872294718596	1789817411629350912	5872294718726	0	0	0	0	954	1
11	0	32	16	64	1	6144	1789817411629351936	5872294723432	1789817411629353984	5872294726708	1789817411629353984	5872294727696	1789817411629357056	5872294737112	1789817411629358080	5872294738106	1789817411629358080	5872294738239	5872294727834	5872294737021	1468	8	457	0
12	2	0	0	0	1	0	1789817411629360128	5872294743530	1789817411629361152	5872294745910	1789817411629361152	5872294745910	1789817411629361152	5872294747539	1789817411629361152	5872294747569	1789817411629361152	5872294747698	0	0	0	0	711	0
13	3	0	0	0	1	0	1789817411629362176	5872294750646	1789817411629363200	5872294752922	1789817411629363200	5872294752922	1789817411629364224	5872294753885	1789817411629364224	5872294753915	1789817411629364224	5872294754045	0	0	0	0	261	0
14	5	0	0	0	1	0	1789817411629365248	5872294759365	1789817411629367296	5872294762121	1789817411629367296	5872294762121	1789817411629369344	5872294770366	1789817411629369344	5872294770396	1789817411629370368	5872294770529	0	0	0	0	462	0
15	0	32	16	64	1	6144	1789817411629371392	5872294775956	1789817411629373440	5872294780555	1789817411629374464	5872294781581	1789817411629377536	5872294791077	1789817411629377536	5872294792477	1789817411629378560	5872294792607	5872294781682	5872294790986	1332	8	1999	0
16	1	0	0	0	1	0	1789817411629379584	5872294797874	1789817411629381632	5872294801630	1789817411629381632	5872294801630	1789817411629382656	5872294803751	1789817411629382656	5872294804482	1789817411629382656	5872294804612	0	0	0	0	476	1
17	0	32	16	64	1	6144	1789817411629384704	5872294809347	1789817411629385728	5872294812692	1789817411629385728	5872294813698	1789817411629389824	5872294823059	1789817411629389824	5872294824869	1789817411629389824	5872294825160	5872294813816	5872294822968	1291	8	725	0
18	4	0	0	0	1	0	1789817411629391872	5872294830449	1789817411629392896	5872294832909	1789817411629392896	5872294832909	1789817411629395968	5872294839625	1789817411629395968	5872294839655	1789817411629395968	5872294839784	0	0	0	0	513	0
19	0	32	16	64	1	6144	1789817411629396992	5872294844603	1789817411629398016	5872294847523	1789817411629399040	5872294848551	1789817411629405184	5872294866891	1789817411629406208	5872294868832	1789817411629406208	5872294868962	5872294848677	5872294866800	3208	16	71	0
20	1	0	0	0	1	0	1789817411629287424	5875663140885	1789817411629288448	5875663142864	1789817411629288448	5875663142864	1789817411629289472	5875663145171	1789817411629289472	5875663145902	1789817411629289472	5875663146032	0	0	0	0	261	1
21	0	32	16	64	1	6144	1789817411629291520	5875663150746	1789817411629292544	5875663154003	1789817411629292544	5875663155004	1789817411629296640	5875663164406	1789817411629296640	5875663165610	1789817411629296640	5875663165741	5875663155138	5875663164315	1477	8	687	0
22	2	0	0	0	1	0	1789817411629298688	5875663172450	1789817411629299712	5875663174785	1789817411629299712	5875663174785	1789817411629300736	5875663176512	1789817411629300736	5875663176542	1789817411629300736	5875663176898	0	0	0	0	450	0
23	3	0	0	0	1	0	1789817411629301760	5875663179881	1789817411629302784	5875663182127	1789817411629302784	5875663182127	1789817411629302784	5875663183094	1789817411629302784	5875663183124	1789817411629302784	5875663183254	0	0	0	0	261	0
24	5	0	0	0	1	0	1789817411629304832	5875663188706	1789817411629305856	5875663191394	1789817411629305856	5875663191394	1789817411629308928	5875663199283	1789817411629308928	5875663199313	1789817411629308928	5875663199445	0	0	0	0	432	0
25	0	32	16	64	1	6144	1789817411629310976	5875663204969	1789817411629313024	5875663209591	1789817411629313024	5875663210626	1789817411629317120	5875663220035	1789817411629317120	5875663221893	1789817411629317120	5875663222022	5875663210714	5875663219944	1503	8	1963	0
26	1	0	0	0	1	0	1789817411629319168	5875663227408	1789817411629321216	5875663230817	1789817411629321216	5875663230817	1789817411629321216	5875663232921	1789817411629322240	5875663233652	1789817411629322240	5875663233782	0	0	0	0	946	1
27	0	32	16	64	1	6144	1789817411629323264	5875663238487	1789817411629325312	5875663241717	1789817411629325312	5875663242815	1789817411629328384	5875663252486	1789817411629329408	5875663253455	1789817411629329408	5875663253588	5875663242840	5875663252395	1553	8	463	0
28	4	0	0	0	1	0	1789817411629331456	5875663259147	1789817411629332480	5875663261492	1789817411629332480	5875663261492	1789817411629334528	5875663267943	1789817411629334528	5875663267973	1789817411629334528	5875663268103	0	0	0	0	679	0
29	0	32	16	64	1	6144	1789817411629336576	5875663273165	1789817411629338624	5875663277648	1789817411629338624	5875663278702	1789817411629345792	5875663297041	1789817411629345792	5875663299180	1789817411629345792	5875663299309	5875663278782	5875663296950	3011	16	1919	0
