model	batch	prefill_dram_ns	prefill_compute_ns	decode_dram_ns	decode_compute_ns
llama	1	[s1] -> { 134352896000000/981582923 : s1 <= 0; (1946308608000000/981582923 + 2360558000000/981582923 * s1) : s1 >= 2004; (2471645184000000/981582923 + 2098414000000/981582923 * s1) : 0 < s1 <= 2003 }	[s1] -> { 1250793881600000/1799868903 * s1 }	[s1, s10] -> { 134352896000000/981582923 : s1 <= 0; (1946292224000000/981582923 + 5102000000/981582923 * s1) : s1 >= 128256 and s10 < 0; (1946292224000000/981582923 + 35656686000000/981582923 * s1) : s1 >= 128256 and s10 >= 1088; (1946292480000000/981582923 + 1306000000/33847687 * s1) : s10 = 0 and s1 >= 128256; (2471628800000000/981582923 + 1006000000/981582923 * s1) : 0 < s1 <= 128255 and s10 < 0; (2471628800000000/981582923 + 35652590000000/981582923 * s1) : 0 < s1 <= 128255 and s10 >= 1088; (2471629056000000/981582923 + 33778000000/981582923 * s1) : s10 = 0 and 0 < s1 <= 128255; ((1946292480000000/981582923 + 1306000000/33847687 * s1) + 32768000000/981582923 * s1 * s10) : s1 >= 128256 and 0 < s10 <= 1087; ((2471629056000000/981582923 + 33778000000/981582923 * s1) + 32768000000/981582923 * s1 * s10) : 0 < s1 <= 128255 and 0 < s10 <= 1087 }	[s1] -> { 24714936320000/1799868903 * s1 }
llama	2	[s1] -> { 134352896000000/981582923 : s1 <= 0; (1946308608000000/981582923 + 2360558000000/981582923 * s1) : s1 >= 2004; (2471645184000000/981582923 + 2098414000000/981582923 * s1) : 0 < s1 <= 2003 }	[s1] -> { 1250793881600000/1799868903 * s1 }	[s1, s10] -> { 134352896000000/981582923 : s1 <= 0; (1946292224000000/981582923 + 5102000000/981582923 * s1) : s1 >= 128256 and s10 < 0; (1946292224000000/981582923 + 35656686000000/981582923 * s1) : s1 >= 128256 and s10 >= 1088; (1946292480000000/981582923 + 1306000000/33847687 * s1) : s10 = 0 and s1 >= 128256; (2471628800000000/981582923 + 1006000000/981582923 * s1) : 0 < s1 <= 128255 and s10 < 0; (2471628800000000/981582923 + 35652590000000/981582923 * s1) : 0 < s1 <= 128255 and s10 >= 1088; (2471629056000000/981582923 + 33778000000/981582923 * s1) : s10 = 0 and 0 < s1 <= 128255; ((1946292480000000/981582923 + 1306000000/33847687 * s1) + 32768000000/981582923 * s1 * s10) : s1 >= 128256 and 0 < s10 <= 1087; ((2471629056000000/981582923 + 33778000000/981582923 * s1) + 32768000000/981582923 * s1 * s10) : 0 < s1 <= 128255 and 0 < s10 <= 1087 }	[s1] -> { 24714936320000/1799868903 * s1 }
qwen3	1	[s1] -> { 235114496000000/981582923 : s1 <= 0; (2818852864000000/981582923 + 7603624000000/981582923 * s1) : s1 >= 2374; (3441182720000000/981582923 + 7341480000000/981582923 * s1) : 0 < s1 <= 2373 }	[s1] -> { 603371601920000/599956301 * s1 }	[s1, s10] -> { 235114496000000/981582923 : s1 <= 0; (2818820096000000/981582923 + 5288000000/981582923 * s1) : s1 >= 151936 and s10 < 0; (2818820096000000/981582923 + 124785832000000/981582923 * s1) : s1 >= 151936 and s10 >= 1088; (2818820608000000/981582923 + 119980000000/981582923 * s1) : s10 = 0 and s1 >= 151936; (3441149952000000/981582923 + 1192000000/981582923 * s1) : 0 < s1 <= 151935 and s10 < 0; (3441149952000000/981582923 + 124781736000000/981582923 * s1) : 0 < s1 <= 151935 and s10 >= 1088; (3441150464000000/981582923 + 3996000000/33847687 * s1) : s10 = 0 and 0 < s1 <= 151935; ((2818820608000000/981582923 + 119980000000/981582923 * s1) + 114688000000/981582923 * s1 * s10) : s1 >= 151936 and 0 < s10 <= 1087; ((3441150464000000/981582923 + 3996000000/33847687 * s1) + 114688000000/981582923 * s1 * s10) : 0 < s1 <= 151935 and 0 < s10 <= 1087 }	[s1] -> { 11471421440000/599956301 * s1 }
qwen3	2	[s1] -> { 235114496000000/981582923 : s1 <= 0; (2818852864000000/981582923 + 7603624000000/981582923 * s1) : s1 >= 2374; (3441182720000000/981582923 + 7341480000000/981582923 * s1) : 0 < s1 <= 2373 }	[s1] -> { 603371601920000/599956301 * s1 }	[s1, s10] -> { 235114496000000/981582923 : s1 <= 0; (2818820096000000/981582923 + 5288000000/981582923 * s1) : s1 >= 151936 and s10 < 0; (2818820096000000/981582923 + 124785832000000/981582923 * s1) : s1 >= 151936 and s10 >= 1088; (2818820608000000/981582923 + 119980000000/981582923 * s1) : s10 = 0 and s1 >= 151936; (3441149952000000/981582923 + 1192000000/981582923 * s1) : 0 < s1 <= 151935 and s10 < 0; (3441149952000000/981582923 + 124781736000000/981582923 * s1) : 0 < s1 <= 151935 and s10 >= 1088; (3441150464000000/981582923 + 3996000000/33847687 * s1) : s10 = 0 and 0 < s1 <= 151935; ((2818820608000000/981582923 + 119980000000/981582923 * s1) + 114688000000/981582923 * s1 * s10) : s1 >= 151936 and 0 < s10 <= 1087; ((3441150464000000/981582923 + 3996000000/33847687 * s1) + 114688000000/981582923 * s1 * s10) : 0 < s1 <= 151935 and 0 < s10 <= 1087 }	[s1] -> { 11471421440000/599956301 * s1 }
