slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
19963	19	1377	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1790	0	1494	146	30	116	3430	0	0	0	0	0	0.0	0.0	0.0	0.0
19964	19	1633	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1194	0	1537	146	30	116	2877	0	0	0	0	0	0.0	0.0	0.0	0.0
19965	19	1889	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	760	0	1758	384	30	354	2902	0	0	0	0	0	0.0	0.0	0.0	0.0
19966	19	2145	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1311	0	1730	146	30	116	3187	0	0	0	0	0	0.0	0.0	0.0	0.0
19967	19	2401	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1741	0	1769	402	30	372	3912	0	0	0	0	0	0.0	0.0	0.0	0.0
19968	19	2657	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1722	0	1528	154	38	116	3404	0	0	0	0	0	0.0	0.0	0.0	0.0
19969	19	2913	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1272	0	1742	146	30	116	3160	0	0	0	0	0	0.0	0.0	0.0	0.0
19970	19	3169	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	2648	0	1817	150	30	120	4615	0	0	0	0	0	0.0	0.0	0.0	0.0
19971	19	3425	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1246	0	1767	146	30	116	3159	0	0	0	0	0	0.0	0.0	0.0	0.0
19972	19	3681	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	2625	0	1727	148	30	118	4500	0	0	0	0	0	0.0	0.0	0.0	0.0
19973	19	3937	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1445	0	1538	153	30	123	3136	0	0	0	0	0	0.0	0.0	0.0	0.0
19974	20	97	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1885	0	1500	146	30	116	3531	0	0	0	0	0	0.0	0.0	0.0	0.0
19975	20	353	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	573	0	1288	252	30	222	2113	0	0	0	0	0	0.0	0.0	0.0	0.0
19976	20	609	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1709	0	1510	147	30	117	3366	0	0	0	0	0	0.0	0.0	0.0	0.0
