arm	function	bytes	identical_full
nofence	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	162826	1
nofence	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	1427046	0
nofence	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	1698086	1
nofence	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	1702171	1
l1nosync	_ZN8tilemega7codegen28tilemega_wait_profile_kernelEPKNS0_6ParamsEi	162826	1
l1nosync	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	1428982	1
l1nosync	_ZN8tilemega7codegen18tilemega_l1_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	1684534	0
l1nosync	_ZN8tilemega7codegen21tilemega_stage_kernelEPKNS0_6ParamsEj	1702171	1
