config	arm	round	started_ns	l05_ms	l1_ms	l2_ms	log
eft	full	0	1789648562875904149	6.289408	6.319104	6.058272	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r0.log
eft	nofence	0	1789648602552389048	6.628352	6.672384	6.24816	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r0.log
eft	nowait	0	1789648643115942545	6.629376	6.675456	5.31968	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r0.log
eft	neither	0	1789648683342709325	6.634432	6.677504	5.094752	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r0.log
eft	l1nosync	0	1789648724590414534	6.628352	6.238208	6.36896	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r0.log
eft	full	1	1789651400844424805	6.6304	6.332416	6.05696	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r1.log
eft	nofence	1	1789650098864428987	7.659264	13.513728	10.811392	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r1.log
eft	nowait	1	1789650127847304991	14.196736	14.271488	10.11712	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r1.log
eft	neither	1	1789650158375992100	7.58448	10.677504	5.8264	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r1.log
eft	l1nosync	1	1789650187012090853	7.990272	7.543936	7.441408	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r1.log
eft	full	2	1789652318750866185	6.626304	6.673728	6.371328	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r2.log
eft	nofence	2	1789652336745596698	6.624096	6.674528	6.25136	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r2.log
eft	nowait	2	1789651426877896236	6.336512	6.31616	5.134336	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r2.log
eft	neither	2	1789651451663020126	6.636544	6.677728	5.10464	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r2.log
eft	l1nosync	2	1789651478402414767	6.626304	6.248544	6.367232	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r2.log
eft	full	3	1789653003405866174	6.33552	6.316	6.057344	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r3.log
eft	nofence	3	1789653016471592284	6.395104	6.320128	5.945344	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r3.log
eft	nowait	3	1789653029049792579	6.63552	6.464352	5.158912	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r3.log
eft	neither	3	1789652354412169995	6.62944	6.676608	5.121024	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r3.log
eft	l1nosync	3	1789652371993842433	6.627328	6.244352	6.365184	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r3.log
eft	full	4	1789653639965447110	6.622208	6.667264	6.365056	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r4.log
eft	nofence	4	1789653653268922227	6.624256	6.667264	6.242304	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r4.log
eft	nowait	4	1789653666668564459	6.624512	6.669312	5.330944	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r4.log
eft	neither	4	1789653680153530869	6.624064	6.66704	5.115936	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r4.log
eft	l1nosync	4	1789653041999344276	6.636416	6.259776	6.373376	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r4.log
eft	full	5	1789654271635815916	6.293312	6.375584	6.079488	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r5.log
eft	nofence	5	1789654285340967687	13.415424	6.337536	6.00144	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r5.log
eft	nowait	5	1789654298996805680	10.89024	8.582784	5.15136	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r5.log
eft	neither	5	1789654313226037301	6.316224	8.236064	9.652224	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r5.log
eft	l1nosync	5	1789654327415204398	6.308704	6.089728	13.227008	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r5.log
eft	full	6	1789654947589880149	6.638368	6.675456	6.375072	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r6.log
eft	nofence	6	1789654960758165660	6.629568	6.673408	6.232064	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r6.log
eft	nowait	6	1789654974015970202	6.62816	6.673472	5.313536	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r6.log
eft	neither	6	1789654987319787597	6.629504	6.67136	5.0368	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r6.log
eft	l1nosync	6	1789655000650200447	6.63552	6.27712	6.159168	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r6.log
eft	full	7	1789655609319565051	6.626464	6.672384	6.370304	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r7.log
eft	nofence	7	1789655622719028061	6.631424	6.320288	6.130688	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r7.log
eft	nowait	7	1789655635943825328	6.633472	6.67888	5.336192	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r7.log
eft	neither	7	1789655649680199706	6.283264	6.670336	5.11312	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r7.log
eft	l1nosync	7	1789655662599766740	6.284096	6.054208	6.05696	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r7.log
eft	full	8	1789656323253478047	13.638656	13.91904	11.062272	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r8.log
eft	nofence	8	1789656338994879329	13.626368	13.63456	10.8544	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r8.log
eft	nowait	8	1789656355400688098	13.627392	13.960192	10.253312	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r8.log
eft	neither	8	1789656372038350268	13.689856	13.719552	9.9328	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r8.log
eft	l1nosync	8	1789656389170345558	13.75232	11.02336	11.051008	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r8.log
eft	full	9	1789657112345409031	13.184	13.299744	10.706176	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r9.log
eft	nofence	9	1789657128323491775	13.408512	13.517824	10.73664	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r9.log
eft	nowait	9	1789657143809378694	13.181952	14.547968	9.761056	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r9.log
eft	neither	9	1789657160184915801	13.16864	13.290528	9.546592	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r9.log
eft	l1nosync	9	1789657175835265476	13.200384	10.679296	10.699776	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r9.log
eft	full	10	1789657878936642297	13.177856	13.281344	10.702848	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r10.log
eft	nofence	10	1789657894119122857	13.16864	13.291424	10.587136	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r10.log
eft	nowait	10	1789657908604437525	13.188	13.289312	9.766912	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nowait/r10.log
eft	neither	10	1789657923837835776	13.182976	13.2864	9.512896	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__neither/r10.log
eft	l1nosync	10	1789657939009780132	13.182976	10.699776	10.71104	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__l1nosync/r10.log
eft	full	11	1789658603297968403	6.621216	6.665504	6.362112	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__full/r11.log
eft	nofence	11	1789658616827807875	6.619936	6.668288	6.23328	/root/TileMega/docs/experiments/REBASE/raw/real_s128/measure/eft__nofence/r11.log
