config	round	barrier_ms	nonpositive	zero	full_l1_ms	l1nosync_l1_ms	start_separation_s
eft	0	0.08089600000000008	0	0	6.319104	6.238208	161.714510385
eft	1	-1.2115200000000002	1	0	6.332416	7.543936	1213.832333952
eft	2	0.4251839999999998	0	0	6.673728	6.248544	840.348451418
eft	3	0.07164799999999971	0	0	6.316	6.244352	631.412023741
eft	4	0.40748800000000074	0	0	6.667264	6.259776	597.966102834
eft	5	0.2858559999999999	0	0	6.375584	6.089728	55.779388482
eft	6	0.3983359999999996	0	0	6.675456	6.27712	53.060320298
eft	7	0.6181760000000001	0	0	6.672384	6.054208	53.280201689
eft	8	2.8956800000000005	0	0	13.91904	11.02336	65.916867511
eft	9	2.6204479999999997	0	0	13.299744	10.679296	63.489856445
eft	10	2.5815680000000008	0	0	13.281344	10.699776	60.073137835
eft	11	-4.020768	1	0	6.665504	10.686272	52.97531999
eft	12	0.4288319999999999	0	0	6.677472	6.24864	53.319841445
eft	13	0.0542720000000001	0	0	6.317056	6.262784	49.680856831
eft	14	0.539936	0	0	6.627584	6.087648	50.738057093
eft	15	0.5827520000000002	0	0	6.670336	6.087584	54.048198523
eft	16	-6.836	1	0	6.337536	13.173536	62.627382656
eft	17	0.4474879999999999	0	0	13.539328	13.09184	57.5001842
eft	18	2.8317440000000005	0	0	13.5968	10.765056	59.955515331
eft	19	0.2876480000000008	0	0	13.45424	13.166592	60.475727036
eft	20	-4.36672	1	0	6.333056	10.699776	61.473756875
eft	21	0.4105919999999994	0	0	13.579936	13.169344	60.680014853
eft	22	7.442144000000001	0	0	13.535968	6.093824	60.017958743
eft	23	-6.808576000000001	1	0	6.35392	13.162496	58.813180852
eft	24	-0.1710079999999996	1	0	6.35904	6.530048	58.376423649
wavefront	0	0.43315200000000065	0	0	6.673408	6.240256	163.843473417
wavefront	1	0.0872320000000002	0	0	6.3408	6.253568	104.971229131
wavefront	2	0.41164800000000046	0	0	6.479872	6.068224	87.734533234
wavefront	3	0.429824	0	0	6.665216	6.235392	66.043819549
wavefront	4	0.2715519999999998	0	0	6.317248	6.045696	50.36657368
wavefront	5	0.6328320000000005	0	0	6.66624	6.033408	52.996160025
wavefront	6	0.08499199999999973	0	0	6.324224	6.239232	632.712603029
wavefront	7	0.2594240000000001	0	0	6.3224	6.062976	624.625997555
wavefront	8	14.40352	0	0	20.647808	6.244288	692.44523043
wavefront	9	2.2181119999999996	0	0	13.2896	11.071488	737.022522831
wavefront	10	-4.201472	1	0	6.486016	10.687488	58.66550906
wavefront	11	7.223584	0	0	13.281312	6.057728	54.676234022
wavefront	12	0.6257280000000005	0	0	6.672384	6.046656	52.350034691
wavefront	13	0.24726399999999948	0	0	6.319328	6.072064	54.088546391
wavefront	14	0.050367999999999746	0	0	6.327488	6.27712	50.023910567
wavefront	15	0.24780800000000003	0	0	6.339584	6.091776	59.701519597
wavefront	16	2.690944	0	0	13.531008	10.840064	58.110289178
wavefront	17	7.482559999999999	0	0	13.556928	6.074368	62.981624938
wavefront	18	-6.859328	1	0	6.344832	13.20416	60.897931006
wavefront	19	-6.858560000000001	1	0	6.341536	13.200096	58.700261227
wavefront	20	7.494624	0	0	13.575168	6.080544	61.663592031
wavefront	21	0.29155200000000026	0	0	6.365184	6.073632	55.759828656
wavefront	22	-4.4799999999999995	1	0	6.331392	10.811392	60.042389135
wavefront	23	-6.775712	1	0	6.34032	13.116032	61.276800983
wavefront	24	-6.761344	1	0	6.336576	13.09792	59.417758362
rotate	0	0.4268799999999997	0	0	6.674624	6.247744	113.571776866
rotate	1	0.426304	0	0	6.678848	6.252544	102.183453093
rotate	2	0.4229119999999993	0	0	6.675456	6.252544	69.413435192
rotate	3	0.4198719999999998	0	0	6.670336	6.250464	53.746800763
rotate	4	0.42633600000000005	0	0	6.67888	6.252544	52.66540192
rotate	5	0.2592319999999999	0	0	6.316192	6.05696	49.990184812
rotate	6	0.4157440000000001	0	0	6.667264	6.25152	50.673545536
rotate	7	0.2623040000000003	0	0	6.323168	6.060864	49.336558698
rotate	8	0.44873599999999936	0	0	6.668512	6.219776	49.332364219
rotate	9	2.321408	0	0	13.87008	11.548672	64.04334849
rotate	10	2.589727999999999	0	0	13.277216	10.687488	65.95942964
rotate	11	-4.381536	1	0	6.32336	10.704896	666.446879171
rotate	12	0.25484799999999996	0	0	6.32304	6.068192	595.01319275
