depth	processes	passes	mismatch	max_abs	max_rel	hash	all_outputs_finite	interlevel_and_iteration_zero
2	50	50	0	0.015625	3.2	2398bfeb94e20663	1	50
4	50	50	0	0.03125	2929.6875	c3217e44b4e94d02	1	50
6	50	50	0	0.03125	2929.6875	34776df8054c3c2c	1	50
8	50	0	4	0.046875	6835.9375	f86acee8a76b2ef3	1	50
12	50	0	59	0.0625	3906.25	f2c9f237c088aa9b	1	50
16	50	0	162	0.078125	10742.188	621738651f623f5b	1	50
