depth	comparison	l2_error	relative_l2	max_abs
2	pytorch_bf16_vs_fp32	0.3470656000034085	0.0035857568943483634	0.026502132415771484
2	tilemega_bf16_vs_fp32	0.3479951308681978	0.0035953604727695463	0.026502132415771484
2	tilemega_vs_pytorch_bf16	0.17085731011474256	0.0017652551887319054	0.015625
4	pytorch_bf16_vs_fp32	0.5062778611089116	0.004954685532820994	0.0450139045715332
4	tilemega_bf16_vs_fp32	0.5054399624171584	0.0049464854418335945	0.03617501258850098
4	tilemega_vs_pytorch_bf16	0.37569086348171177	0.0036765056904864814	0.03125
6	pytorch_bf16_vs_fp32	0.6511750252761596	0.006056872556027633	0.059166908264160156
6	tilemega_bf16_vs_fp32	0.6482938340479775	0.0060300732971475144	0.0442962646484375
6	tilemega_vs_pytorch_bf16	0.5422826435450631	0.005043500724402624	0.03125
8	pytorch_bf16_vs_fp32	0.7798596034158822	0.0069286174987109855	0.06560611724853516
8	tilemega_bf16_vs_fp32	0.7751239637427755	0.006886543982192167	0.05306649208068848
8	tilemega_vs_pytorch_bf16	0.7004276565829516	0.006222335304417	0.046875
12	pytorch_bf16_vs_fp32	1.0263565718396188	0.008349996661391735	0.08800506591796875
12	tilemega_bf16_vs_fp32	1.0155252263507077	0.008261877482197819	0.08800506591796875
12	tilemega_vs_pytorch_bf16	0.9825929320743747	0.007993032431237222	0.0625
16	pytorch_bf16_vs_fp32	1.2649697800055744	0.00966684724472976	0.08760690689086914
16	tilemega_bf16_vs_fp32	1.2540005177244333	0.009583020591686161	0.08365106582641602
16	tilemega_vs_pytorch_bf16	1.2506947858912363	0.009558217266951581	0.078125
