depth	round	execution_index	returncode	mismatch	max_abs	max_rel	hash	l05_ms	l1_ms	l2_ms
12	7	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.616960	8.553568	9.172864
16	7	4	1	162	0.078125	10742.188	621738651f623f5b	11.390976	11.397120	12.292096
2	7	5	0	0	0.015625	3.2	2398bfeb94e20663	1.561600	1.424416	1.526688
6	8	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.272128	4.271200	4.594688
8	8	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.693440	5.694464	6.127552
12	8	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.542080	8.552448	9.181088
16	8	3	1	162	0.078125	10742.188	621738651f623f5b	11.396096	11.393024	12.246016
2	8	4	0	0	0.015625	3.2	2398bfeb94e20663	1.422336	1.425504	1.523968
4	8	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845696	2.850816	3.056608
8	9	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.695488	5.708512	6.418656
12	9	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.614912	8.536128	9.169920
16	9	2	1	162	0.078125	10742.188	621738651f623f5b	12.145664	12.311552	12.274368
2	9	3	0	0	0.015625	3.2	2398bfeb94e20663	1.424352	1.428384	1.533952
4	9	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.843744	3.057664
6	9	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.271104	4.269184	4.582400
12	10	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.541184	8.539008	9.176096
16	10	1	1	162	0.078125	10742.188	621738651f623f5b	11.390240	11.382784	12.221440
2	10	2	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.424384	1.529856
4	10	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846528	2.847712	3.053920
6	10	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268704	4.270112	4.590304
8	10	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.039712	5.686400	6.124704
16	11	0	1	162	0.078125	10742.188	621738651f623f5b	11.381760	11.392000	12.238592
2	11	1	0	0	0.015625	3.2	2398bfeb94e20663	1.424224	1.425472	1.526784
4	11	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.843648	3.055616
6	11	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.272832	4.265984	4.583168
8	11	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.692640	5.713984	6.125568
12	11	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.542432	8.539776	9.168896
2	12	0	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427456	1.530880
4	12	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847744	2.852864	3.058688
6	12	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.271104	4.269056	4.586496
8	12	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.693440	5.701632	6.117376
12	12	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.545216	8.557568	9.234528
16	12	5	1	162	0.078125	10742.188	621738651f623f5b	11.384544	11.393088	12.222464
4	13	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.842624	3.055744
6	13	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269792	4.268032	4.606720
8	13	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.179968	6.219680	6.611968
12	13	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	9.009152	8.539136	9.252864
