rank	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
1	32x16x64s2split4kappa1r4	wavefront	32	16	64	2	4	1	4	109047	227603	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top1.cu	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top1.mlir
2	32x16x64s2split4kappa1r4	eft	32	16	64	2	4	1	4	109047	228516	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top2.cu	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top2.mlir
3	32x16x64s2split4kappa2r4	eft	32	16	64	2	4	2	4	109047	236625	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top3.cu	docs/experiments/JOINT2/bounded_search/gqa2_s128/auto.cu.top3.mlir
