family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	256	17	17	1	1	1	1	1	1	51	PASS
wavefront	256	18	18	1	1	1	1	1	1	51	PASS
wavefront	256	19	19	1	1	1	1	1	1	51	PASS
wavefront	256	20	20	1	1	1	1	1	1	51	PASS
wavefront	256	21	21	1	1	1	1	1	1	51	PASS
wavefront	256	22	22	1	1	1	1	1	1	51	PASS
wavefront	256	23	23	1	1	1	1	1	1	51	PASS
wavefront	256	24	24	1	1	1	1	1	1	47	PASS
wavefront	256	25	25	1	1	1	1	1	1	51	PASS
wavefront	256	26	26	1	1	1	1	1	1	51	PASS
wavefront	256	27	27	1	1	1	1	1	1	51	PASS
wavefront	256	28	28	1	1	1	1	1	1	51	PASS
wavefront	256	29	29	1	1	1	1	1	1	51	PASS
wavefront	256	30	30	1	1	1	1	1	1	51	PASS
wavefront	256	31	31	1	1	1	1	1	1	51	PASS
wavefront	256	32	32	1	1	1	1	1	1	39	PASS
