tile_m	tile_n	tile_k	stages	registers	shared_bytes	threads	source_sha256	compiled
16	128	128	2	96	73728	128	97a46a0cd6718bed01c47b0b9e5f2f72739f2dbf3e477709420ae88e9dd21217	true
16	128	64	2	72	36864	128	3c64876605cb318f9a17f7b0a36d607ff1b64b323f731597b7f5982bbd853af9	true
16	128	64	3	96	55296	128	1f6a1ae20cf9ed77f0f5b08f69a83fade0e64676d587886ee75d892cef8fff3f	true
16	128	64	4	96	73728	128	632750521f43dd5c1d3dd9e81b5b9eb03a42215c6245d13164ab50fb99898d91	true
16	128	64	5	96	92160	128	3425bca2c15d1b4c8c9899806cf9c82a26b7e25279c956030adf59bde1618147	true
16	256	64	2	114	69632	128	0ee53d099a2252b55d7ff61dab9c1306f17c9c2b25316c2df5d698b5aeaa4d75	true
16	32	128	2	48	24576	128	05f288006a63d9d8cdb46b7f774be71c2980ebcf0fb9f0ceb3c09b5d3c29a14e	true
16	32	128	3	56	36864	128	989d768aafa14cfabd7160a802b0c6429cd70d2afb743b01d09d40a1a1feba9d	true
16	32	128	4	56	49152	128	9b0cc2749d343e99603a2706fbc05408d62f09e3a71c3d3697934dfb8d6ea1d7	true
16	32	128	5	56	61440	128	3dc23f50153cb57947c446749e1d975259cd6315b0393ee5e55d685f041ab596	true
16	32	128	6	56	73728	128	b4f7c2658fd15b3acf6ea68a09c1aa5ac4eab66899bdc8cd2fdab24c0bed804f	true
16	32	128	7	56	86016	128	414a3e9764e1ded40ce204b7a5a8d3726b518d3d664d09755c33ab9fc51a3028	true
16	32	128	8	56	98304	128	ff65d7432fb3df1771e2f72eb9d71bf7798b1c311e245df1280ed80b14493c94	true
16	32	64	10	48	61440	128	9546f53a78489943fa539b45e86386a912f298ef071ffcce22517b95e3c8aa33	true
16	32	64	11	48	67584	128	be14f839654a28a1a4f9f91e04979fa3982d2f23124e1032b05e4eaf0af24256	true
16	32	64	12	48	73728	128	1a9bc0d8a8899efeb7d33a64e15c59031809e1afe35b7bf2d45ecbbefec5eaf4	true
16	32	64	13	48	79872	128	fefb720567bb719a60c83249cf4c96e2ae87e9f54dbd73b1865007ba548f5ce5	true
16	32	64	14	48	86016	128	5d870205d58520f12de1fa7b653808eb8478e58fa146c7b720caaf82fe808168	true
16	32	64	15	48	92160	128	55c18833730eba87146702436ed7510ee8d9cdfdf83715ea56e1c61ca0dabaf8	true
16	32	64	16	48	98304	128	14507c55b7b3f7bfbd4d331a2e4bdc46f4554025d073f933b804a581c9d5b2ba	true
16	32	64	2	48	12288	128	93003c806da9ee3930cf5d796db474e30ab5e8f94be5513ed739c19715b72179	true
16	32	64	3	48	18432	128	ff19e937c582caf74d3610b3f1de585cc345202113d2df8389b47ddc95940cb1	true
16	32	64	4	48	24576	128	6cddc5f191d9276e0a829ddfa93bf37c3da58efcee7cab81243c51401b466e4e	true
16	32	64	5	48	30720	128	4dd5e8fa369037e786f7ed7bbb1ca3f1ad6c1dfb3829d9c89fc85f0b7822726c	true
16	32	64	6	48	36864	128	873818f109c3c65df69122fda93970a105432876c674b9180ed82de3af3beaeb	true
16	32	64	7	48	43008	128	f83f557a1dd3e699f0690b9bd1f1d3e54dcf75e66922e4b1123b10d0ac2c5093	true
16	32	64	8	48	49152	128	4e545fed067135ea33c24084b9325a2aebf72cb12f81e987618ea19412f83969	true
16	32	64	9	48	55296	128	9e90c5396c9e451560f8d28d4477fb5bfb4c9f9770eae7f7eb6a4a25cf593e16	true
16	64	128	2	64	40960	128	f3527030899f7a17730879cccb64ca21044453de4386b3560e9abfc5d115ddef	true
16	64	128	3	80	61440	128	802c3eb306c728aa65813cfc65ae13b8a2b9916b144b3f24afe51cb02fc0a6b3	true
16	64	128	4	80	81920	128	b4b18d60c3e72e7720ba543d1ac2a47579cdddea84129f9cfa11c5d9a186f722	true
16	64	64	2	56	20480	128	d4f79375fd7cf9f6cedb79571746232648fb11420a5e3f96b14d7b1fb6be0462	true
16	64	64	3	72	30720	128	8530472608a03d92907bc18783812d0a1052a14aea31d0fd17494503ddcaebf7	true
16	64	64	4	72	40960	128	1c9ab5a77e2475bc5e026ed806019befafc88f82ede64d82e0aad499456ec39e	true
16	64	64	5	72	51200	128	8130820467c20ee3845bc718256ffa92d6609ed5f4e27e0f6225ec122c7420f2	true
16	64	64	6	72	61440	128	fe4010dfe2591bda3f1ad790ae07ab285a6b08a315a9bbb55a64297f1b0bee63	true
16	64	64	7	72	71680	128	3d24551140acfdc74df4ebb840164715f616af935cb38f1d8fed55b4bea84f63	true
16	64	64	8	72	81920	128	9585142c3169bc0091ff20657eb1693bd23df1ed4e2fc4f8715e573b2ab47e37	true
16	64	64	9	72	92160	128	9507483a5d4809b6703bf5a1c6f52e33c04fbb3c451f8ca93814cd4a70622529	true
