candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	980072.79885533603	4648955.3184917346	240571.47411644613	4648955.3184917346
32x16x16s2split1kappa2	980072.79885533603	4648955.3184917346	240571.47411644613	4648955.3184917346
32x16x16s2split1kappa4	980072.79885533603	4648955.3184917346	240571.47411644613	4648955.3184917346
32x16x16s2split2kappa1	1042477.0382161442	2562830.912032194	232368.63279336115	2562830.912032194
32x16x16s2split2kappa2	1042477.0382161442	2562830.912032194	232368.63279336115	2562830.912032194
32x16x16s2split2kappa4	1042477.0382161442	2562830.912032194	232368.63279336115	2562830.912032194
32x16x16s2split4kappa1	1131685.641735425	1493151.4926040259	244419.18693175347	1493151.4926040259
32x16x16s2split4kappa2	1131685.641735425	1493151.4926040259	244419.18693175347	1493151.4926040259
32x16x16s2split4kappa4	1131685.641735425	1493151.4926040259	244419.18693175347	1493151.4926040259
32x16x16s2split8kappa1	1310102.8487773451	961570.03207546042	289644.71637157095	1310102.8487773451
32x16x16s2split8kappa2	1310102.8487773451	961570.03207546042	289644.71637157095	1310102.8487773451
32x16x16s2split8kappa4	1310102.8487773451	961570.03207546042	289644.71637157095	1310102.8487773451
32x16x16s2split16kappa1	1666937.2628545351	702295.8001822111	380095.77525120589	1666937.2628545351
32x16x16s2split16kappa2	1666937.2628545351	702295.8001822111	380095.77525120589	1666937.2628545351
32x16x16s2split16kappa4	1666937.2628545351	702295.8001822111	380095.77525120589	1666937.2628545351
32x16x16s2split32kappa1	2380606.0910258875	585691.68097765499	557658.61983779445	2380606.0910258875
32x16x16s2split32kappa2	2380606.0910258875	585691.68097765499	557658.61983779445	2380606.0910258875
32x16x16s2split32kappa4	2380606.0910258875	585691.68097765499	557658.61983779445	2380606.0910258875
32x16x32s2split1kappa1	535364.52393111156	2602202.9356395975	131894.3564428814	2602202.9356395975
32x16x32s2split1kappa2	535364.52393111156	2602202.9356395975	131894.3564428814	2602202.9356395975
32x16x32s2split1kappa4	535364.52393111156	2602202.9356395975	131894.3564428814	2602202.9356395975
32x16x32s2split2kappa1	597768.76328875276	1539454.7206061275	132747.94159259347	1539454.7206061275
32x16x32s2split2kappa2	597768.76328875276	1539454.7206061275	132747.94159259347	1539454.7206061275
32x16x32s2split2kappa4	597768.76328875276	1539454.7206061275	132747.94159259347	1539454.7206061275
32x16x32s2split4kappa1	686977.36680872156	981463.39689099288	149326.70896738433	981463.39689099288
32x16x32s2split4kappa2	686977.36680872156	981463.39689099288	149326.70896738433	981463.39689099288
32x16x32s2split4kappa4	686977.36680872156	981463.39689099288	149326.70896738433	981463.39689099288
32x16x32s2split8kappa1	865394.57384223503	705725.98421894293	194552.2384072018	865394.57384223503
32x16x32s2split8kappa2	865394.57384223503	705725.98421894293	194552.2384072018	865394.57384223503
32x16x32s2split8kappa4	865394.57384223503	705725.98421894293	194552.2384072018	865394.57384223503
32x16x32s2split16kappa1	1222228.9879019635	574373.77625395206	285003.29728683678	1222228.9879019635
32x16x32s2split16kappa2	1222228.9879019635	574373.77625395206	285003.29728683678	1222228.9879019635
32x16x32s2split16kappa4	1222228.9879019635	574373.77625395206	285003.29728683678	1222228.9879019635
32x16x32s2split32kappa1	1935897.816062188	521730.66901352524	463132.1685279751	1935897.816062188
32x16x32s2split32kappa2	1935897.816062188	521730.66901352524	463132.1685279751	1935897.816062188
32x16x32s2split32kappa4	1935897.816062188	521730.66901352524	463132.1685279751	1935897.816062188
32x16x64s2split1kappa1	441019.1712730935	2167982.1525956686	108838.38566178759	2167982.1525956686
32x16x64s2split1kappa2	441019.1712730935	2167982.1525956686	108838.38566178759	2167982.1525956686
32x16x64s2split1kappa4	441019.1712730935	2167982.1525956686	108838.38566178759	2167982.1525956686
32x16x64s2split2kappa1	503423.41063141992	1322344.3290841617	111613.30170992416	1322344.3290841617
32x16x64s2split2kappa2	503423.41063141992	1322344.3290841617	111613.30170992416	1322344.3290841617
32x16x64s2split2kappa4	503423.41063141992	1322344.3290841617	111613.30170992416	1322344.3290841617
32x16x64s2split4kappa1	592632.01414908294	872908.20113001019	129152.73453392724	872908.20113001019
32x16x64s2split4kappa2	592632.01414908294	872908.20113001019	129152.73453392724	872908.20113001019
32x16x64s2split4kappa4	592632.01414908294	872908.20113001019	129152.73453392724	872908.20113001019
32x16x64s2split8kappa1	771049.22118884779	651448.38633845141	174378.26397374473	771049.22118884779
32x16x64s2split8kappa2	771049.22118884779	651448.38633845141	174378.26397374473	771049.22118884779
32x16x64s2split8kappa4	771049.22118884779	651448.38633845141	174378.26397374473	771049.22118884779
32x16x64s2split16kappa1	1127883.6352500466	547234.97731370584	264829.32285337971	1127883.6352500466
32x16x64s2split16kappa2	1127883.6352500466	547234.97731370584	264829.32285337971	1127883.6352500466
32x16x64s2split16kappa4	1127883.6352500466	547234.97731370584	264829.32285337971	1127883.6352500466
32x16x64s2split32kappa1	1841552.4633707062	508161.26954340225	443078.2772756695	1841552.4633707062
32x16x64s2split32kappa2	1841552.4633707062	508161.26954340225	443078.2772756695	1841552.4633707062
32x16x64s2split32kappa4	1841552.4633707062	508161.26954340225	443078.2772756695	1841552.4633707062
64x128x16s2split1kappa1	212076.07513948929	7739891.652458719	260279.59120483219	7739891.652458719
64x128x16s2split1kappa2	212076.07513948929	7739891.652458719	260279.59120483219	7739891.652458719
