model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
mha4	4	4	2	24576	132864	4513.4031727583133	657316.70752131892	794067.49989381153	1136	2472	1.1641532182693481e-10
mha4	128	4	2	24576	5267456	51738.907190353202	710144.16179786192	1001316.1198587348	31888	51524	1.1641532182693481e-10
