model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
gqa2	4	2	2	24576	33664	2257.9035094664255	328659.55568374676	396072.85190856451	392	806	1.1641532182693481e-10
gqa2	128	2	2	24576	1585152	20222.765139645617	348380.64341790247	467958.14516460348	10560	19132	5.8207660913467407e-11
