model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
mha4	4	1	2	24576	0	2884.1748648494327	643211.22868540999	755069.4757804476	560	1140	1.1641532182693481e-10
mha4	128	1	2	24576	0	28742.70890181014	674671.71298131882	854085.74436343322	13456	27044	1.1641532182693481e-10
