model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
mha4	4	8	2	24576	263936	4666.0474048414326	657469.35175340204	797168.56078980234	1648	4008	1.1641532182693481e-10
mha4	128	8	2	24576	9461760	73723.898186784645	732129.15279429336	1104705.6330978086	48272	76004	1.1641532182693481e-10
