model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
mha4	4	2	2	24576	67328	4515.807018932851	657319.1113674934	792595.69540803228	880	1704	0
mha4	128	2	2	24576	3170304	40445.530279291233	698850.7848868001	949320.48182635184	23696	39284	0
