model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns	l1_ms	l2_ms
gqa2	4	1	2	24576	0	1442.0874324247163	321605.61434270506	377309.74209477217	232	524	1.7462298274040222e-10	0.35888	0.40448
gqa2	128	1	2	24576	0	14371.35445090507	336291.10746516188	420340.77643314423	5440	13012	5.8207660913467407e-11	0.566384	0.620544
gqa2	4	2	2	24576	33664	2257.9035094664255	328659.55568374676	396072.85190856451	392	806	1.1641532182693481e-10	0.37488	0.423936
gqa2	128	2	2	24576	1585152	20222.765139645617	348380.64341790247	467958.14516460348	10560	19132	5.8207660913467407e-11	0.638976	0.730064
gqa2	4	4	2	24576	66432	2256.7015863791567	328658.35376065952	396808.7541514542	520	1190	1.7462298274040222e-10	0.37424	0.420864
gqa2	128	4	2	24576	2633728	25869.453595176601	354027.33187343349	493955.96418079513	14656	25252	5.8207660913467407e-11	0.669888	0.80368
gqa2	4	8	2	24576	131968	2333.0237024207163	328734.67587670108	398359.28459944954	776	1958	1.7462298274040222e-10	0.37430399999999997	0.42488000000000004
gqa2	128	8	2	24576	4730880	36861.949093392323	365019.82737164915	545650.72080033191	22848	37492	5.8207660913467407e-11	0.7088	0.938992
mha4	4	1	2	24576	0	2884.1748648494327	643211.22868540999	755069.4757804476	560	1140	1.1641532182693481e-10	0.795648	0.8838239999999999
mha4	128	1	2	24576	0	28742.70890181014	674671.71298131882	854085.74436343322	13456	27044	1.1641532182693481e-10	1.133376	1.263616
mha4	4	2	2	24576	67328	4515.807018932851	657319.1113674934	792595.69540803228	880	1704	0	0.830464	0.926624
mha4	128	2	2	24576	3170304	40445.530279291233	698850.7848868001	949320.48182635184	23696	39284	0	1.279984	1.482752
mha4	4	4	2	24576	132864	4513.4031727583133	657316.70752131892	794067.49989381153	1136	2472	1.1641532182693481e-10	0.82432	0.92472
mha4	128	4	2	24576	5267456	51738.907190353202	710144.16179786192	1001316.1198587348	31888	51524	1.1641532182693481e-10	1.3425600000000002	1.63232
mha4	4	8	2	24576	263936	4666.0474048414326	657469.35175340204	797168.56078980234	1648	4008	1.1641532182693481e-10	0.828384	0.92672
mha4	128	8	2	24576	9461760	73723.898186784645	732129.15279429336	1104705.6330978086	48272	76004	1.1641532182693481e-10	1.341968	1.78688
