model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
gqa2	4	8	2	24576	131968	2333.0237024207163	328734.67587670108	398359.28459944954	776	1958	1.7462298274040222e-10
gqa2	128	8	2	24576	4730880	36861.949093392323	365019.82737164915	545650.72080033191	22848	37492	5.8207660913467407e-11
