model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
gqa2	4	4	2	24576	66432	2256.7015863791567	328658.35376065952	396808.7541514542	520	1190	1.7462298274040222e-10
gqa2	128	4	2	24576	2633728	25869.453595176601	354027.33187343349	493955.96418079513	14656	25252	5.8207660913467407e-11
