model	seq	chunks	ctas_per_sm	shared_bytes	workspace_bytes	attention_ns	l1_ns	l2_ns	task_refs	waits	dp_decomposition_ns
gqa2	4	1	2	24576	0	1442.0874324247163	321605.61434270506	377309.74209477217	232	524	1.7462298274040222e-10
gqa2	128	1	2	24576	0	14371.35445090507	336291.10746516188	420340.77643314423	5440	13012	5.8207660913467407e-11
