model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	load_lines	full	4	3	0	1	0.324544	0.374080
gqa2	load_lines	nowait	4	3	0	0	0.325440	0.351264
gqa2	load_lines	neither	4	3	0	0	0.325888	0.303456
gqa2	load_lines	l1nosync	4	3	0	0	0.297952	0.373024
gqa2	cluster	full	4	3	0	1	0.327040	0.399456
gqa2	cluster	nowait	4	3	0	0	0.325504	0.375872
gqa2	cluster	neither	4	3	0	0	0.324576	0.291904
gqa2	cluster	l1nosync	4	3	0	0	0.299872	0.400896
gqa2	load_lines	nowait	4	3	1	0	0.324544	0.348320
gqa2	load_lines	neither	4	3	1	0	0.329888	0.301920
gqa2	load_lines	l1nosync	4	3	1	0	0.319680	0.376736
gqa2	cluster	full	4	3	1	1	0.326304	0.400288
gqa2	cluster	nowait	4	3	1	0	0.324352	0.375648
gqa2	cluster	neither	4	3	1	0	0.326752	0.291648
gqa2	cluster	l1nosync	4	3	1	0	0.297760	0.398176
gqa2	load_lines	full	4	3	1	1	0.324800	0.371424
gqa2	load_lines	neither	4	3	2	0	0.323968	0.298976
gqa2	load_lines	l1nosync	4	3	2	0	0.297920	0.374336
gqa2	cluster	full	4	3	2	1	0.324448	0.398144
gqa2	cluster	nowait	4	3	2	0	0.325824	0.373568
gqa2	cluster	neither	4	3	2	0	0.324736	0.292032
gqa2	cluster	l1nosync	4	3	2	0	0.298112	0.398176
gqa2	load_lines	full	4	3	2	1	0.324320	0.374688
gqa2	load_lines	nowait	4	3	2	0	0.324096	0.348864
gqa2	load_lines	l1nosync	4	3	3	0	0.297088	0.373088
gqa2	cluster	full	4	3	3	1	0.324800	0.400480
gqa2	cluster	nowait	4	3	3	0	0.324608	0.373600
gqa2	cluster	neither	4	3	3	0	0.324128	0.291136
gqa2	cluster	l1nosync	4	3	3	0	0.299904	0.400960
gqa2	load_lines	full	4	3	3	1	0.324352	0.372864
gqa2	load_lines	nowait	4	3	3	0	0.322112	0.349056
gqa2	load_lines	neither	4	3	3	0	0.324384	0.299968
gqa2	cluster	full	4	3	4	1	0.325856	0.397696
gqa2	cluster	nowait	4	3	4	0	0.326528	0.375936
gqa2	cluster	neither	4	3	4	0	0.324608	0.290976
gqa2	cluster	l1nosync	4	3	4	0	0.299200	0.398592
gqa2	load_lines	full	4	3	4	1	0.323936	0.372672
gqa2	load_lines	nowait	4	3	4	0	0.328288	0.348992
gqa2	load_lines	neither	4	3	4	0	0.323680	0.300928
gqa2	load_lines	l1nosync	4	3	4	0	0.297920	0.372768
gqa2	cluster	nowait	4	3	5	0	0.326528	0.373856
gqa2	cluster	neither	4	3	5	0	0.324608	0.292032
gqa2	cluster	l1nosync	4	3	5	0	0.299264	0.398304
gqa2	load_lines	full	4	3	5	1	0.323520	0.372640
gqa2	load_lines	nowait	4	3	5	0	0.324384	0.349120
gqa2	load_lines	neither	4	3	5	0	0.324288	0.301408
gqa2	load_lines	l1nosync	4	3	5	0	0.297568	0.371360
gqa2	cluster	full	4	3	5	1	0.324000	0.399680
gqa2	cluster	neither	4	3	6	0	0.324704	0.292288
gqa2	cluster	l1nosync	4	3	6	0	0.299680	0.400160
gqa2	load_lines	full	4	3	6	1	0.324608	0.373760
gqa2	load_lines	nowait	4	3	6	0	0.325536	0.348288
gqa2	load_lines	neither	4	3	6	0	0.323968	0.300928
gqa2	load_lines	l1nosync	4	3	6	0	0.300768	0.373248
gqa2	cluster	full	4	3	6	1	0.325536	0.399072
gqa2	cluster	nowait	4	3	6	0	0.325472	0.374176
gqa2	cluster	l1nosync	4	3	7	0	0.300896	0.399104
gqa2	load_lines	full	4	3	7	1	0.324992	0.372608
gqa2	load_lines	nowait	4	3	7	0	0.326848	0.355072
gqa2	load_lines	neither	4	3	7	0	0.325408	0.303584
gqa2	load_lines	l1nosync	4	3	7	0	0.298240	0.373696
gqa2	cluster	full	4	3	7	1	0.323296	0.399424
gqa2	cluster	nowait	4	3	7	0	0.330592	0.377344
gqa2	cluster	neither	4	3	7	0	0.324416	0.292256
gqa2	load_lines	full	4	3	8	1	0.324448	0.372416
gqa2	load_lines	nowait	4	3	8	0	0.324256	0.349056
gqa2	load_lines	neither	4	3	8	0	0.325856	0.299840
gqa2	load_lines	l1nosync	4	3	8	0	0.296576	0.374112
gqa2	cluster	full	4	3	8	1	0.324544	0.399712
gqa2	cluster	nowait	4	3	8	0	0.324384	0.374880
gqa2	cluster	neither	4	3	8	0	0.326784	0.292704
gqa2	cluster	l1nosync	4	3	8	0	0.297568	0.397376
gqa2	load_lines	nowait	4	3	9	0	0.326048	0.350848
gqa2	load_lines	neither	4	3	9	0	0.326720	0.299456
gqa2	load_lines	l1nosync	4	3	9	0	0.299648	0.372992
gqa2	cluster	full	4	3	9	1	0.327360	0.398624
gqa2	cluster	nowait	4	3	9	0	0.325792	0.374560
gqa2	cluster	neither	4	3	9	0	0.324992	0.291776
gqa2	cluster	l1nosync	4	3	9	0	0.298528	0.399552
gqa2	load_lines	full	4	3	9	1	0.324928	0.374720
gqa2	load_lines	neither	4	3	10	0	0.324864	0.299904
gqa2	load_lines	l1nosync	4	3	10	0	0.297920	0.372096
gqa2	cluster	full	4	3	10	1	0.327904	0.399040
gqa2	cluster	nowait	4	3	10	0	0.324928	0.374752
gqa2	cluster	neither	4	3	10	0	0.325536	0.292576
gqa2	cluster	l1nosync	4	3	10	0	0.297824	0.399456
gqa2	load_lines	full	4	3	10	1	0.324480	0.375360
gqa2	load_lines	nowait	4	3	10	0	0.323008	0.349216
gqa2	load_lines	l1nosync	4	3	11	0	0.297760	0.373760
gqa2	cluster	full	4	3	11	1	0.325216	0.398912
gqa2	cluster	nowait	4	3	11	0	0.326656	0.374176
gqa2	cluster	neither	4	3	11	0	0.324736	0.292480
gqa2	cluster	l1nosync	4	3	11	0	0.298560	0.398880
gqa2	load_lines	full	4	3	11	1	0.325312	0.374144
gqa2	load_lines	nowait	4	3	11	0	0.324768	0.348896
gqa2	load_lines	neither	4	3	11	0	0.322848	0.297888
gqa2	cluster	full	4	3	12	1	0.327872	0.399680
gqa2	cluster	nowait	4	3	12	0	0.325888	0.374752
