slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
0	0	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1352	0	2311	1955	1839	116	5618	0	0	0	0	0	0.0	0.0	0.0	0.0
1	2	0	0	1	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2182	509	15947	1217	950	267	19855	1	32	5934	9909	104	2448.316696046336	4088.3670611936536	42.909493830269454	204.2713674137497
2	5	0	2	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1280	0	1862	401	30	371	3543	0	0	0	0	0	0.0	0.0	0.0	0.0
3	6	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1111	0	1229	146	30	116	2486	0	0	0	0	0	0.0	0.0	0.0	0.0
4	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1682	0	8242	146	30	116	10070	0	0	0	0	0	0.0	0.0	0.0	0.0
5	9	0	0	1	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2204	484	15961	1721	1603	118	20370	1	32	6013	9817	131	2418.188316151203	3948.0051055473737	52.68296514482082	198.94354442808051
6	10	0	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1344	0	2506	1939	1823	116	5789	0	0	0	0	0	0.0	0.0	0.0	0.0
7	11	0	0	1	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2200	518	15925	1064	946	118	19707	1	32	5910	9911	104	2456.727051301568	4119.902166742781	43.23174506520525	205.51966306388593
8	13	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1306	0	6510	146	30	116	7962	0	0	0	0	0	0.0	0.0	0.0	0.0
9	14	0	0	0	32	16	16	1	1536	1024	0	12288	1024	1024	0	14336	2179	517	32291	2207	2091	116	37194	1	64	12114	20073	104	4669.202129375705	7736.907243103726	40.08560520514061	193.84545894499112
10	15	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1293	0	2407	1841	1725	116	5541	0	0	0	0	0	0.0	0.0	0.0	0.0
11	17	0	0	1	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2188	479	15940	1310	1194	116	19917	1	32	6791	9011	138	2793.1853190741576	3706.286689762514	56.76035547522217	203.108500276146
12	20	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1265	0	1649	375	30	345	3289	0	0	0	0	0	0.0	0.0	0.0	0.0
13	21	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1100	0	1185	146	30	116	2431	0	0	0	0	0	0.0	0.0	0.0	0.0
14	23	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1678	0	8528	146	30	116	10352	0	0	0	0	0	0.0	0.0	0.0	0.0
15	24	0	0	1	32	16	16	1	1536	1024	0	7168	0	0	0	8192	2239	478	16078	1693	1396	297	20488	1	32	6407	9539	132	2561.799297149551	3814.110113237017	52.77938305349473	199.24716907458026
16	25	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1362	0	2392	1859	1743	116	5613	0	0	0	0	0	0.0	0.0	0.0	0.0
17	26	0	0	1	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2254	478	15972	1377	1259	118	20081	1	32	6638	9192	142	2707.957571834072	3749.8562820576662	57.928589213684575	201.80668293411682
18	28	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1324	0	6433	146	30	116	7903	0	0	0	0	0	0.0	0.0	0.0	0.0
19	29	0	0	0	32	16	16	1	1536	1024	0	13312	0	0	0	14336	2239	502	32310	1724	1606	118	36775	1	64	12292	19898	120	4791.790944935418	7756.838286879673	46.779605710401086	196.0723317471108
20	0	1	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1345	0	2402	1906	1790	116	5653	0	0	0	0	0	0.0	0.0	0.0	0.0
21	2	1	0	0	32	16	16	1	1536	1024	0	6144	1024	1024	0	8192	2191	498	15769	1478	1197	281	19936	1	32	5982	9675	112	2458.0930979133227	3975.601926163724	46.02247191011236	201.0529695024077
