model	seq	kappa	l1_ms	l2_ms	ratio	gap_ms	wait_share	notify_share	barrier_share	loop_share
gqa2	4	0	0.400576	0.438272	1.0941	0.036864	+144.4%	+91.8%	-105.6%	-33.3%
gqa2	4	1	0.400512	0.496544	1.2398	0.095296	+112.9%	+40.6%	-39.8%	-12.8%
gqa2	128	0	0.563200	0.593920	1.0545	0.030752	+173.8%	+95.5%	-126.5%	-40.0%
gqa2	128	1	0.563360	1.012736	1.7977	0.449536	+104.1%	+7.5%	-8.7%	-3.0%
mha4	4	0	0.792768	0.866304	1.0928	0.072704	+145.2%	+84.3%	-94.4%	-32.3%
mha4	4	1	0.792640	1.000288	1.2620	0.207712	+110.5%	+33.5%	-33.1%	-11.0%
mha4	128	0	1.126400	1.195264	1.0611	0.068384	+161.7%	+85.4%	-109.3%	-37.4%
mha4	128	1	1.127616	2.042880	1.8117	0.914944	+103.9%	+7.4%	-8.4%	-3.0%

component medians with 20000-replicate bootstrap CI (ms)
model	seq	kappa	component	median	ci_low	ci_high
gqa2	4	0	wait	0.053248	0.052224	0.055296
gqa2	4	0	notify	0.033856	0.032768	0.035840
gqa2	4	0	barrier	0.038912	0.037888	0.039072
gqa2	4	0	loop	-0.012288	-0.013152	-0.011264
gqa2	4	1	wait	0.107584	0.107520	0.108704
gqa2	4	1	notify	0.038688	0.036864	0.038912
gqa2	4	1	barrier	0.037952	0.037824	0.038912
gqa2	4	1	loop	-0.012160	-0.012288	-0.011264
gqa2	128	0	wait	0.053440	0.052352	0.054272
gqa2	128	0	notify	0.029376	0.028704	0.030400
gqa2	128	0	barrier	0.038912	0.037888	0.040064
gqa2	128	0	loop	-0.012288	-0.013696	-0.011264
gqa2	128	1	wait	0.468032	0.466944	0.468992
gqa2	128	1	notify	0.033792	0.032448	0.034816
gqa2	128	1	barrier	0.039104	0.038112	0.040032
gqa2	128	1	loop	-0.013312	-0.013344	-0.012288
mha4	4	0	wait	0.105600	0.103072	0.106784
mha4	4	0	notify	0.061280	0.057344	0.063648
mha4	4	0	barrier	0.068640	0.067680	0.069792
mha4	4	0	loop	-0.023456	-0.024000	-0.022368
mha4	4	1	wait	0.229504	0.227680	0.230432
mha4	4	1	notify	0.069632	0.068416	0.072384
mha4	4	1	barrier	0.068672	0.066560	0.071680
mha4	4	1	loop	-0.022880	-0.025728	-0.020608
mha4	128	0	wait	0.110592	0.108192	0.112640
mha4	128	0	notify	0.058368	0.057184	0.060224
mha4	128	0	barrier	0.074752	0.073920	0.076800
mha4	128	0	loop	-0.025600	-0.026912	-0.024832
mha4	128	1	wait	0.950560	0.950016	0.953152
mha4	128	1	notify	0.067584	0.065376	0.069632
mha4	128	1	barrier	0.076960	0.075584	0.078176
mha4	128	1	loop	-0.027520	-0.028352	-0.024576
