model	seq	kappa	round	arm	l1_ms	l2_ms
gqa2	4	0	11	neither	0.400384	0.351232
gqa2	4	0	12	full	0.401600	0.439232
gqa2	4	0	12	nowait	0.404480	0.386048
gqa2	4	0	12	neither	0.401216	0.350016
gqa2	4	0	12	l1nosync	0.363520	0.438272
gqa2	4	0	13	nowait	0.401504	0.384000
gqa2	4	0	13	neither	0.400384	0.351232
gqa2	4	0	13	l1nosync	0.361472	0.439264
gqa2	4	0	13	full	0.400384	0.437088
gqa2	4	0	14	neither	0.400608	0.350208
gqa2	4	0	14	l1nosync	0.364544	0.438272
gqa2	4	0	14	full	0.401600	0.437248
gqa2	4	0	14	nowait	0.402432	0.386048
gqa2	4	0	15	l1nosync	0.362304	0.439232
gqa2	4	0	15	full	0.400384	0.437248
gqa2	4	0	15	nowait	0.400384	0.386048
gqa2	4	0	15	neither	0.402240	0.351232
gqa2	4	0	16	full	0.400384	0.438272
gqa2	4	0	16	nowait	0.400576	0.382976
gqa2	4	0	16	neither	0.401248	0.349184
gqa2	4	0	16	l1nosync	0.361472	0.440320
gqa2	4	0	17	nowait	0.400288	0.380992
gqa2	4	0	17	neither	0.400576	0.351232
gqa2	4	0	17	l1nosync	0.360448	0.439296
gqa2	4	0	17	full	0.401632	0.439296
gqa2	4	0	18	neither	0.401312	0.350176
gqa2	4	0	18	l1nosync	0.361472	0.439072
gqa2	4	0	18	full	0.400384	0.439296
gqa2	4	0	18	nowait	0.400384	0.384000
gqa2	4	0	19	l1nosync	0.363520	0.440320
gqa2	4	0	19	full	0.400576	0.438272
gqa2	4	0	19	nowait	0.402432	0.385024
gqa2	4	0	19	neither	0.400352	0.350208
gqa2	4	0	20	full	0.400544	0.441344
gqa2	4	0	20	nowait	0.401408	0.386048
gqa2	4	0	20	neither	0.401408	0.350016
gqa2	4	0	20	l1nosync	0.361472	0.437184
gqa2	4	0	21	nowait	0.402336	0.384000
gqa2	4	0	21	neither	0.401600	0.352256
gqa2	4	0	21	l1nosync	0.360448	0.438464
gqa2	4	0	21	full	0.399584	0.437376
gqa2	4	0	22	neither	0.399552	0.350208
gqa2	4	0	22	l1nosync	0.360448	0.439296
gqa2	4	0	22	full	0.400544	0.437312
gqa2	4	0	22	nowait	0.402240	0.386048
gqa2	4	0	23	l1nosync	0.363520	0.439296
gqa2	4	0	23	full	0.400544	0.439072
gqa2	4	0	23	nowait	0.401408	0.381952
gqa2	4	0	23	neither	0.401408	0.350112
gqa2	4	0	24	full	0.399360	0.438272
gqa2	4	0	24	nowait	0.400576	0.386048
gqa2	4	0	24	neither	0.401568	0.350208
gqa2	4	0	24	l1nosync	0.362496	0.439296
gqa2	4	0	25	nowait	0.402528	0.385024
gqa2	4	0	25	neither	0.400384	0.350208
gqa2	4	0	25	l1nosync	0.364544	0.438272
gqa2	4	0	25	full	0.404704	0.440320
gqa2	4	1	1	nowait	0.400384	0.387008
gqa2	4	1	1	neither	0.401408	0.351040
gqa2	4	1	1	l1nosync	0.362336	0.496640
gqa2	4	1	1	full	0.400288	0.494592
gqa2	4	1	2	neither	0.400288	0.350304
gqa2	4	1	2	l1nosync	0.362496	0.497664
gqa2	4	1	2	full	0.401408	0.496544
gqa2	4	1	2	nowait	0.400544	0.389024
gqa2	4	1	3	l1nosync	0.362496	0.497664
gqa2	4	1	3	full	0.400576	0.495616
gqa2	4	1	3	nowait	0.400608	0.388096
gqa2	4	1	3	neither	0.399520	0.347936
gqa2	4	1	4	full	0.400384	0.497664
gqa2	4	1	4	nowait	0.400320	0.390976
gqa2	4	1	4	neither	0.400384	0.351200
gqa2	4	1	4	l1nosync	0.362496	0.496480
gqa2	4	1	5	nowait	0.400384	0.387072
gqa2	4	1	5	neither	0.401408	0.350208
gqa2	4	1	5	l1nosync	0.362496	0.497664
gqa2	4	1	5	full	0.401600	0.496640
gqa2	4	1	6	neither	0.400512	0.350208
gqa2	4	1	6	l1nosync	0.364320	0.497664
gqa2	4	1	6	full	0.400576	0.497536
gqa2	4	1	6	nowait	0.401600	0.387072
gqa2	4	1	7	l1nosync	0.361472	0.496640
gqa2	4	1	7	full	0.401216	0.495616
