ELEMENTS total=8192 outside_tolerance=190 tolerance=0.016+0.016*|expected|
MAGNITUDE all |expected| median=1.25 p90=3.0625 max=7.53125
MAGNITUDE offending |expected| median=0.399414 p90=1.65625 max=4.4375
index	expected	device	abs_diff	rel_diff
3703	-4.4375	-4.53125	0.09375	0.0211268
5450	-4.15625	-4.25	0.09375	0.0225564
6357	2.5	2.59375	0.09375	0.0375
2620	2.546875	2.625	0.078125	0.0306748
1234	-2.40625	-2.34375	0.0625	0.025974
1338	-2.34375	-2.28125	0.0625	0.0266667
1436	-2.15625	-2.09375	0.0625	0.0289855
1749	2.140625	2.203125	0.0625	0.0291971
2654	2.421875	2.484375	0.0625	0.0258065
2995	2.8125	2.75	0.0625	0.0222222
