stage	event_offset	event_flags
0	0	2
1	128	1
2	129	1
3	130	1
4	131	2
5	643	2
6	1155	1
7	1156	1
8	1157	2
9	1669	2
10	1673	2
11	1801	2
12	1809	2
13	1817	2
14	1945	2
15	1949	2
16	2077	1
17	2078	1
18	2079	1
19	2080	2
20	2592	2
21	3104	1
22	3105	1
23	3106	2
24	3618	2
25	3622	2
26	3750	2
27	3758	2
28	3766	2
29	3894	2
30	3898	2
31	4026	1
32	4027	1
33	4028	1
34	4029	2
35	4541	2
36	5053	1
37	5054	1
38	5055	2
39	5567	2
40	5571	2
41	5699	2
42	5707	2
43	5715	2
44	5843	2
45	5847	2
46	5975	1
47	5976	1
48	5977	1
49	5978	2
50	6490	2
51	7002	1
52	7003	1
53	7004	2
54	7516	2
55	7520	2
56	7648	2
57	7656	2
58	7664	2
59	7792	0
