worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	2	0	1	1	0	127
0	2	1	0	0	1	127	0
0	3	3	0	2	1	127	0
0	4	5	0	4	1	127	1
0	5	5	256	4	1	128	0
0	6	4	0	3	1	128	1
0	7	4	256	3	1	129	0
0	8	7	0	6	1	129	1
0	9	7	256	6	1	130	0
0	10	6	0	5	1	130	0
0	11	6	256	5	1	130	0
0	12	8	0	7	3	130	2
0	13	8	256	7	3	132	0
0	14	9	0	10	1	132	510
0	15	10	0	11	1	642	3
0	16	11	0	12	1	645	127
0	17	12	0	13	1	772	0
0	18	13	0	14	2	772	14
0	19	14	0	16	2	786	127
0	20	15	0	18	1	913	3
0	21	17	0	20	1	916	127
0	22	16	0	19	1	1043	0
0	23	18	0	21	1	1043	0
0	24	20	0	23	1	1043	1
0	25	20	256	23	1	1044	0
0	26	19	0	22	1	1044	1
0	27	19	256	22	1	1045	0
0	28	22	0	25	1	1045	1
0	29	22	256	25	1	1046	0
0	30	21	0	24	1	1046	0
0	31	21	256	24	1	1046	0
0	32	23	0	26	3	1046	2
0	33	23	256	26	3	1048	0
0	34	24	0	29	2	1048	510
0	35	25	0	31	1	1558	3
0	36	26	0	32	1	1561	127
0	37	27	0	33	1	1688	0
0	38	28	0	34	2	1688	14
0	39	29	0	36	2	1702	127
0	40	30	0	38	1	1829	3
0	41	32	0	40	1	1832	127
0	42	31	0	39	1	1959	0
0	43	33	0	41	1	1959	0
0	44	35	0	43	1	1959	1
0	45	35	256	43	1	1960	0
0	46	34	0	42	1	1960	1
0	47	34	256	42	1	1961	0
0	48	37	0	45	1	1961	1
0	49	37	256	45	1	1962	0
0	50	36	0	44	1	1962	0
0	51	36	256	44	1	1962	0
0	52	38	0	46	3	1962	2
0	53	38	256	46	3	1964	0
0	54	39	0	49	2	1964	510
0	55	40	0	51	1	2474	3
0	56	41	0	52	1	2477	127
0	57	42	0	53	1	2604	0
0	58	43	0	54	2	2604	14
0	59	44	0	56	2	2618	127
0	60	45	0	58	1	2745	3
0	61	47	0	60	1	2748	127
0	62	46	0	59	1	2875	0
0	63	48	0	61	1	2875	0
0	64	50	0	63	1	2875	1
0	65	50	256	63	1	2876	0
0	66	49	0	62	1	2876	1
0	67	49	256	62	1	2877	0
0	68	52	0	65	1	2877	1
0	69	52	256	65	1	2878	0
0	70	51	0	64	1	2878	0
0	71	51	256	64	1	2878	0
0	72	53	0	66	3	2878	2
0	73	53	256	66	3	2880	0
0	74	54	0	69	2	2880	510
0	75	55	0	71	1	3390	3
0	76	56	0	72	1	3393	127
0	77	57	0	73	1	3520	0
0	78	58	0	74	2	3520	14
0	79	59	0	76	2	3534	127
1	0	0	1	0	0	3661	0
1	1	2	1	1	1	3661	127
1	2	1	1	0	1	3788	0
1	3	3	1	2	1	3788	0
1	4	5	1	4	1	3788	1
1	5	5	257	4	1	3789	0
1	6	4	1	3	1	3789	1
1	7	4	257	3	1	3790	0
1	8	7	1	6	1	3790	1
1	9	7	257	6	1	3791	0
1	10	6	1	5	1	3791	0
1	11	6	257	5	1	3791	0
1	12	8	1	7	3	3791	2
1	13	8	257	7	3	3793	0
1	14	9	1	10	1	3793	510
1	15	10	1	11	1	4303	3
1	16	11	1	12	1	4306	127
1	17	12	1	13	1	4433	0
1	18	13	1	14	2	4433	14
1	19	14	1	16	2	4447	127
