dtype	model	tile_m	tile_n	tile_k	stages	split_k	ctas_per_sm	measured_ms	cdf_ms	curve_ms	delta_ms
bf16	gqa2	32	16	16	2	1	5	0.241664	0.0922177	0.0922177	0.0
bf16	gqa2	32	16	16	2	2	5	0.22416	0.112627	0.112648	2.0999999999993246e-05
bf16	gqa2	32	16	16	2	4	5	0.192352	0.108977	0.109039	6.199999999999262e-05
bf16	gqa2	32	16	16	2	8	5	0.176096	0.108446	0.10859	0.00014400000000000523
bf16	gqa2	32	16	16	2	16	5	0.190464	0.108825	0.109134	0.00030899999999998984
bf16	gqa2	32	16	16	3	1	5	0.20992	0.0927561	0.0927561	0.0
bf16	gqa2	32	16	16	3	2	5	0.207872	0.113165	0.113186	2.0999999999993246e-05
bf16	gqa2	32	16	16	3	4	5	0.18432	0.109515	0.109577	6.199999999999262e-05
bf16	gqa2	32	16	16	3	8	5	0.177952	0.108985	0.109129	0.00014400000000000523
bf16	gqa2	32	16	16	3	16	5	0.190464	0.109517	0.109826	0.00030899999999998984
bf16	gqa2	32	16	16	4	1	5	0.202752	0.0932946	0.0932946	0.0
bf16	gqa2	32	16	16	4	2	5	0.207872	0.113704	0.113724	2.0000000000006124e-05
bf16	gqa2	32	16	16	4	4	5	0.1792	0.110054	0.110116	6.20000000000065e-05
bf16	gqa2	32	16	16	4	8	5	0.178176	0.109523	0.109667	0.00014400000000000523
bf16	gqa2	32	16	16	4	16	5	0.19456	0.110209	0.110518	0.0003090000000000037
bf16	gqa2	32	16	16	5	1	5	0.201728	0.0938331	0.0938331	0.0
bf16	gqa2	32	16	16	5	2	5	0.206848	0.114242	0.114263	2.1000000000007124e-05
bf16	gqa2	32	16	16	5	4	5	0.178944	0.110592	0.110654	6.20000000000065e-05
bf16	gqa2	32	16	16	5	8	5	0.178176	0.110062	0.110206	0.00014400000000000523
bf16	gqa2	32	16	16	5	16	5	0.197632	0.110901	0.111211	0.0003100000000000047
bf16	gqa2	32	16	32	2	1	5	0.2304	0.0932946	0.0932946	0.0
bf16	gqa2	32	16	32	2	2	5	0.222208	0.113704	0.113724	2.0000000000006124e-05
bf16	gqa2	32	16	32	2	4	5	0.190464	0.110054	0.110116	6.20000000000065e-05
bf16	gqa2	32	16	32	2	8	5	0.1792	0.109523	0.109667	0.00014400000000000523
bf16	gqa2	32	16	32	2	16	5	0.198624	0.110209	0.110518	0.0003090000000000037
bf16	gqa2	32	16	32	3	1	5	0.226304	0.0943715	0.0943715	0.0
bf16	gqa2	32	16	32	3	2	5	0.219136	0.114781	0.114801	2.0000000000006124e-05
bf16	gqa2	32	16	32	3	4	5	0.191488	0.111131	0.111193	6.20000000000065e-05
bf16	gqa2	32	16	32	3	8	5	0.178176	0.1106	0.110744	0.00014399999999999136
bf16	gqa2	32	16	32	3	16	5	0.200704	0.111594	0.111903	0.0003090000000000037
bf16	gqa2	32	16	32	4	1	5	0.228352	0.0954485	0.0954485	0.0
bf16	gqa2	32	16	32	4	2	5	0.21504	0.115858	0.115878	1.9999999999992246e-05
bf16	gqa2	32	16	32	4	4	5	0.190464	0.112208	0.11227	6.199999999999262e-05
bf16	gqa2	32	16	32	4	8	5	0.1792	0.111677	0.111821	0.00014400000000000523
bf16	gqa2	32	16	32	4	16	5	0.203776	0.112978	0.113288	0.0003100000000000047
bf16	gqa2	32	16	32	5	1	5	0.228352	0.0965254	0.0965254	0.0
bf16	gqa2	32	16	32	5	2	5	0.219136	0.116935	0.116955	2.0000000000006124e-05
bf16	gqa2	32	16	32	5	4	5	0.194432	0.113285	0.113346	6.1000000000005494e-05
bf16	gqa2	32	16	32	5	8	5	0.191488	0.112754	0.112898	0.00014400000000000523
bf16	gqa2	32	16	32	5	16	5	0.205824	0.114363	0.114672	0.00030899999999998984
bf16	gqa2	32	32	16	2	1	5	0.274432	0.101763	0.101763	0.0
bf16	gqa2	32	32	16	2	2	5	0.256	0.11925	0.11927	2.0000000000006124e-05
bf16	gqa2	32	32	16	2	4	5	0.219136	0.112728	0.11279	6.20000000000065e-05
bf16	gqa2	32	32	16	2	8	5	0.19344	0.110351	0.110495	0.00014399999999999136
bf16	gqa2	32	32	16	2	16	5	0.18944	0.11011	0.110419	0.0003090000000000037
bf16	gqa2	32	32	16	3	1	5	0.240416	0.102481	0.102481	0.0
bf16	gqa2	32	32	16	3	2	5	0.238592	0.119968	0.119988	1.9999999999992246e-05
bf16	gqa2	32	32	16	3	4	5	0.205824	0.113446	0.113508	6.199999999999262e-05
bf16	gqa2	32	32	16	3	8	5	0.18944	0.111069	0.111213	0.00014400000000000523
bf16	gqa2	32	32	16	3	16	5	0.188416	0.110828	0.111137	0.0003090000000000037
bf16	gqa2	32	32	16	4	1	5	0.234496	0.103199	0.103199	0.0
bf16	gqa2	32	32	16	4	2	5	0.237568	0.120685	0.120706	2.0999999999993246e-05
bf16	gqa2	32	32	16	4	4	5	0.205824	0.114164	0.114225	6.0999999999991616e-05
bf16	gqa2	32	32	16	4	8	5	0.18944	0.111787	0.111931	0.00014400000000000523
bf16	gqa2	32	32	16	4	16	5	0.187392	0.111546	0.111855	0.00030899999999998984
bf16	gqa2	32	32	16	5	1	5	0.234496	0.103917	0.103917	0.0
bf16	gqa2	32	32	16	5	2	5	0.238592	0.121403	0.121424	2.1000000000007124e-05
bf16	gqa2	32	32	16	5	4	5	0.2048	0.114882	0.114943	6.1000000000005494e-05
bf16	gqa2	32	32	16	5	8	5	0.18944	0.112505	0.112649	0.00014400000000000523
bf16	gqa2	32	32	16	5	16	5	0.190464	0.112264	0.112573	0.0003090000000000037
bf16	gqa2	32	32	32	2	1	5	0.277504	0.103199	0.103199	0.0
bf16	gqa2	32	32	32	2	2	5	0.256992	0.120685	0.120706	2.0999999999993246e-05
bf16	gqa2	32	32	32	2	4	5	0.223168	0.114164	0.114225	6.0999999999991616e-05
bf16	gqa2	32	32	32	2	8	5	0.202752	0.111787	0.111931	0.00014400000000000523
bf16	gqa2	32	32	32	2	16	5	0.193536	0.111546	0.111855	0.00030899999999998984
bf16	gqa2	32	32	32	3	1	5	0.264192	0.104635	0.104635	0.0
bf16	gqa2	32	32	32	3	2	5	0.254976	0.122121	0.122142	2.1000000000007124e-05
bf16	gqa2	32	32	32	3	4	5	0.221184	0.1156	0.115661	6.1000000000005494e-05
bf16	gqa2	32	32	32	3	8	5	0.202752	0.113223	0.113367	0.00014399999999999136
bf16	gqa2	32	32	32	3	16	5	0.194464	0.112982	0.113291	0.0003090000000000037
bf16	gqa2	32	32	32	4	1	5	0.265216	0.106071	0.106071	0.0
bf16	gqa2	32	32	32	4	2	5	0.253952	0.123557	0.123578	2.0999999999993246e-05
bf16	gqa2	32	32	32	4	4	5	0.223232	0.117035	0.117097	6.20000000000065e-05
bf16	gqa2	32	32	32	4	8	5	0.202752	0.114659	0.114803	0.00014400000000000523
bf16	gqa2	32	32	32	4	16	5	0.19648	0.114417	0.114727	0.00030999999999999084
bf16	gqa2	32	32	32	5	1	4	0.26816	0.107503	0.107503	0.0
bf16	gqa2	32	32	32	5	2	4	0.253952	0.124988	0.125008	2.0000000000006124e-05
bf16	gqa2	32	32	32	5	4	4	0.21504	0.118466	0.118528	6.199999999999262e-05
bf16	gqa2	32	32	32	5	8	4	0.19968	0.116089	0.116233	0.00014400000000000523
bf16	gqa2	32	32	32	5	16	4	0.19968	0.115848	0.116157	0.00030899999999998984
bf16	gqa2	32	64	16	2	1	5	0.333824	0.120855	0.120855	0.0
bf16	gqa2	32	64	16	2	2	5	0.303104	0.132495	0.132516	2.0999999999993246e-05
bf16	gqa2	32	64	16	2	4	5	0.25088	0.122691	0.122753	6.20000000000065e-05
bf16	gqa2	32	64	16	2	8	5	0.22016	0.117853	0.117997	0.00014400000000000523
bf16	gqa2	32	64	16	2	16	5	0.21504	0.116176	0.116485	0.0003090000000000037
bf16	gqa2	32	64	16	3	1	5	0.297984	0.121932	0.121932	0.0
bf16	gqa2	32	64	16	3	2	5	0.282624	0.133572	0.133592	1.9999999999992246e-05
bf16	gqa2	32	64	16	3	4	5	0.239616	0.123768	0.12383	6.199999999999262e-05
bf16	gqa2	32	64	16	3	8	5	0.22016	0.118929	0.119074	0.00014499999999999236
bf16	gqa2	32	64	16	3	16	5	0.21504	0.117253	0.117562	0.0003090000000000037
bf16	gqa2	32	64	16	4	1	5	0.295936	0.123009	0.123009	0.0
bf16	gqa2	32	64	16	4	2	5	0.285472	0.134649	0.134669	2.0000000000020002e-05
bf16	gqa2	32	64	16	4	4	5	0.238592	0.124845	0.124907	6.20000000000065e-05
bf16	gqa2	32	64	16	4	8	5	0.22016	0.120006	0.120151	0.00014499999999999236
bf16	gqa2	32	64	16	4	16	5	0.21504	0.118329	0.118639	0.00030999999999999084
bf16	gqa2	32	64	16	5	1	5	0.295776	0.124086	0.124086	0.0
bf16	gqa2	32	64	16	5	2	5	0.284672	0.135726	0.135746	1.9999999999992246e-05
bf16	gqa2	32	64	16	5	4	5	0.242688	0.125922	0.125984	6.20000000000065e-05
bf16	gqa2	32	64	16	5	8	5	0.22016	0.121083	0.121228	0.00014500000000000624
bf16	gqa2	32	64	16	5	16	5	0.218112	0.119406	0.119715	0.0003090000000000037
bf16	gqa2	32	64	32	2	1	4	0.340992	0.123005	0.123005	0.0
bf16	gqa2	32	64	32	2	2	4	0.306176	0.134643	0.134664	2.0999999999993246e-05
bf16	gqa2	32	64	32	2	4	4	0.244736	0.124839	0.124901	6.199999999999262e-05
bf16	gqa2	32	64	32	2	8	4	0.223232	0.120001	0.120145	0.00014400000000000523
bf16	gqa2	32	64	32	2	16	4	0.207872	0.118324	0.118633	0.0003090000000000037
bf16	gqa2	32	64	32	3	1	4	0.341856	0.125159	0.125159	0.0
bf16	gqa2	32	64	32	3	2	4	0.309248	0.136797	0.136818	2.0999999999993246e-05
bf16	gqa2	32	64	32	3	4	4	0.247808	0.126993	0.127055	6.20000000000065e-05
bf16	gqa2	32	64	32	3	8	4	0.2304	0.122155	0.122299	0.00014400000000000523
bf16	gqa2	32	64	32	3	16	4	0.217088	0.120478	0.120787	0.0003090000000000037
bf16	gqa2	32	64	32	4	1	4	0.344064	0.127313	0.127313	0.0
