candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x32s2split8kappa1r1	wavefront	ok	434757	54120.3	434757	726324	128	1
32x16x32s2split8kappa1r1	eft	ok	436645	54120.3	436645	757310	128	1
32x16x32s2split8kappa1r1	legacy_grid_stride	ok	437354	54120.3	436533	742010	128	1
32x16x32s2split8kappa1r1	rotate	ok	437354	54120.3	434757	742010	128	1
32x16x32s2split8kappa1r1	chain	ok	439128	54120.3	437356	761032	128	1
32x16x32s2split8kappa1r1	balanced	ok	1.96011e+06	54120.3	532695	3.15647e+06	128	1
32x16x32s2split8kappa1r2	eft	ok	235360	61767.7	235347	442855	256	1
32x16x32s2split8kappa1r2	wavefront	ok	236950	61767.7	235308	439090	256	1
32x16x32s2split8kappa1r2	legacy_grid_stride	ok	243886	61767.7	241425	464793	256	1
32x16x32s2split8kappa1r2	rotate	ok	243886	61767.7	226898	464793	256	1
32x16x32s2split8kappa1r2	chain	ok	248122	61767.7	229100	461517	256	1
32x16x32s2split8kappa1r2	balanced	ok	1.65072e+06	61767.7	291823	2.52416e+06	256	1
32x16x32s2split8kappa1r3	eft	ok	177996	69805.1	168821	349010	384	1
32x16x32s2split8kappa1r3	chain	ok	184938	69805.1	163103	358502	384	1
32x16x32s2split8kappa1r3	rotate	ok	189758	69805.1	160934	369279	384	1
32x16x32s2split8kappa1r3	wavefront	ok	195902	69805.1	195902	374857	384	1
32x16x32s2split8kappa1r3	legacy_grid_stride	ok	217614	69805.1	216383	413955	384	1
32x16x32s2split8kappa1r3	balanced	ok	1.36577e+06	69805.1	278782	2.0681e+06	384	1
32x16x32s2split8kappa1r4	eft	ok	153296	78991	153296	296982	512	1
32x16x32s2split8kappa1r4	wavefront	ok	153309	78991	148386	296989	512	1
32x16x32s2split8kappa1r4	rotate	ok	167130	78991	131803	340018	512	1
32x16x32s2split8kappa1r4	legacy_grid_stride	ok	170733	78991	164990	342241	512	1
32x16x32s2split8kappa1r4	chain	ok	181992	78991	137970	337254	512	1
32x16x32s2split8kappa1r4	balanced	ok	1.32546e+06	78991	252782	1.96788e+06	512	1
32x16x32s2split8kappa1r5	eft	ok	147848	88176.9	146443	287224	640	1
32x16x32s2split8kappa1r5	rotate	ok	152045	88176.9	118741	309587	640	1
32x16x32s2split8kappa1r5	wavefront	ok	160210	88176.9	154056	309890	640	1
32x16x32s2split8kappa1r5	chain	ok	180622	88176.9	120930	335245	640	1
32x16x32s2split8kappa1r5	legacy_grid_stride	ok	186515	88176.9	179336	355552	640	1
32x16x32s2split8kappa1r5	balanced	ok	1.38661e+06	88176.9	293270	2.01273e+06	640	1
32x16x32s2split8kappa2r1	wavefront	ok	434757	54120.3	434757	756858	128	2
32x16x32s2split8kappa2r1	eft	ok	436645	54120.3	436645	759991	128	2
32x16x32s2split8kappa2r1	legacy_grid_stride	ok	437354	54120.3	436533	772544	128	2
32x16x32s2split8kappa2r1	rotate	ok	437354	54120.3	434757	772544	128	2
32x16x32s2split8kappa2r1	chain	ok	439128	54120.3	437356	765793	128	2
32x16x32s2split8kappa2r1	balanced	ok	1.96011e+06	54120.3	532695	3.09385e+06	128	2
32x16x32s2split8kappa2r2	eft	ok	235360	61767.7	235347	451003	256	2
32x16x32s2split8kappa2r2	wavefront	ok	236950	61767.7	235308	452592	256	2
32x16x32s2split8kappa2r2	legacy_grid_stride	ok	243886	61767.7	241425	478296	256	2
32x16x32s2split8kappa2r2	rotate	ok	243886	61767.7	226898	478296	256	2
32x16x32s2split8kappa2r2	chain	ok	248122	61767.7	229100	470900	256	2
32x16x32s2split8kappa2r2	balanced	ok	1.65072e+06	61767.7	291823	2.54838e+06	256	2
32x16x32s2split8kappa2r3	eft	ok	177996	69805.1	168821	357158	384	2
32x16x32s2split8kappa2r3	chain	ok	184938	69805.1	163103	366650	384	2
32x16x32s2split8kappa2r3	rotate	ok	189758	69805.1	160934	369279	384	2
32x16x32s2split8kappa2r3	wavefront	ok	195902	69805.1	195902	380534	384	2
32x16x32s2split8kappa2r3	legacy_grid_stride	ok	217614	69805.1	216383	427457	384	2
32x16x32s2split8kappa2r3	balanced	ok	1.36577e+06	69805.1	278782	2.09026e+06	384	2
32x16x32s2split8kappa2r4	eft	ok	153296	78991	153296	304247	512	2
32x16x32s2split8kappa2r4	wavefront	ok	153309	78991	148386	307285	512	2
32x16x32s2split8kappa2r4	rotate	ok	167130	78991	131803	342166	512	2
32x16x32s2split8kappa2r4	legacy_grid_stride	ok	170733	78991	164990	350066	512	2
32x16x32s2split8kappa2r4	chain	ok	181992	78991	137970	344519	512	2
32x16x32s2split8kappa2r4	balanced	ok	1.32546e+06	78991	252782	1.97492e+06	512	2
32x16x32s2split8kappa2r5	eft	ok	147848	88176.9	146443	292120	640	2
32x16x32s2split8kappa2r5	rotate	ok	152045	88176.9	118741	309587	640	2
32x16x32s2split8kappa2r5	wavefront	ok	160210	88176.9	154056	312038	640	2
32x16x32s2split8kappa2r5	chain	ok	180622	88176.9	120930	340141	640	2
32x16x32s2split8kappa2r5	legacy_grid_stride	ok	186515	88176.9	179336	363377	640	2
32x16x32s2split8kappa2r5	balanced	ok	1.38661e+06	88176.9	293270	2.0194e+06	640	2
32x16x32s2split8kappa4r1	wavefront	ok	434757	54120.3	434757	756858	128	4
32x16x32s2split8kappa4r1	eft	ok	436645	54120.3	436645	759991	128	4
32x16x32s2split8kappa4r1	legacy_grid_stride	ok	437354	54120.3	436533	772544	128	4
32x16x32s2split8kappa4r1	rotate	ok	437354	54120.3	434757	772544	128	4
32x16x32s2split8kappa4r1	chain	ok	439128	54120.3	437356	765793	128	4
32x16x32s2split8kappa4r1	balanced	ok	1.96011e+06	54120.3	532695	3.09032e+06	128	4
32x16x32s2split8kappa4r2	eft	ok	235360	61767.7	235347	451003	256	4
32x16x32s2split8kappa4r2	wavefront	ok	236950	61767.7	235308	452592	256	4
32x16x32s2split8kappa4r2	legacy_grid_stride	ok	243886	61767.7	241425	478296	256	4
32x16x32s2split8kappa4r2	rotate	ok	243886	61767.7	226898	478296	256	4
32x16x32s2split8kappa4r2	chain	ok	248122	61767.7	229100	470900	256	4
32x16x32s2split8kappa4r2	balanced	ok	1.65072e+06	61767.7	291823	2.54838e+06	256	4
