rank	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
1	32x16x32s2split4kappa1r4	wavefront	32	16	32	2	4	1	4	112287	230843	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top1.cu	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top1.mlir
2	32x16x32s2split4kappa1r4	eft	32	16	32	2	4	1	4	112287	231756	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top2.cu	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top2.mlir
3	32x16x32s2split4kappa1r5	eft	32	16	32	2	4	1	5	119017	239226	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top3.cu	/root/TileMega/docs/experiments/SOLVER_V2/reference/gqa2_s128/legacy/selected.cu.top3.mlir
