stage	logical_stage	combine	task_ns	count
0	0	0	2048	128
1	1	0	22528	4
2	2	0	23040	2
3	3	0	23040	2
4	4	0	1168	512
5	5	0	1028	256
6	6	0	868	256
7	7	0	948	256
8	8	0	19118	512
9	9	0	31232	4
10	10	0	2048	128
11	11	0	22528	8
12	12	0	22400	8
13	13	0	3072	128
14	14	0	47872	4
15	15	0	2048	128
16	16	0	22528	4
17	17	0	23552	2
18	18	0	23552	2
19	19	0	1150	512
20	20	0	1024	256
21	21	0	728	256
22	22	0	920	256
23	23	0	19394	512
24	24	0	30720	4
25	25	0	2048	128
26	26	0	22528	8
27	27	0	22528	8
28	28	0	3072	128
29	29	0	47360	4
