slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794721048814592	1147231415822	1789794721048814592	1147231417436	1789794721048814592	1147231417436	1789794721048816640	1147231420648	1789794721048816640	1147231422416	1789794721048816640	1147231422550	0	0	0	0	98	8
1	0	32	16	32	1	3072	1789794721048818688	1147231427637	1789794721048819712	1147231429957	1789794721048820736	1147231430867	1789794721048827904	1147231449575	1789794721048828928	1147231451769	1789794721048828928	1147231452030	1147231430930	1147231449232	6107	16	0	0
2	2	0	0	0	1	0	1789794721048832000	1147231458964	1789794721048832000	1147231460281	1789794721048832000	1147231460281	1789794721048833024	1147231461816	1789794721048833024	1147231461848	1789794721048833024	1147231462010	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794721048834048	1147231465513	1789794721048835072	1147231466663	1789794721048835072	1147231466663	1789794721048835072	1147231468173	1789794721048835072	1147231468203	1789794721048835072	1147231468405	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794721048839168	1147231477783	1789794721048840192	1147231479699	1789794721048840192	1147231479699	1789794721048866816	1147231546133	1789794721048866816	1147231546164	1789794721048866816	1147231546295	0	0	0	0	54	2
5	0	32	16	32	1	3072	1789794721048871936	1147231559147	1789794721048872960	1147231562314	1789794721048873984	1147231564037	1789794721048885248	1147231592295	1789794721048886272	1147231596468	1789794721048886272	1147231596598	1147231564105	1147231592174	11701	16	0	0
6	1	0	0	0	1	0	1789794721048891392	1147231607579	1789794721048891392	1147231608660	1789794721048891392	1147231608660	1789794721048892416	1147231612487	1789794721048893440	1147231613258	1789794721048893440	1147231613423	0	0	0	0	89	8
7	0	32	16	32	1	3072	1789794721048896512	1147231620929	1789794721048896512	1147231622187	1789794721048897536	1147231623069	1789794721048905728	1147231644300	1789794721048906752	1147231647164	1789794721048906752	1147231647346	1147231623860	1147231644069	6862	16	0	0
8	4	0	0	0	1	0	1789794721048914944	1147231667655	1789794721048915968	1147231668911	1789794721048915968	1147231668911	1789794721048918016	1147231675566	1789794721048918016	1147231675596	1789794721048918016	1147231675729	0	0	0	0	0	0
9	0	32	16	32	1	3072	1789794721048920064	1147231681354	1789794721048921088	1147231683616	1789794721048922112	1147231684596	1789794721048935424	1147231720090	1789794721048937472	1147231724203	1789794721048937472	1147231724360	1147231684641	1147231719876	15325	32	0	0
10	1	0	0	0	1	0	1789794721048940544	1147231733044	1789794721048941568	1147231734267	1789794721048941568	1147231734267	1789794721048942592	1147231738125	1789794721048943616	1147231739313	1789794721048943616	1147231739449	0	0	0	0	101	8
