gemm	n	k	uniform_tile_m	uniform_tile_n	uniform_tile_k	uniform_stages	uniform_split_k	split_only_tile_m	split_only_tile_n	split_only_tile_k	split_only_stages	split_only_split_k	per_op_tile_m	per_op_tile_n	per_op_tile_k	per_op_stages	per_op_split_k
0	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
1	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
2	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
3	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
4	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
5	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
6	512	1024	32	16	16	2	1	32	16	16	2	1	32	128	32	3	16
7	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
8	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
9	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
10	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
11	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
12	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
13	512	1024	32	16	16	2	1	32	16	16	2	1	32	16	16	2	4
14	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
15	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
16	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
17	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
18	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
19	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
20	512	1024	32	16	16	2	1	32	16	16	2	1	32	16	16	2	4
21	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
22	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
23	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
24	512	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
25	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
26	1024	512	32	16	16	2	1	32	16	16	2	1	32	16	16	2	1
27	512	1024	32	16	16	2	1	32	16	16	2	1	32	16	16	2	4
