candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
32x16x64s2split4kappa2r3	legacy_grid_stride	ok	1.69671e+07	3.16771e+06	1.69165e+07	2.10133e+07	384	2
32x16x64s2split4kappa2r3	balanced	ok	9.48692e+08	3.16771e+06	3.17071e+07	1.0708e+09	384	2
32x16x64s2split4kappa2r4	eft	ok	1.48887e+07	3.96563e+06	1.48731e+07	1.79665e+07	512	2
32x16x64s2split4kappa2r4	wavefront	ok	1.49272e+07	3.96563e+06	1.48191e+07	1.79675e+07	512	2
32x16x64s2split4kappa2r4	rotate	ok	1.51069e+07	3.96563e+06	1.42406e+07	1.83724e+07	512	2
32x16x64s2split4kappa2r4	chain	ok	1.51306e+07	3.96563e+06	1.44394e+07	1.81933e+07	512	2
32x16x64s2split4kappa2r4	legacy_grid_stride	ok	1.52017e+07	3.96563e+06	1.50936e+07	1.85138e+07	512	2
32x16x64s2split4kappa2r4	balanced	ok	1.04843e+09	3.96563e+06	3.32099e+07	1.15181e+09	512	2
32x16x64s2split4kappa2r5	eft	ok	1.48365e+07	4.76355e+06	1.44653e+07	1.76649e+07	640	2
32x16x64s2split4kappa2r5	chain	ok	1.49095e+07	4.76355e+06	1.44618e+07	1.77033e+07	640	2
32x16x64s2split4kappa2r5	rotate	ok	1.5918e+07	4.76355e+06	1.37525e+07	1.8494e+07	640	2
32x16x64s2split4kappa2r5	wavefront	ok	1.62579e+07	4.76355e+06	1.61643e+07	1.91572e+07	640	2
32x16x64s2split4kappa2r5	legacy_grid_stride	ok	1.6583e+07	4.76355e+06	1.64894e+07	1.97886e+07	640	2
32x16x64s2split4kappa2r5	balanced	ok	1.23083e+09	4.76355e+06	3.87594e+07	1.32509e+09	640	2
32x16x64s2split4kappa4r1	eft	ok	2.24881e+07	1.57188e+06	2.24868e+07	3.0983e+07	128	4
32x16x64s2split4kappa4r1	rotate	ok	2.25017e+07	1.57188e+06	2.23572e+07	3.09672e+07	128	4
32x16x64s2split4kappa4r1	legacy_grid_stride	ok	2.25031e+07	1.57188e+06	2.24867e+07	3.09705e+07	128	4
32x16x64s2split4kappa4r1	wavefront	ok	2.25031e+07	1.57188e+06	2.24867e+07	3.09013e+07	128	4
32x16x64s2split4kappa4r1	chain	ok	2.25528e+07	1.57188e+06	2.24468e+07	3.11417e+07	128	4
32x16x64s2split4kappa4r1	balanced	ok	7.239e+08	1.57188e+06	2.87227e+07	9.36232e+08	128	4
32x16x64s2split4kappa4r2	eft	ok	1.72388e+07	2.3698e+06	1.72356e+07	2.20637e+07	256	4
32x16x64s2split4kappa4r2	wavefront	ok	1.7252e+07	2.3698e+06	1.72051e+07	2.19788e+07	256	4
32x16x64s2split4kappa4r2	rotate	ok	1.73078e+07	2.3698e+06	1.69386e+07	2.22161e+07	256	4
32x16x64s2split4kappa4r2	legacy_grid_stride	ok	1.73099e+07	2.3698e+06	1.72629e+07	2.22199e+07	256	4
32x16x64s2split4kappa4r2	chain	ok	1.73527e+07	2.3698e+06	1.70605e+07	2.2259e+07	256	4
32x16x64s2split4kappa4r2	balanced	ok	8.6309e+08	2.3698e+06	2.65852e+07	1.01314e+09	256	4
32x16x64s2split4kappa4r3	eft	ok	1.57277e+07	3.16771e+06	1.57195e+07	1.92473e+07	384	4
32x16x64s2split4kappa4r3	chain	ok	1.61772e+07	3.16771e+06	1.56407e+07	1.96589e+07	384	4
32x16x64s2split4kappa4r3	wavefront	ok	1.64417e+07	3.16771e+06	1.63912e+07	2.01502e+07	384	4
32x16x64s2split4kappa4r3	rotate	ok	1.65111e+07	3.16771e+06	1.51825e+07	1.99363e+07	384	4
32x16x64s2split4kappa4r3	legacy_grid_stride	ok	1.69671e+07	3.16771e+06	1.69165e+07	2.10133e+07	384	4
32x16x64s2split4kappa4r3	balanced	ok	9.48692e+08	3.16771e+06	3.17071e+07	1.06427e+09	384	4
32x16x64s2split4kappa4r4	eft	ok	1.48887e+07	3.96563e+06	1.48731e+07	1.79665e+07	512	4
32x16x64s2split4kappa4r4	wavefront	ok	1.49272e+07	3.96563e+06	1.48191e+07	1.79675e+07	512	4
32x16x64s2split4kappa4r4	rotate	ok	1.51069e+07	3.96563e+06	1.42406e+07	1.83724e+07	512	4
32x16x64s2split4kappa4r4	chain	ok	1.51306e+07	3.96563e+06	1.44394e+07	1.81933e+07	512	4
32x16x64s2split4kappa4r4	legacy_grid_stride	ok	1.52017e+07	3.96563e+06	1.50936e+07	1.85138e+07	512	4
32x16x64s2split4kappa4r4	balanced	ok	1.04844e+09	3.96563e+06	3.32099e+07	1.14479e+09	512	4
32x16x64s2split4kappa4r5	eft	ok	1.48365e+07	4.76355e+06	1.44653e+07	1.76649e+07	640	4
32x16x64s2split4kappa4r5	chain	ok	1.49095e+07	4.76355e+06	1.44618e+07	1.77033e+07	640	4
32x16x64s2split4kappa4r5	rotate	ok	1.5918e+07	4.76355e+06	1.37525e+07	1.8494e+07	640	4
32x16x64s2split4kappa4r5	wavefront	ok	1.62579e+07	4.76355e+06	1.61643e+07	1.91572e+07	640	4
32x16x64s2split4kappa4r5	legacy_grid_stride	ok	1.6583e+07	4.76355e+06	1.64894e+07	1.97886e+07	640	4
32x16x64s2split4kappa4r5	balanced	ok	1.23083e+09	4.76355e+06	3.87594e+07	1.31929e+09	640	4
32x16x32s2split4kappa1r1	eft	ok	2.56401e+07	1.73423e+06	2.56388e+07	3.39871e+07	128	1
32x16x32s2split4kappa1r1	rotate	ok	2.56546e+07	1.73423e+06	2.55102e+07	3.22127e+07	128	1
32x16x32s2split4kappa1r1	legacy_grid_stride	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.21653e+07	128	1
32x16x32s2split4kappa1r1	wavefront	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.20961e+07	128	1
32x16x32s2split4kappa1r1	chain	ok	2.57058e+07	1.73423e+06	2.55998e+07	3.41543e+07	128	1
32x16x32s2split4kappa1r1	balanced	ok	8.24828e+08	1.73423e+06	3.33003e+07	9.90533e+08	128	1
32x16x32s2split4kappa1r2	eft	ok	1.85318e+07	2.50304e+06	1.85294e+07	2.33537e+07	256	1
32x16x32s2split4kappa1r2	wavefront	ok	1.85458e+07	2.50304e+06	1.84988e+07	2.23653e+07	256	1
32x16x32s2split4kappa1r2	rotate	ok	1.86016e+07	2.50304e+06	1.82323e+07	2.26055e+07	256	1
32x16x32s2split4kappa1r2	legacy_grid_stride	ok	1.86036e+07	2.50304e+06	1.85567e+07	2.26064e+07	256	1
32x16x32s2split4kappa1r2	chain	ok	1.86465e+07	2.50304e+06	1.83478e+07	2.35567e+07	256	1
32x16x32s2split4kappa1r2	balanced	ok	9.30675e+08	2.50304e+06	2.88976e+07	1.0668e+09	256	1
32x16x32s2split4kappa1r3	eft	ok	1.66063e+07	3.30095e+06	1.65967e+07	2.01118e+07	384	1
32x16x32s2split4kappa1r3	chain	ok	1.71109e+07	3.30095e+06	1.64976e+07	2.05826e+07	384	1
32x16x32s2split4kappa1r3	wavefront	ok	1.73484e+07	3.30095e+06	1.72978e+07	2.05469e+07	384	1
32x16x32s2split4kappa1r3	rotate	ok	1.74398e+07	3.30095e+06	1.60498e+07	2.05965e+07	384	1
32x16x32s2split4kappa1r3	legacy_grid_stride	ok	1.78958e+07	3.30095e+06	1.78453e+07	2.11936e+07	384	1
32x16x32s2split4kappa1r3	balanced	ok	1.00431e+09	3.30095e+06	3.37617e+07	1.1165e+09	384	1
32x16x32s2split4kappa1r4	eft	ok	1.55354e+07	4.09887e+06	1.55204e+07	1.861e+07	512	1
32x16x32s2split4kappa1r4	wavefront	ok	1.55744e+07	4.09887e+06	1.54664e+07	1.81497e+07	512	1
32x16x32s2split4kappa1r4	rotate	ok	1.57542e+07	4.09887e+06	1.48879e+07	1.85922e+07	512	1
32x16x32s2split4kappa1r4	chain	ok	1.57754e+07	4.09887e+06	1.50885e+07	1.88375e+07	512	1
32x16x32s2split4kappa1r4	legacy_grid_stride	ok	1.5849e+07	4.09887e+06	1.57409e+07	1.87307e+07	512	1
32x16x32s2split4kappa1r4	balanced	ok	1.09701e+09	4.09887e+06	3.49294e+07	1.19694e+09	512	1
32x16x32s2split4kappa1r5	eft	ok	1.53741e+07	4.89679e+06	1.5053e+07	1.82287e+07	640	1
32x16x32s2split4kappa1r5	chain	ok	1.64626e+07	4.89679e+06	1.48979e+07	1.93381e+07	640	1
32x16x32s2split4kappa1r5	rotate	ok	1.64975e+07	4.89679e+06	1.42736e+07	1.90735e+07	640	1
32x16x32s2split4kappa1r5	wavefront	ok	1.68374e+07	4.89679e+06	1.67438e+07	1.93856e+07	640	1
32x16x32s2split4kappa1r5	legacy_grid_stride	ok	1.71625e+07	4.89679e+06	1.70689e+07	1.99376e+07	640	1
32x16x32s2split4kappa1r5	balanced	ok	1.27894e+09	4.89679e+06	4.04119e+07	1.37124e+09	640	1
32x16x32s2split4kappa2r1	eft	ok	2.56401e+07	1.73423e+06	2.56388e+07	3.4135e+07	128	2
32x16x32s2split4kappa2r1	rotate	ok	2.56546e+07	1.73423e+06	2.55102e+07	3.41202e+07	128	2
32x16x32s2split4kappa2r1	legacy_grid_stride	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.41234e+07	128	2
32x16x32s2split4kappa2r1	wavefront	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.40542e+07	128	2
32x16x32s2split4kappa2r1	chain	ok	2.57058e+07	1.73423e+06	2.55998e+07	3.43005e+07	128	2
32x16x32s2split4kappa2r1	balanced	ok	8.24828e+08	1.73423e+06	3.33003e+07	1.05731e+09	128	2
32x16x32s2split4kappa2r2	eft	ok	1.85318e+07	2.50304e+06	1.85294e+07	2.33567e+07	256	2
32x16x32s2split4kappa2r2	wavefront	ok	1.85458e+07	2.50304e+06	1.84988e+07	2.32726e+07	256	2
32x16x32s2split4kappa2r2	rotate	ok	1.86016e+07	2.50304e+06	1.82323e+07	2.35099e+07	256	2
32x16x32s2split4kappa2r2	legacy_grid_stride	ok	1.86036e+07	2.50304e+06	1.85567e+07	2.35137e+07	256	2
32x16x32s2split4kappa2r2	chain	ok	1.86465e+07	2.50304e+06	1.83478e+07	2.35597e+07	256	2
32x16x32s2split4kappa2r2	balanced	ok	9.3068e+08	2.50304e+06	2.88976e+07	1.09204e+09	256	2
32x16x32s2split4kappa2r3	eft	ok	1.66063e+07	3.30095e+06	1.65967e+07	2.01456e+07	384	2
32x16x32s2split4kappa2r3	chain	ok	1.71109e+07	3.30095e+06	1.64976e+07	2.06164e+07	384	2
32x16x32s2split4kappa2r3	wavefront	ok	1.73484e+07	3.30095e+06	1.72978e+07	2.10569e+07	384	2
32x16x32s2split4kappa2r3	rotate	ok	1.74398e+07	3.30095e+06	1.60498e+07	2.0865e+07	384	2
32x16x32s2split4kappa2r3	legacy_grid_stride	ok	1.78958e+07	3.30095e+06	1.78453e+07	2.1942e+07	384	2
32x16x32s2split4kappa2r3	balanced	ok	1.00431e+09	3.30095e+06	3.37617e+07	1.12641e+09	384	2
32x16x32s2split4kappa2r4	eft	ok	1.55354e+07	4.09887e+06	1.55204e+07	1.8613e+07	512	2
32x16x32s2split4kappa2r4	wavefront	ok	1.55744e+07	4.09887e+06	1.54664e+07	1.86148e+07	512	2
32x16x32s2split4kappa2r4	rotate	ok	1.57542e+07	4.09887e+06	1.48879e+07	1.90197e+07	512	2
32x16x32s2split4kappa2r4	chain	ok	1.57754e+07	4.09887e+06	1.50885e+07	1.88405e+07	512	2
32x16x32s2split4kappa2r4	legacy_grid_stride	ok	1.5849e+07	4.09887e+06	1.57409e+07	1.91611e+07	512	2
32x16x32s2split4kappa2r4	balanced	ok	1.09701e+09	4.09887e+06	3.49294e+07	1.20037e+09	512	2
32x16x32s2split4kappa2r5	eft	ok	1.53741e+07	4.89679e+06	1.5053e+07	1.82793e+07	640	2
32x16x32s2split4kappa2r5	chain	ok	1.64626e+07	4.89679e+06	1.48979e+07	1.93887e+07	640	2
32x16x32s2split4kappa2r5	rotate	ok	1.64975e+07	4.89679e+06	1.42736e+07	1.90735e+07	640	2
32x16x32s2split4kappa2r5	wavefront	ok	1.68374e+07	4.89679e+06	1.67438e+07	1.97366e+07	640	2
32x16x32s2split4kappa2r5	legacy_grid_stride	ok	1.71625e+07	4.89679e+06	1.70689e+07	2.03681e+07	640	2
32x16x32s2split4kappa2r5	balanced	ok	1.27899e+09	4.89679e+06	4.04119e+07	1.37325e+09	640	2
32x16x32s2split4kappa4r1	eft	ok	2.56401e+07	1.73423e+06	2.56388e+07	3.4135e+07	128	4
32x16x32s2split4kappa4r1	rotate	ok	2.56546e+07	1.73423e+06	2.55102e+07	3.41202e+07	128	4
32x16x32s2split4kappa4r1	legacy_grid_stride	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.41234e+07	128	4
32x16x32s2split4kappa4r1	wavefront	ok	2.56561e+07	1.73423e+06	2.56396e+07	3.40542e+07	128	4
32x16x32s2split4kappa4r1	chain	ok	2.57058e+07	1.73423e+06	2.55998e+07	3.43005e+07	128	4
32x16x32s2split4kappa4r1	balanced	ok	8.24831e+08	1.73423e+06	3.33003e+07	1.03716e+09	128	4
32x16x32s2split4kappa4r2	eft	ok	1.85318e+07	2.50304e+06	1.85294e+07	2.33567e+07	256	4
32x16x32s2split4kappa4r2	wavefront	ok	1.85458e+07	2.50304e+06	1.84988e+07	2.32726e+07	256	4
