slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
0	0	0	1	1	0	0	0	1	0	0	0	5120	5120	5120	0	10240	1599	0	12320	12842	12725	117	26761	0	0	0	0	0	0.0	0.0	0.0	0.0
1	2	0	0	0	32	16	16	1	1536	1024	1024	66560	1024	0	1024	69632	2364	2066	167320	1605	1305	300	173355	1	256	62270	104936	114	25012.169478815147	42149.94405699288	45.79070693086441	262.3520059992501
2	5	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1683	0	1363	428	30	398	3474	0	0	0	0	0	0.0	0.0	0.0	0.0
3	4	0	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	2055	0	2277	419	30	389	4751	0	0	0	0	0	0.0	0.0	0.0	0.0
4	8	0	5	0	0	0	0	1	0	1024	0	4096	0	0	0	5120	2262	0	10072	315	32	283	12649	0	0	0	0	0	0.0	0.0	0.0	0.0
5	9	0	0	0	32	16	16	1	1536	1024	0	67584	1024	0	1024	69632	1744	1238	169624	1741	1624	117	174347	1	256	59436	109344	844	23737.99120145457	43670.618983980225	337.0829896700259	263.31488353685467
6	10	0	1	0	0	0	0	1	0	0	0	5120	7168	7168	0	12288	1408	0	11900	18707	18591	116	32015	0	0	0	0	0	0.0	0.0	0.0	0.0
7	11	0	0	0	32	16	16	1	1536	1024	0	65536	1024	1024	0	67584	2025	882	165264	1935	1801	134	170106	1	256	59956	105193	115	23820.831152340303	41793.726923212584	45.69009911466967	256.3068674826285
8	11	256	0	0	32	16	16	1	1536	1024	0	66560	1024	1024	0	68608	2165	787	167733	1557	1263	294	172242	1	256	59513	107953	267	23705.413917627524	43000.19405255396	106.3523182499042	260.56878113352144
9	11	512	0	0	32	16	16	1	1536	1024	0	66560	0	0	0	67584	1932	887	166496	828	709	119	170143	1	256	61384	104896	216	24382.87943670912	41666.66430002998	85.79926297291102	258.0060302216371
10	11	768	0	0	32	16	16	1	1536	1024	0	65536	1024	1024	0	67584	2113	774	165321	1835	1573	262	170043	1	256	60114	105080	127	23892.45412042836	41764.2991478626	50.47645595525837	256.4716924542616
11	12	256	0	0	32	16	16	1	1536	1024	0	66560	1024	1024	0	68608	2181	764	166737	1836	1544	292	171518	1	256	59332	107275	130	23733.07673830152	42910.500355647804	52.0006063503539	260.32647302323954
12	12	512	0	0	32	16	16	1	1536	1024	0	66560	1024	1024	0	68608	1861	834	167481	1868	1594	274	172044	1	256	57774	109476	231	23039.21434051754	43657.0261560996	92.11857431819767	260.5321894399107
13	12	768	0	0	32	16	16	1	1536	1024	0	64512	1024	1024	0	66560	1898	1197	163135	1815	1520	295	168045	1	256	59077	103899	159	23399.47704483918	41152.77122199411	62.97741676336696	252.15721979231753
14	13	0	4	1	0	0	0	1	0	1024	0	50176	0	0	0	51200	1357	0	125497	147	30	117	127001	0	0	0	0	0	0.0	0.0	0.0	0.0
15	14	0	0	0	32	16	16	1	1536	1024	0	240640	1024	1024	0	242688	2418	859	606350	2718	2602	116	612345	1	896	208586	397661	103	82667.97176101708	157603.23472552237	40.82153687872033	268.1598286680128
16	15	0	1	1	0	0	0	1	0	1024	0	5120	8192	8192	0	14336	1324	0	11773	20666	20550	116	33763	0	0	0	0	0	0.0	0.0	0.0	0.0
17	17	0	0	0	32	16	16	1	1536	1024	1024	66560	1024	1024	0	69632	2087	2090	166287	2233	2115	118	172697	1	256	59855	106313	119	24133.733417488434	42865.75224815718	47.981192493210656	261.71674088142817
18	20	0	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1811	0	1323	250	30	220	3384	0	0	0	0	0	0.0	0.0	0.0	0.0
19	19	0	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1616	0	2067	460	30	430	4143	0	0	0	0	0	0.0	0.0	0.0	0.0
