stage	logical_stage	combine	task_ns	count
0	0	0	1536	2048
1	1	0	3664	2048
2	2	0	3920	1024
3	3	0	3408	1024
4	4	0	1024	8192
5	5	0	1024	4096
6	6	0	1024	4096
7	7	0	1024	4096
8	8	0	3520	8192
9	9	0	6480	2048
10	10	0	2048	2048
11	11	0	3408	4096
12	12	0	3408	4096
13	13	0	3072	2048
14	14	0	7288	2048
15	15	0	2048	2048
16	16	0	3408	2048
17	17	0	3408	1024
18	18	0	3408	1024
19	19	0	1024	8192
20	20	0	1024	4096
21	21	0	1024	4096
22	22	0	1024	4096
23	23	0	3712	8192
24	24	0	5712	2048
25	25	0	2048	2048
26	26	0	3408	4096
27	27	0	3408	4096
28	28	0	3072	2048
29	29	0	6816	2048
